编号	难度	总积分	道具奖励	货币奖励	奖励内容
ID	mode	TotalScore	ItemRewards	CurrencyRewards	rewardDetail
100	4	645	0:20000046:30;0:10000004:20;	0	招募令礼包*30;时光沙漏*20
200	4	630	0:20000046:28;0:10000004:20;	0	招募令礼包*28;时光沙漏*20
300	4	615	0:20000046:28;0:10000004:19;	0	招募令礼包*28;时光沙漏*19
400	4	600	0:20000046:26;0:10000004:19;	0	招募令礼包*26;时光沙漏*19
500	4	580	0:20000046:26;0:10000004:18;	0	招募令礼包*26;时光沙漏*18
600	4	560	0:20000046:24;0:10000004:18;	0	招募令礼包*24;时光沙漏*18
700	4	540	0:20000046:24;0:10000004:17;	0	招募令礼包*24;时光沙漏*17
800	4	520	0:20000046:22;0:10000004:15;	0	招募令礼包*22;时光沙漏*15
900	4	500	0:20000046:22;0:10000004:12;	0	招募令礼包*22;时光沙漏*12
1000	4	450	0:20000046:20;0:10000004:10;	0	招募令礼包*20;时光沙漏*10
1100	4	400	0:20000046:20;0:10000004:8;	0	招募令礼包*20;时光沙漏*8
1200	4	300	0:20000046:15;0:10000004:7;	0	招募令礼包*15;时光沙漏*7
1300	4	200	0:20000046:15;0:10000004:6;	0	招募令礼包*15;时光沙漏*6
1400	4	100	0:20000046:10;0:10000004:5;	0	招募令礼包*10;时光沙漏*5
1500	4	1	0:20000046:5;0:10000004:1;	0	招募令礼包*5;时光沙漏*1
1600	3	408	0:20000046:29;0:10000004:18;	0	招募令礼包*29;时光沙漏*18
1700	3	400	0:20000046:27;0:10000004:18;	0	招募令礼包*27;时光沙漏*18
1800	3	390	0:20000046:27;0:10000004:17;	0	招募令礼包*27;时光沙漏*17
1900	3	380	0:20000046:25;0:10000004:17;	0	招募令礼包*25;时光沙漏*17
2000	3	370	0:20000046:25;0:10000004:16;	0	招募令礼包*25;时光沙漏*16
2100	3	360	0:20000046:23;0:10000004:16;	0	招募令礼包*23;时光沙漏*16
2200	3	350	0:20000046:23;0:10000004:14;	0	招募令礼包*23;时光沙漏*14
2300	3	320	0:20000046:21;0:10000004:12;	0	招募令礼包*21;时光沙漏*12
2400	3	290	0:20000046:21;0:10000004:10;	0	招募令礼包*21;时光沙漏*10
2500	3	260	0:20000046:19;0:10000004:8;	0	招募令礼包*19;时光沙漏*8
2600	3	220	0:20000046:19;0:10000004:7;	0	招募令礼包*19;时光沙漏*7
2700	3	170	0:20000046:14;0:10000004:6;	0	招募令礼包*14;时光沙漏*6
2800	3	110	0:20000046:14;0:10000004:5;	0	招募令礼包*14;时光沙漏*5
2900	3	50	0:20000046:9;0:10000004:1;	0	招募令礼包*9;时光沙漏*1
3000	3	1	0:20000046:4;	0	招募令礼包*4
3100	2	225	0:20000046:28;0:10000004:17;	0	招募令礼包*28;时光沙漏*17
3200	2	220	0:20000046:26;0:10000004:16;	0	招募令礼包*26;时光沙漏*16
3300	2	215	0:20000046:26;0:10000004:16;	0	招募令礼包*26;时光沙漏*16
3400	2	210	0:20000046:24;0:10000004:15;	0	招募令礼包*24;时光沙漏*15
3500	2	205	0:20000046:24;0:10000004:13;	0	招募令礼包*24;时光沙漏*13
3600	2	200	0:20000046:22;0:10000004:12;	0	招募令礼包*22;时光沙漏*12
3700	2	190	0:20000046:22;0:10000004:11;	0	招募令礼包*22;时光沙漏*11
3800	2	180	0:20000046:20;0:10000004:10;	0	招募令礼包*20;时光沙漏*10
3900	2	170	0:20000046:20;0:10000004:8;	0	招募令礼包*20;时光沙漏*8
4000	2	150	0:20000046:18;0:10000004:7;	0	招募令礼包*18;时光沙漏*7
4100	2	130	0:20000046:18;0:10000004:6;	0	招募令礼包*18;时光沙漏*6
4200	2	100	0:20000046:13;0:10000004:5;	0	招募令礼包*13;时光沙漏*5
4300	2	60	0:20000046:13;0:10000004:1;	0	招募令礼包*13;时光沙漏*1
4400	2	30	0:20000046:8;	0	招募令礼包*8
4500	2	1	0:20000046:3;	0	招募令礼包*3
4600	1	102	0:20000046:25;0:10000004:16;	0	招募令礼包*25;时光沙漏*16
4700	1	100	0:20000046:22;0:10000004:15;	0	招募令礼包*22;时光沙漏*15
4800	1	98	0:20000046:22;0:10000004:14;	0	招募令礼包*22;时光沙漏*14
4900	1	96	0:20000046:20;0:10000004:13;	0	招募令礼包*20;时光沙漏*13
5000	1	94	0:20000046:20;0:10000004:12;	0	招募令礼包*20;时光沙漏*12
5100	1	90	0:20000046:18;0:10000004:11;	0	招募令礼包*18;时光沙漏*11
5200	1	86	0:20000046:18;0:10000004:10;	0	招募令礼包*18;时光沙漏*10
5300	1	82	0:20000046:15;0:10000004:8;	0	招募令礼包*15;时光沙漏*8
5400	1	78	0:20000046:15;0:10000004:7;	0	招募令礼包*15;时光沙漏*7
5500	1	72	0:20000046:12;0:10000004:6;	0	招募令礼包*12;时光沙漏*6
5600	1	64	0:20000046:12;0:10000004:5;	0	招募令礼包*12;时光沙漏*5
5700	1	49	0:20000046:10;0:10000004:1;	0	招募令礼包*10;时光沙漏*1
5800	1	31	0:20000046:10;	0	招募令礼包*10
5900	1	15	0:20000046:6;	0	招募令礼包*6
6000	1	1	0:20000046:2;	0	招募令礼包*2
