编号	名次	所属世界boss	道具奖励	编号排序	奖励内容
ID	Rank	Name	ItemRewards	number	awardDetail
7010001	0:00	蜘蛛女皇	0:72000001:3;0:73000001:3;	1	10sp技能书*3;15sp技能书*3
7010001	1:01	蜘蛛女皇	0:71000001:30;0:72000001:30;0:73000001:30;0:74000001:20;0:75000001:15;	2	5sp技能书*30;10sp技能书*30;15sp技能书*30;20sp技能书*20;25sp技能书*15
7010001	2:02	蜘蛛女皇	0:71000001:27;0:72000001:27;0:73000001:27;0:74000001:27;0:75000001:13;	3	5sp技能书*27;10sp技能书*27;15sp技能书*27;20sp技能书*27;25sp技能书*13
7010001	3:03	蜘蛛女皇	0:71000001:24;0:72000001:24;0:73000001:24;0:74000001:24;0:75000001:12;	4	5sp技能书*24;10sp技能书*24;15sp技能书*24;20sp技能书*24;25sp技能书*12
7010001	4:04	蜘蛛女皇	0:71000001:21;0:72000001:21;0:73000001:21;0:74000001:21;0:75000001:10;	5	5sp技能书*21;10sp技能书*21;15sp技能书*21;20sp技能书*21;25sp技能书*10
7010001	5:05	蜘蛛女皇	0:71000001:18;0:72000001:18;0:73000001:18;0:74000001:18;0:75000001:9;	6	5sp技能书*18;10sp技能书*18;15sp技能书*18;20sp技能书*18;25sp技能书*9
7010001	6:10	蜘蛛女皇	0:71000001:15;0:72000001:15;0:73000001:15;0:74000001:15;0:75000001:7;	7	5sp技能书*15;10sp技能书*15;15sp技能书*15;20sp技能书*15;25sp技能书*7
7010001	11:20	蜘蛛女皇	0:71000001:12;0:72000001:12;0:73000001:12;0:74000001:12;0:75000001:6;	8	5sp技能书*12;10sp技能书*12;15sp技能书*12;20sp技能书*12;25sp技能书*6
7010001	21:50	蜘蛛女皇	0:71000001:10;0:72000001:10;0:73000001:10;0:74000001:10;	9	5sp技能书*10;10sp技能书*10;15sp技能书*10;20sp技能书*10
7010001	51:100	蜘蛛女皇	0:72000001:7;0:73000001:7;0:74000001:7;	10	10sp技能书*7;15sp技能书*7;20sp技能书*7
7010001	101:200	蜘蛛女皇	0:72000001:5;0:73000001:5;	11	10sp技能书*5;15sp技能书*5
7010001	201:500	蜘蛛女皇	0:72000001:4;0:73000001:4;	12	10sp技能书*4;15sp技能书*4
7010001	501:9999	蜘蛛女皇	0:72000001:3;0:73000001:3;	13	10sp技能书*3;15sp技能书*3
