等级	金币	暴击率	暴击倍率
Lv	Gold	Crit	CritBouns
1	3869	1000	30000
2	3933	1000	30000
3	3996	1000	30000
4	4059	1000	30000
5	4123	1000	30000
6	4186	1000	30000
7	4250	1000	30000
8	4313	1000	30000
9	4377	1000	30000
10	4440	1000	30000
11	4504	1000	30000
12	4567	1000	30000
13	4630	1000	30000
14	4694	1000	30000
15	4757	1000	30000
16	4821	1000	30000
17	4884	1000	30000
18	4948	1000	30000
19	5011	1000	30000
20	5074	1000	30000
21	5138	1000	30000
22	5201	1000	30000
23	5265	1000	30000
24	5328	1000	30000
25	5392	1000	30000
26	5455	1000	30000
27	5519	1000	30000
28	5582	1000	30000
29	5645	1000	30000
30	5709	1000	30000
31	5772	1000	30000
32	5836	1000	30000
33	5899	1000	30000
34	5963	1000	30000
35	6026	1000	30000
36	6089	1000	30000
37	6153	1000	30000
38	6216	1000	30000
39	6280	1000	30000
40	6343	1000	30000
41	6407	1000	30000
42	6470	1000	30000
43	6533	1000	30000
44	6597	1000	30000
45	6660	1000	30000
46	6724	1000	30000
47	6787	1000	30000
48	6851	1000	30000
49	6914	1000	30000
50	6978	1000	30000
51	7041	1000	30000
52	7104	1000	30000
53	7168	1000	30000
54	7231	1000	30000
55	7295	1000	30000
56	7358	1000	30000
57	7422	1000	30000
58	7485	1000	30000
59	7548	1000	30000
60	7612	1000	30000
61	7739	1000	30000
62	7866	1000	30000
63	7993	1000	30000
64	8119	1000	30000
65	8246	1000	30000
66	8373	1000	30000
67	8500	1000	30000
68	8627	1000	30000
69	8754	1000	30000
70	8881	1000	30000
71	9008	1000	30000
72	9134	1000	30000
73	9261	1000	30000
74	9388	1000	30000
75	9515	1000	30000
76	9642	1000	30000
77	9769	1000	30000
78	9896	1000	30000
79	10023	1000	30000
80	10149	1000	30000
81	10276	1000	30000
82	10403	1000	30000
83	10530	1000	30000
84	10657	1000	30000
85	10784	1000	30000
86	10911	1000	30000
87	11038	1000	30000
88	11164	1000	30000
89	11291	1000	30000
90	11418	1000	30000
91	11545	1000	30000
92	11672	1000	30000
93	11799	1000	30000
94	11926	1000	30000
95	12052	1000	30000
96	12179	1000	30000
97	12306	1000	30000
98	12433	1000	30000
99	12560	1000	30000
100	12687	1000	30000
