表ID	层数	怪物群	奖励内容	掉落金币	地图BUFF	地图特效	场景资源	怪物数量
ID	Number	Monster	Reward	Money	BUFF	Trap	Map	Quantity
100	1	300101;300102;		100	0	0	0	5
101	2	300201;		100	0	0	0	5
102	3	300301;300302;		100	0	0	0	5
103	4	300401;300402;		100	0	0	0	5
104	5	300501;300502;300505;	4{60000001:1:1;60000002:1:1;60000003:1:1;60000004:1:1;60000005:1:1;60000006:1:1;60000001:2:1;60000002:2:1;60000003:2:1;60000004:2:1;60000005:2:1;60000006:2:1;60000001:3:1;60000002:3:1;60000003:3:1;60000004:3:1;60000005:3:1;60000006:3:1;}	100	0	0	0	5
105	6	300601;300602;		100	0	0	0	5
106	7	300701;		100	0	0	0	5
107	8	300801;300802;		100	0	0	0	5
108	9	300901;300902;		100	0	0	0	5
109	10	301001;301002;301005;	3{60000001:1:1;60000002:1:1;60000003:1:1;60000004:1:1;60000005:1:1;60000006:1:1;60000001:2:1;60000002:2:1;60000003:2:1;60000004:2:1;60000005:2:1;60000006:2:1;60000001:3:1;60000002:3:1;60000003:3:1;60000004:3:1;60000005:3:1;60000006:3:1;61000001:1:1;61000002:1:1;61000003:1:1;61000004:1:1;61000005:1:1;61000006:1:1;61000007:1:1;61000008:1:1;61000001:2:1;61000002:2:1;61000003:2:1;61000004:2:1;61000005:2:1;61000006:2:1;61000007:2:1;61000008:2:1;61000001:3:1;61000002:3:1;61000003:3:1;61000004:3:1;61000005:3:1;61000006:3:1;61000007:3:1;61000008:3:1;}1{51101000:1:1;51111000:1:1;51121000:1:1;51131000:1:1;51201000:1:1;51211000:1:1;51221000:1:1;51301000:1:1;51311000:1:1;51321000:1:1;51401000:1:1;51411000:1:1;51231000:1:1;}	100	0	0	0	5
110	11	301101;301102;		100	0	0	0	5
111	12	301201;		100	0	0	0	5
112	13	301301;301302;		100	0	0	0	5
113	14	301401;301402;		100	0	0	0	5
