表ID	装备ID	获得概率	最低玩家等级	最高玩家等级	装备品质
ID	EquipID	Weights	minlevel	maxlevel	quality
1	42002002	20	10	17	2
2	43002002	20	10	17	3
3	44002002	20	10	17	4
4	45002002	20	10	17	5
5	46002002	20	10	17	6
6	42003002	20	10	17	2
7	43003002	20	10	17	3
8	44003002	20	10	17	4
9	45003002	20	10	17	5
10	46003002	20	10	17	6
11	42004002	20	10	17	2
12	43004002	20	10	17	3
13	44004002	20	10	17	4
14	45004002	20	10	17	5
15	46004002	20	10	17	6
16	42005002	20	10	17	2
17	43005002	20	10	17	3
18	44005002	20	10	17	4
19	45005002	20	10	17	5
20	46005002	20	10	17	6
21	42006102	20	10	17	2
22	43006102	20	10	17	3
23	44006102	20	10	17	4
24	45006102	20	10	17	5
25	46006102	20	10	17	6
26	42006502	20	10	17	2
27	43006502	20	10	17	3
28	44006502	20	10	17	4
29	45006502	20	10	17	5
30	46006502	20	10	17	6
31	42002003	20	18	21	2
32	43002003	20	18	21	3
33	44002003	20	18	21	4
34	45002003	20	18	21	5
35	46002003	20	18	21	6
36	42003003	20	18	21	2
37	43003003	20	18	21	3
38	44003003	20	18	21	4
39	45003003	20	18	21	5
40	46003003	20	18	21	6
41	42004003	20	18	21	2
42	43004003	20	18	21	3
43	44004003	20	18	21	4
44	45004003	20	18	21	5
45	46004003	20	18	21	6
46	42005003	20	18	21	2
47	43005003	20	18	21	3
48	44005003	20	18	21	4
49	45005003	20	18	21	5
50	46005003	20	18	21	6
51	42006103	20	18	21	2
52	43006103	20	18	21	3
53	44006103	20	18	21	4
54	45006103	20	18	21	5
55	46006103	20	18	21	6
56	42006503	20	18	21	2
57	43006503	20	18	21	3
58	44006503	20	18	21	4
59	45006503	20	18	21	5
60	46006503	20	18	21	6
61	42002004	20	22	25	2
62	43002004	20	22	25	3
63	44002004	20	22	25	4
64	45002004	20	22	25	5
65	46002004	20	22	25	6
66	42003004	20	22	25	2
67	43003004	20	22	25	3
68	44003004	20	22	25	4
69	45003004	20	22	25	5
70	46003004	20	22	25	6
71	42004004	20	22	25	2
72	43004004	20	22	25	3
73	44004004	20	22	25	4
74	45004004	20	22	25	5
75	46004004	20	22	25	6
76	42005004	20	22	25	2
77	43005004	20	22	25	3
78	44005004	20	22	25	4
79	45005004	20	22	25	5
80	46005004	20	22	25	6
81	42006104	20	22	25	2
82	43006104	20	22	25	3
83	44006104	20	22	25	4
84	45006104	20	22	25	5
85	46006104	20	22	25	6
86	42006504	20	22	25	2
87	43006504	20	22	25	3
88	44006504	20	22	25	4
89	45006504	20	22	25	5
90	46006504	20	22	25	6
91	42006105	20	26	33	2
92	43006105	20	26	33	3
93	44006105	20	26	33	4
94	45006105	20	26	33	5
95	46006105	20	26	33	6
96	42006505	20	26	33	2
97	43006505	20	26	33	3
98	44006505	20	26	33	4
99	45006505	20	26	33	5
100	46006505	20	26	33	6
101	42102005	20	26	33	2
102	43102005	20	26	33	3
103	44102005	20	26	33	4
104	45102005	20	26	33	5
105	46102005	20	26	33	6
106	42103005	20	26	33	2
107	43103005	20	26	33	3
108	44103005	20	26	33	4
109	45103005	20	26	33	5
110	46103005	20	26	33	6
111	42104005	20	26	33	2
112	43104005	20	26	33	3
113	44104005	20	26	33	4
114	45104005	20	26	33	5
115	46104005	20	26	33	6
116	42105005	20	26	33	2
117	43105005	20	26	33	3
118	44105005	20	26	33	4
119	45105005	20	26	33	5
120	46105005	20	26	33	6
121	42202005	20	26	33	2
122	43202005	20	26	33	3
123	44202005	20	26	33	4
124	45202005	20	26	33	5
125	46202005	20	26	33	6
126	42203005	20	26	33	2
127	43203005	20	26	33	3
128	44203005	20	26	33	4
129	45203005	20	26	33	5
130	46203005	20	26	33	6
131	42204005	20	26	33	2
132	43204005	20	26	33	3
133	44204005	20	26	33	4
134	45204005	20	26	33	5
135	46204005	20	26	33	6
136	42205005	20	26	33	2
137	43205005	20	26	33	3
138	44205005	20	26	33	4
139	45205005	20	26	33	5
140	46205005	20	26	33	6
141	42302005	20	26	33	2
142	43302005	20	26	33	3
143	44302005	20	26	33	4
144	45302005	20	26	33	5
145	46302005	20	26	33	6
146	42303005	20	26	33	2
147	43303005	20	26	33	3
148	44303005	20	26	33	4
149	45303005	20	26	33	5
150	46303005	20	26	33	6
151	42304005	20	26	33	2
152	43304005	20	26	33	3
153	44304005	20	26	33	4
154	45304005	20	26	33	5
155	46304005	20	26	33	6
156	42305005	20	26	33	2
157	43305005	20	26	33	3
158	44305005	20	26	33	4
159	45305005	20	26	33	5
160	46305005	20	26	33	6
161	42402005	20	26	33	2
162	43402005	20	26	33	3
163	44402005	20	26	33	4
164	45402005	20	26	33	5
165	46402005	20	26	33	6
166	42403005	20	26	33	2
167	43403005	20	26	33	3
168	44403005	20	26	33	4
169	45403005	20	26	33	5
170	46403005	20	26	33	6
171	42404005	20	26	33	2
172	43404005	20	26	33	3
173	44404005	20	26	33	4
174	45404005	20	26	33	5
175	46404005	20	26	33	6
176	42405005	20	26	33	2
177	43405005	20	26	33	3
178	44405005	20	26	33	4
179	45405005	20	26	33	5
180	46405005	20	26	33	6
181	42006106	20	34	41	2
182	43006106	20	34	41	3
183	44006106	20	34	41	4
184	45006106	20	34	41	5
185	46006106	20	34	41	6
186	42006506	20	34	41	2
187	43006506	20	34	41	3
188	44006506	20	34	41	4
189	45006506	20	34	41	5
190	46006506	20	34	41	6
191	42102006	20	34	41	2
192	43102006	20	34	41	3
193	44102006	20	34	41	4
194	45102006	20	34	41	5
195	46102006	20	34	41	6
196	42103006	20	34	41	2
197	43103006	20	34	41	3
198	44103006	20	34	41	4
199	45103006	20	34	41	5
200	46103006	20	34	41	6
201	42104006	20	34	41	2
202	43104006	20	34	41	3
203	44104006	20	34	41	4
204	45104006	20	34	41	5
205	46104006	20	34	41	6
206	42105006	20	34	41	2
207	43105006	20	34	41	3
208	44105006	20	34	41	4
209	45105006	20	34	41	5
210	46105006	20	34	41	6
211	42202006	20	34	41	2
212	43202006	20	34	41	3
213	44202006	20	34	41	4
214	45202006	20	34	41	5
215	46202006	20	34	41	6
216	42203006	20	34	41	2
217	43203006	20	34	41	3
218	44203006	20	34	41	4
219	45203006	20	34	41	5
220	46203006	20	34	41	6
221	42204006	20	34	41	2
222	43204006	20	34	41	3
223	44204006	20	34	41	4
224	45204006	20	34	41	5
225	46204006	20	34	41	6
226	42205006	20	34	41	2
227	43205006	20	34	41	3
228	44205006	20	34	41	4
229	45205006	20	34	41	5
230	46205006	20	34	41	6
231	42302006	20	34	41	2
232	43302006	20	34	41	3
233	44302006	20	34	41	4
234	45302006	20	34	41	5
235	46302006	20	34	41	6
236	42303006	20	34	41	2
237	43303006	20	34	41	3
238	44303006	20	34	41	4
239	45303006	20	34	41	5
240	46303006	20	34	41	6
241	42304006	20	34	41	2
242	43304006	20	34	41	3
243	44304006	20	34	41	4
244	45304006	20	34	41	5
245	46304006	20	34	41	6
246	42305006	20	34	41	2
247	43305006	20	34	41	3
248	44305006	20	34	41	4
249	45305006	20	34	41	5
250	46305006	20	34	41	6
251	42402006	20	34	41	2
252	43402006	20	34	41	3
253	44402006	20	34	41	4
254	45402006	20	34	41	5
255	46402006	20	34	41	6
256	42403006	20	34	41	2
257	43403006	20	34	41	3
258	44403006	20	34	41	4
259	45403006	20	34	41	5
260	46403006	20	34	41	6
261	42404006	20	34	41	2
262	43404006	20	34	41	3
263	44404006	20	34	41	4
264	45404006	20	34	41	5
265	46404006	20	34	41	6
266	42405006	20	34	41	2
267	43405006	20	34	41	3
268	44405006	20	34	41	4
269	45405006	20	34	41	5
270	46405006	20	34	41	6
271	42006107	20	42	49	2
272	43006107	20	42	49	3
273	44006107	20	42	49	4
274	45006107	20	42	49	5
275	46006107	20	42	49	6
276	42006507	20	42	49	2
277	43006507	20	42	49	3
278	44006507	20	42	49	4
279	45006507	20	42	49	5
280	46006507	20	42	49	6
281	42102007	20	42	49	2
282	43102007	20	42	49	3
283	44102007	20	42	49	4
284	45102007	20	42	49	5
285	46102007	20	42	49	6
286	42103007	20	42	49	2
287	43103007	20	42	49	3
288	44103007	20	42	49	4
289	45103007	20	42	49	5
290	46103007	20	42	49	6
291	42104007	20	42	49	2
292	43104007	20	42	49	3
293	44104007	20	42	49	4
294	45104007	20	42	49	5
295	46104007	20	42	49	6
296	42105007	20	42	49	2
297	43105007	20	42	49	3
298	44105007	20	42	49	4
299	45105007	20	42	49	5
300	46105007	20	42	49	6
301	42202007	20	42	49	2
302	43202007	20	42	49	3
303	44202007	20	42	49	4
304	45202007	20	42	49	5
305	46202007	20	42	49	6
306	42203007	20	42	49	2
307	43203007	20	42	49	3
308	44203007	20	42	49	4
309	45203007	20	42	49	5
310	46203007	20	42	49	6
311	42204007	20	42	49	2
312	43204007	20	42	49	3
313	44204007	20	42	49	4
314	45204007	20	42	49	5
315	46204007	20	42	49	6
316	42205007	20	42	49	2
317	43205007	20	42	49	3
318	44205007	20	42	49	4
319	45205007	20	42	49	5
320	46205007	20	42	49	6
321	42302007	20	42	49	2
322	43302007	20	42	49	3
323	44302007	20	42	49	4
324	45302007	20	42	49	5
325	46302007	20	42	49	6
326	42303007	20	42	49	2
327	43303007	20	42	49	3
328	44303007	20	42	49	4
329	45303007	20	42	49	5
330	46303007	20	42	49	6
331	42304007	20	42	49	2
332	43304007	20	42	49	3
333	44304007	20	42	49	4
334	45304007	20	42	49	5
335	46304007	20	42	49	6
336	42305007	20	42	49	2
337	43305007	20	42	49	3
338	44305007	20	42	49	4
339	45305007	20	42	49	5
340	46305007	20	42	49	6
341	42402007	20	42	49	2
342	43402007	20	42	49	3
343	44402007	20	42	49	4
344	45402007	20	42	49	5
345	46402007	20	42	49	6
346	42403007	20	42	49	2
347	43403007	20	42	49	3
348	44403007	20	42	49	4
349	45403007	20	42	49	5
350	46403007	20	42	49	6
351	42404007	20	42	49	2
352	43404007	20	42	49	3
353	44404007	20	42	49	4
354	45404007	20	42	49	5
355	46404007	20	42	49	6
356	42405007	20	42	49	2
357	43405007	20	42	49	3
358	44405007	20	42	49	4
359	45405007	20	42	49	5
360	46405007	20	42	49	6
361	42006108	20	50	57	2
362	43006108	20	50	57	3
363	44006108	20	50	57	4
364	45006108	20	50	57	5
365	46006108	20	50	57	6
366	42006508	20	50	57	2
367	43006508	20	50	57	3
368	44006508	20	50	57	4
369	45006508	20	50	57	5
370	46006508	20	50	57	6
371	42102008	20	50	57	2
372	43102008	20	50	57	3
373	44102008	20	50	57	4
374	45102008	20	50	57	5
375	46102008	20	50	57	6
376	42103008	20	50	57	2
377	43103008	20	50	57	3
378	44103008	20	50	57	4
379	45103008	20	50	57	5
380	46103008	20	50	57	6
381	42104008	20	50	57	2
382	43104008	20	50	57	3
383	44104008	20	50	57	4
384	45104008	20	50	57	5
385	46104008	20	50	57	6
386	42105008	20	50	57	2
387	43105008	20	50	57	3
388	44105008	20	50	57	4
389	45105008	20	50	57	5
390	46105008	20	50	57	6
391	42202008	20	50	57	2
392	43202008	20	50	57	3
393	44202008	20	50	57	4
394	45202008	20	50	57	5
395	46202008	20	50	57	6
396	42203008	20	50	57	2
397	43203008	20	50	57	3
398	44203008	20	50	57	4
399	45203008	20	50	57	5
400	46203008	20	50	57	6
401	42204008	20	50	57	2
402	43204008	20	50	57	3
403	44204008	20	50	57	4
404	45204008	20	50	57	5
405	46204008	20	50	57	6
406	42205008	20	50	57	2
407	43205008	20	50	57	3
408	44205008	20	50	57	4
409	45205008	20	50	57	5
410	46205008	20	50	57	6
411	42302008	20	50	57	2
412	43302008	20	50	57	3
413	44302008	20	50	57	4
414	45302008	20	50	57	5
415	46302008	20	50	57	6
416	42303008	20	50	57	2
417	43303008	20	50	57	3
418	44303008	20	50	57	4
419	45303008	20	50	57	5
420	46303008	20	50	57	6
421	42304008	20	50	57	2
422	43304008	20	50	57	3
423	44304008	20	50	57	4
424	45304008	20	50	57	5
425	46304008	20	50	57	6
426	42305008	20	50	57	2
427	43305008	20	50	57	3
428	44305008	20	50	57	4
429	45305008	20	50	57	5
430	46305008	20	50	57	6
431	42402008	20	50	57	2
432	43402008	20	50	57	3
433	44402008	20	50	57	4
434	45402008	20	50	57	5
435	46402008	20	50	57	6
436	42403008	20	50	57	2
437	43403008	20	50	57	3
438	44403008	20	50	57	4
439	45403008	20	50	57	5
440	46403008	20	50	57	6
441	42404008	20	50	57	2
442	43404008	20	50	57	3
443	44404008	20	50	57	4
444	45404008	20	50	57	5
445	46404008	20	50	57	6
