表ID	孔1属性1类型	孔1属性1值	孔1属性2类型	孔1属性2值	孔2属性1类型	孔2属性1值	孔2属性2类型	孔2属性2值	孔3属性1类型	孔3属性1值	孔3属性2类型	孔3属性2值	孔4属性1类型	孔4属性1值	孔4属性2类型	孔4属性2值
ID	Hole1Type1	Hole1Value1	Hole1Type2	Hole1Value2	Hole2Type1	Hole2Value1	Hole2Type2	Hole2Value2	Hole3Type1	Hole3Value1	Hole3Type2	Hole3Value2	Hole4Type1	Hole4Value1	Hole4Type2	Hole4Value2
1010	4	18375	0	0	12	9188	0	0	4	18375	0	0	12	9188	0	0
1011	4	18375	0	0	12	10106	0	0	4	18375	0	0	12	10106	0	0
1012	4	17456	6	10106	12	8269	13	8269	4	17456	6	10106	12	8269	13	8269
1013	4	7350	6	14700	12	8269	13	8269	4	7350	6	14700	12	8269	13	8269
1020	0	0	6	18375	0	0	13	9188	0	0	6	18375	0	0	13	9188
1021	4	18375	0	0	12	11025	0	0	4	18375	0	0	12	11025	0	0
1022	4	12863	6	12863	12	9188	13	9188	4	12863	6	12863	12	9188	13	9188
1023	0	0	6	22050	0	0	13	11025	0	0	6	22050	0	0	13	11025
1030	4	18375	0	0	12	11025	0	0	4	18375	0	0	12	11025	0	0
1031	4	3675	6	17456	12	10106	13	9188	4	3675	6	17456	12	10106	13	9188
1032	0	0	6	20213	0	0	13	9188	0	0	6	20213	0	0	13	9188
1033	0	0	6	18375	0	0	13	11025	0	0	6	18375	0	0	13	11025
1040	4	22050	0	0	12	9188	0	0	4	22050	0	0	12	9188	0	0
1041	0	0	6	23888	0	0	13	9188	0	0	6	23888	0	0	13	9188
1042	0	0	6	20213	12	9188	13	9188	0	0	6	20213	12	9188	13	9188
1043	4	18375	6	19294	12	9188	13	11025	4	18375	6	19294	12	9188	13	11025
1050	0	0	6	27563	0	0	13	13781	0	0	6	27563	0	0	13	13781
1051	4	14700	0	0	12	9188	13	9188	4	14700	0	0	12	9188	13	9188
1052	0	0	6	20213	0	0	13	7350	0	0	6	20213	0	0	13	7350
1053	4	5513	6	17456	12	9188	13	9188	4	5513	6	17456	12	9188	13	9188
1060	4	25725	0	0	12	11025	0	0	4	25725	0	0	12	11025	0	0
1061	0	0	6	21131	0	0	13	9188	0	0	6	21131	0	0	13	9188
1062	4	5513	6	18375	12	9188	13	9188	4	5513	6	18375	12	9188	13	9188
1063	4	11025	6	16538	12	9188	13	9188	4	11025	6	16538	12	9188	13	9188
2010	16	13125	0	0	1	149625	0	0	5	7088	0	0	7	7088	0	0
2020	16	13125	0	0	1	126000	0	0	5	7875	0	0	7	7875	0	0
2030	16	13125	0	0	1	149625	0	0	5	7875	0	0	7	7875	0	0
2040	16	13125	0	0	1	126000	0	0	5	7875	0	0	7	7875	0	0
2050	16	13125	0	0	1	126000	0	0	5	7088	0	0	7	7088	0	0
2060	16	13125	0	0	1	126000	0	0	5	6694	0	0	7	6694	0	0
3010	7	8269	0	0	10	12469	0	0	7	8269	0	0	10	12469	0	0
3020	7	9188	0	0	10	13125	0	0	7	9188	0	0	10	13125	0	0
3030	7	9188	0	0	10	13125	0	0	7	9188	0	0	10	13125	0	0
3040	7	9188	0	0	10	13125	0	0	7	9188	0	0	10	13125	0	0
3050	7	8269	0	0	10	13125	0	0	7	8269	0	0	10	13125	0	0
3060	7	7810	0	0	10	12469	0	0	7	7810	0	0	10	12469	0	0
5010	5	8269	0	0	9	12469	0	0	5	8269	0	0	9	12469	0	0
5020	5	9188	0	0	9	13125	0	0	5	9188	0	0	9	13125	0	0
5030	5	9188	0	0	9	13125	0	0	5	9188	0	0	9	13125	0	0
5040	5	9188	0	0	9	13125	0	0	5	9188	0	0	9	13125	0	0
5050	5	8269	0	0	9	13125	0	0	5	8269	0	0	9	13125	0	0
5060	5	7810	0	0	9	12469	0	0	5	7810	0	0	9	12469	0	0
4010	1	174563	0	0	16	13125	0	0	1	174563	0	0	14	26250	0	0
4020	1	147000	0	0	16	13125	0	0	1	147000	0	0	14	26250	0	0
4030	1	174563	0	0	16	13125	0	0	1	174563	0	0	14	26250	0	0
4040	1	147000	0	0	16	13125	0	0	1	147000	0	0	14	26250	0	0
4050	1	147000	0	0	16	13125	0	0	1	147000	0	0	14	26250	0	0
4060	1	147000	0	0	16	13125	0	0	1	147000	0	0	14	26250	0	0
6001	4	7875	0	0	12	3938	0	0	4	7875	0	0	12	3938	0	0
6002	6	7875	0	0	13	3938	0	0	6	7875	0	0	13	3938	0	0
