编号	总星数	道具奖励	货币奖励	奖励内容
ID	TotalStars	ItemRewards	CurrencyRewards	awardDetails
100	20	0:91000006:2;0:1:20000;	0	六级宝石*2;金币*20000;
200	18	0:91000006:1;0:91000005:1;0:1:18000;	0	六级宝石*1;五级宝石*1;金币*18000;
300	16	0:91000005:2;0:91000004:2;0:1:16000;	0	五级宝石*2;四级宝石*2;金币*16000;
400	15	0:91000005:1;0:91000004:1;0:1:14000;	0	五级宝石*1;四级宝石*1;金币*14000;
500	14	0:91000004:2;0:91000003:1;0:1:12000;	0	四级宝石*2;三级宝石*1;金币*12000;
600	13	0:91000004:2;0:1:10000;	0	四级宝石*2;金币*10000;
700	12	0:91000004:1;0:1:8000;	0	四级宝石*1;金币*8000;
800	11	0:91000003:2;0:91000002:2;0:1:7000;	0	三级宝石*2;二级宝石*2;金币*7000;
900	10	0:91000003:2;0:91000002:1;0:1:6000;	0	三级宝石*2;二级宝石*1;金币*6000;
1000	9	0:91000003:2;0:1:5000;	0	三级宝石*2;金币*5000;
1100	8	0:91000003:1;0:1:4000;	0	三级宝石*1;金币*4000;
1200	7	0:91000002:2;0:91000001:1;0:1:3000;	0	二级宝石*2;一级宝石*1;金币*3000;
1300	6	0:91000002:2;0:1:2000;	0	二级宝石*2;金币*2000;
1400	5	0:91000002:1;0:1:1000;	0	二级宝石*1;金币*1000;
1500	4	0:91000001:2;0:1:800;	0	一级宝石*2;金币*800;
1600	3	0:91000001:1;0:1:500;	0	一级宝石*1;金币*500;
