奖励的ID	起始名次	结束名次	荣耀点奖励	金币奖励	钻石奖励	道具1ID	道具1数量	道具2ID	道具2数量	道具3ID	道具3数量	道具4ID	道具4数量	道具5ID	道具5数量
ID	Start	End	Glory	Money	DMoney	Item1ID	Item1Number	Item2ID	Item2Number	Item3ID	Item3Number	Item4ID	Item4Number	Item5ID	Item5Number
1	1	1	3500	80000	1000	91000008	3	0	0	0	0	0	0	0	0
2	2	5	3400	70000	900	91000008	2	0	0	0	0	0	0	0	0
3	6	10	3200	60000	800	91000008	1	0	0	0	0	0	0	0	0
4	11	20	3000	50000	600	91000007	2	0	0	0	0	0	0	0	0
5	21	30	2900	40000	400	91000006	5	0	0	0	0	0	0	0	0
6	31	50	2800	30000	200	91000006	3	0	0	0	0	0	0	0	0
7	51	100	2700	20000	150	91000005	4	0	0	0	0	0	0	0	0
8	101	200	2600	15000	100	91000004	5	0	0	0	0	0	0	0	0
9	201	500	2500	10000	80	91000004	4	0	0	0	0	0	0	0	0
10	501	1000	2200	5000	70	91000004	3	0	0	0	0	0	0	0	0
11	1001	2000	1900	3000	50	0	0	0	0	0	0	0	0	0	0
12	2001	5000	1600	2000	30	0	0	0	0	0	0	0	0	0	0
13	5001	99999	1000	1000	20	0	0	0	0	0	0	0	0	0	0
