怪物ID	卡牌ID	等级	突破	AI	AI参数1	AI参数2	阵营	技能1等级	技能2等级	技能3等级	技能4等级	技能5等级	技能6等级	技能7等级	技能8等级	技能9等级	技能10等级	技能11等级	技能12等级	技能13等级	技能14等级	技能15等级
id	card	level	Breakthrough	ai	param1	param2	camp	Skill1Level	Skill2Level	Skill3Level	Skill4Level	Skill5Level	Skill6Level	Skill7Level	Skill8Level	Skill9Level	Skill10Level	Skill11Level	Skill12Level	Skill13Level	Skill14Level	Skill15Level
100001	12102	12	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
100002	12002	12	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
100003	12003	12	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
100004	11007	12	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
105001	21202	13	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
105002	22103	13	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
105003	21302	13	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
105004	21303	13	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
105005	22004	13	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
110001	21202	15	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
110002	22103	15	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
110003	21302	15	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
110004	21303	15	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
110005	22004	15	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
110006	21102	15	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
115001	32104	17	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
115002	32202	17	0	100	0	0	99	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
