商店的ID	起始等级	结束等级	宝石孔位	洗练属性	物品1	物品2	物品3	物品4	物品5	物品6	物品7	物品8	物品9	物品10	物品11	物品12	物品13	物品14
ID	Start	End	GemMax	WashMax	Item1	Item2	Item3	Item4	Item5	Item6	Item7	Item8	Item9	Item10	Item11	Item12	Item13	Item14
1	1	4	0	0	201001	202001	203001	203001	0	0	0	0	0	0	0	0	0	0
2	5	9	0	0	201001	202001	204005	204005	203001	203001	0	0	0	0	0	0	0	0
3	10	17	0	0	201001	202010	204010	204010	203001	203001	0	0	0	0	0	0	0	0
4	18	21	0	0	201001	202010	204015	204015	203001	203001	0	0	0	0	0	0	0	0
5	22	25	0	0	201020	202020	202020	204020	203020	203020	0	0	0	0	0	0	0	0
6	26	33	4	0	201020	201020	202020	204025	204025	203020	203020	0	0	0	0	0	0	0
7	34	41	4	4	201030	201030	202030	202030	204030	204030	204030	203030	203030	203030	0	0	0	0
8	42	49	4	4	201040	201040	201040	202040	202040	204035	204035	204035	204035	203030	203030	203030	0	0
9	50	57	4	4	201040	201040	201040	202050	202050	204040	204040	204040	204040	204040	203050	203050	203050	0
10	58	65	4	4	201050	201050	201050	201050	202050	202050	204045	204045	204045	204045	204045	203050	203050	203050
11	66	73	4	4	201050	201050	201050	201050	202050	202050	204050	204050	204050	204050	204050	203050	203050	203050
12	74	81	4	4	201060	201060	201060	201060	202050	202050	204055	204055	204055	204055	204055	203050	203050	203050
13	82	89	4	4	201060	201060	201060	201060	202050	202050	204060	204060	204060	204060	204060	203085	203085	203085
14	90	100	4	4	201060	201060	201060	201060	202050	202050	204065	204065	204065	204065	204065	203085	203085	203085
