道具组id	道具id	道具名称	道具数量	道具权重	需求货币数量
mystery_item_id	item_id	name	count	weighing	money_count
201001	51101000	剑客武器图纸	1	10	50
201001	51111000	狂战武器图纸	1	10	50
201001	51121000	鬼阵武器图纸	1	10	50
201001	51131000	魔剑士武器图纸	1	10	50
201001	51201000	枪炮师武器图纸	1	10	50
201001	51211000	神枪手武器图纸	1	10	50
201001	51221000	弹药专家武器图纸	1	10	50
201001	51301000	拳法家武器图纸	1	10	50
201001	51311000	流氓武器图纸	1	10	50
201001	51321000	气功师武器图纸	1	10	50
201001	51401000	战斗法师武器图纸	1	10	50
201001	51411000	元素法师武器图纸	1	10	50
201001	51231000	弹药武器图纸	1	10	50
201001	51431000	魔道武器图纸	1	10	50
201020	51101000	剑客武器图纸	1	10	50
201020	51111000	狂战武器图纸	1	10	50
201020	51121000	鬼阵武器图纸	1	10	50
201020	51131000	魔剑士武器图纸	1	10	50
201020	51201000	枪炮师武器图纸	1	10	50
201020	51211000	神枪手武器图纸	1	10	50
201020	51221000	弹药专家武器图纸	1	10	50
201020	51301000	拳法家武器图纸	1	10	50
201020	51311000	流氓武器图纸	1	10	50
201020	51321000	气功师武器图纸	1	10	50
201020	51401000	战斗法师武器图纸	1	10	50
201020	51411000	元素法师武器图纸	1	10	50
201020	52101000	剑客武器图纸	1	10	100
201020	52111000	狂战武器图纸	1	10	100
201020	52121000	鬼阵武器图纸	1	10	100
201020	52131000	魔剑士武器图纸	1	10	100
201020	52201000	枪炮师武器图纸	1	10	100
201020	52211000	神枪手武器图纸	1	10	100
201020	52221000	弹药专家武器图纸	1	10	100
201020	52301000	拳法家武器图纸	1	10	100
201020	52311000	流氓武器图纸	1	10	100
201020	52321000	气功师武器图纸	1	10	100
201020	52401000	战斗法师武器图纸	1	10	100
201020	52411000	元素法师武器图纸	1	10	100
201020	51231000	弹药	1	10	50
201020	52231000	弹药	1	10	100
201020	51431000	弹药	1	10	50
201020	52431000	弹药	1	10	100
201030	51101000	剑客武器图纸	1	10	50
201030	51111000	狂战武器图纸	1	10	50
201030	51121000	鬼阵武器图纸	1	10	50
201030	51131000	魔剑士武器图纸	1	10	50
201030	51201000	枪炮师武器图纸	1	10	50
201030	51211000	神枪手武器图纸	1	10	50
201030	51221000	弹药专家武器图纸	1	10	50
201030	51301000	拳法家武器图纸	1	10	50
201030	51311000	流氓武器图纸	1	10	50
201030	51321000	气功师武器图纸	1	10	50
201030	51401000	战斗法师武器图纸	1	10	50
201030	51411000	元素法师武器图纸	1	10	50
201030	52101000	剑客武器图纸	1	10	100
201030	52111000	狂战武器图纸	1	10	100
201030	52121000	鬼阵武器图纸	1	10	100
201030	52131000	魔剑士武器图纸	1	10	100
201030	52201000	枪炮师武器图纸	1	10	100
201030	52211000	神枪手武器图纸	1	10	100
201030	52221000	弹药专家武器图纸	1	10	100
201030	52301000	拳法家武器图纸	1	10	100
201030	52311000	流氓武器图纸	1	10	100
201030	52321000	气功师武器图纸	1	10	100
201030	52401000	战斗法师武器图纸	1	10	100
201030	52411000	元素法师武器图纸	1	10	100
201030	53101000	剑客武器图纸	1	10	200
201030	53111000	狂战武器图纸	1	10	200
201030	53121000	鬼阵武器图纸	1	10	200
201030	53131000	魔剑士武器图纸	1	10	200
201030	53201000	枪炮师武器图纸	1	10	200
201030	53211000	神枪手武器图纸	1	10	200
201030	53221000	弹药专家武器图纸	1	10	200
201030	53301000	拳法家武器图纸	1	10	200
201030	53311000	流氓武器图纸	1	10	200
201030	53321000	气功师武器图纸	1	10	200
201030	53401000	战斗法师武器图纸	1	10	200
201030	53411000	元素法师武器图纸	1	10	200
201030	51231000	弹药	1	10	50
201030	52231000	弹药	1	10	100
201030	53231000	弹药	1	10	200
201030	51431000	弹药	1	10	50
201030	52431000	弹药	1	10	100
201030	53431000	弹药	1	10	200
201040	51101000	剑客武器图纸	1	10	50
201040	51111000	狂战武器图纸	1	10	50
201040	51121000	鬼阵武器图纸	1	10	50
201040	51131000	魔剑士武器图纸	1	10	50
201040	51201000	枪炮师武器图纸	1	10	50
201040	51211000	神枪手武器图纸	1	10	50
201040	51221000	弹药专家武器图纸	1	10	50
201040	51301000	拳法家武器图纸	1	10	50
201040	51311000	流氓武器图纸	1	10	50
201040	51321000	气功师武器图纸	1	10	50
201040	51401000	战斗法师武器图纸	1	10	50
201040	51411000	元素法师武器图纸	1	10	50
201040	52101000	剑客武器图纸	1	10	100
201040	52111000	狂战武器图纸	1	10	100
201040	52121000	鬼阵武器图纸	1	10	100
201040	52131000	魔剑士武器图纸	1	10	100
201040	52201000	枪炮师武器图纸	1	10	100
201040	52211000	神枪手武器图纸	1	10	100
201040	52221000	弹药专家武器图纸	1	10	100
201040	52301000	拳法家武器图纸	1	10	100
201040	52311000	流氓武器图纸	1	10	100
201040	52321000	气功师武器图纸	1	10	100
201040	52401000	战斗法师武器图纸	1	10	100
201040	52411000	元素法师武器图纸	1	10	100
201040	53101000	剑客武器图纸	1	10	200
201040	53111000	狂战武器图纸	1	10	200
201040	53121000	鬼阵武器图纸	1	10	200
201040	53131000	魔剑士武器图纸	1	10	200
201040	53201000	枪炮师武器图纸	1	10	200
201040	53211000	神枪手武器图纸	1	10	200
201040	53221000	弹药专家武器图纸	1	10	200
201040	53301000	拳法家武器图纸	1	10	200
201040	53311000	流氓武器图纸	1	10	200
201040	53321000	气功师武器图纸	1	10	200
201040	53401000	战斗法师武器图纸	1	10	200
201040	53411000	元素法师武器图纸	1	10	200
201040	54101000	剑客武器图纸	1	10	400
201040	54111000	狂战武器图纸	1	10	400
201040	54121000	鬼阵武器图纸	1	10	400
201040	54131000	魔剑士武器图纸	1	10	400
201040	54201000	枪炮师武器图纸	1	10	400
201040	54211000	神枪手武器图纸	1	10	400
201040	54221000	弹药专家武器图纸	1	10	400
201040	54301000	拳法家武器图纸	1	10	400
201040	54311000	流氓武器图纸	1	10	400
201040	54321000	气功师武器图纸	1	10	400
201040	54401000	战斗法师武器图纸	1	10	400
201040	54411000	元素法师武器图纸	1	10	400
201040	51231000	弹药	1	10	50
201040	52231000	弹药	1	10	100
201040	53231000	弹药	1	10	200
201040	54231000	弹药	1	10	400
201040	51431000	弹药	1	10	50
201040	52431000	弹药	1	10	100
201040	53431000	弹药	1	10	200
201040	54431000	弹药	1	10	400
201050	51101000	剑客武器图纸	1	10	50
201050	51111000	狂战武器图纸	1	10	50
201050	51121000	鬼阵武器图纸	1	10	50
201050	51131000	魔剑士武器图纸	1	10	50
201050	51201000	枪炮师武器图纸	1	10	50
201050	51211000	神枪手武器图纸	1	10	50
201050	51221000	弹药专家武器图纸	1	10	50
201050	51301000	拳法家武器图纸	1	10	50
201050	51311000	流氓武器图纸	1	10	50
201050	51321000	气功师武器图纸	1	10	50
201050	51401000	战斗法师武器图纸	1	10	50
201050	51411000	元素法师武器图纸	1	10	50
201050	52101000	剑客武器图纸	1	10	100
201050	52111000	狂战武器图纸	1	10	100
201050	52121000	鬼阵武器图纸	1	10	100
201050	52131000	魔剑士武器图纸	1	10	100
201050	52201000	枪炮师武器图纸	1	10	100
201050	52211000	神枪手武器图纸	1	10	100
201050	52221000	弹药专家武器图纸	1	10	100
201050	52301000	拳法家武器图纸	1	10	100
201050	52311000	流氓武器图纸	1	10	100
201050	52321000	气功师武器图纸	1	10	100
201050	52401000	战斗法师武器图纸	1	10	100
201050	52411000	元素法师武器图纸	1	10	100
201050	53101000	剑客武器图纸	1	10	200
201050	53111000	狂战武器图纸	1	10	200
201050	53121000	鬼阵武器图纸	1	10	200
201050	53131000	魔剑士武器图纸	1	10	200
201050	53201000	枪炮师武器图纸	1	10	200
201050	53211000	神枪手武器图纸	1	10	200
201050	53221000	弹药专家武器图纸	1	10	200
201050	53301000	拳法家武器图纸	1	10	200
201050	53311000	流氓武器图纸	1	10	200
201050	53321000	气功师武器图纸	1	10	200
201050	53401000	战斗法师武器图纸	1	10	200
201050	53411000	元素法师武器图纸	1	10	200
201050	54101000	剑客武器图纸	1	10	400
201050	54111000	狂战武器图纸	1	10	400
201050	54121000	鬼阵武器图纸	1	10	400
201050	54131000	魔剑士武器图纸	1	10	400
201050	54201000	枪炮师武器图纸	1	10	400
201050	54211000	神枪手武器图纸	1	10	400
201050	54221000	弹药专家武器图纸	1	10	400
201050	54301000	拳法家武器图纸	1	10	400
201050	54311000	流氓武器图纸	1	10	400
201050	54321000	气功师武器图纸	1	10	400
201050	54401000	战斗法师武器图纸	1	10	400
201050	54411000	元素法师武器图纸	1	10	400
201050	55101000	剑客武器图纸	1	10	1000
201050	55111000	狂战武器图纸	1	10	1000
201050	55121000	鬼阵武器图纸	1	10	1000
201050	55131000	魔剑士武器图纸	1	10	1000
201050	55201000	枪炮师武器图纸	1	10	1000
201050	55211000	神枪手武器图纸	1	10	1000
201050	55221000	弹药专家武器图纸	1	10	1000
201050	55301000	拳法家武器图纸	1	10	1000
201050	55311000	流氓武器图纸	1	10	1000
201050	55321000	气功师武器图纸	1	10	1000
201050	55401000	战斗法师武器图纸	1	10	1000
201050	55411000	元素法师武器图纸	1	10	1000
201050	51231000	弹药	1	10	50
201050	52231000	弹药	1	10	100
201050	53231000	弹药	1	10	200
201050	54231000	弹药	1	10	400
201050	55231000	弹药	1	10	1000
201050	51431000	弹药	1	10	50
201050	52431000	弹药	1	10	100
201050	53431000	弹药	1	10	200
201050	54431000	弹药	1	10	400
201050	55431000	弹药	1	10	1000
201060	51101000	剑客武器图纸	1	10	50
201060	51111000	狂战武器图纸	1	10	50
201060	51121000	鬼阵武器图纸	1	10	50
201060	51131000	魔剑士武器图纸	1	10	50
201060	51201000	枪炮师武器图纸	1	10	50
201060	51211000	神枪手武器图纸	1	10	50
201060	51221000	弹药专家武器图纸	1	10	50
201060	51301000	拳法家武器图纸	1	10	50
201060	51311000	流氓武器图纸	1	10	50
201060	51321000	气功师武器图纸	1	10	50
201060	51401000	战斗法师武器图纸	1	10	50
201060	51411000	元素法师武器图纸	1	10	50
201060	52101000	剑客武器图纸	1	10	100
201060	52111000	狂战武器图纸	1	10	100
201060	52121000	鬼阵武器图纸	1	10	100
201060	52131000	魔剑士武器图纸	1	10	100
201060	52201000	枪炮师武器图纸	1	10	100
201060	52211000	神枪手武器图纸	1	10	100
201060	52221000	弹药专家武器图纸	1	10	100
201060	52301000	拳法家武器图纸	1	10	100
201060	52311000	流氓武器图纸	1	10	100
201060	52321000	气功师武器图纸	1	10	100
201060	52401000	战斗法师武器图纸	1	10	100
201060	52411000	元素法师武器图纸	1	10	100
201060	53101000	剑客武器图纸	1	10	200
201060	53111000	狂战武器图纸	1	10	200
201060	53121000	鬼阵武器图纸	1	10	200
201060	53131000	魔剑士武器图纸	1	10	200
201060	53201000	枪炮师武器图纸	1	10	200
201060	53211000	神枪手武器图纸	1	10	200
201060	53221000	弹药专家武器图纸	1	10	200
201060	53301000	拳法家武器图纸	1	10	200
201060	53311000	流氓武器图纸	1	10	200
201060	53321000	气功师武器图纸	1	10	200
201060	53401000	战斗法师武器图纸	1	10	200
201060	53411000	元素法师武器图纸	1	10	200
201060	54101000	剑客武器图纸	1	10	400
201060	54111000	狂战武器图纸	1	10	400
201060	54121000	鬼阵武器图纸	1	10	400
201060	54131000	魔剑士武器图纸	1	10	400
201060	54201000	枪炮师武器图纸	1	10	400
201060	54211000	神枪手武器图纸	1	10	400
201060	54221000	弹药专家武器图纸	1	10	400
201060	54301000	拳法家武器图纸	1	10	400
201060	54311000	流氓武器图纸	1	10	400
201060	54321000	气功师武器图纸	1	10	400
201060	54401000	战斗法师武器图纸	1	10	400
201060	54411000	元素法师武器图纸	1	10	400
201060	55101000	剑客武器图纸	1	10	1000
201060	55111000	狂战武器图纸	1	10	1000
201060	55121000	鬼阵武器图纸	1	10	1000
201060	55131000	魔剑士武器图纸	1	10	1000
201060	55201000	枪炮师武器图纸	1	10	1000
201060	55211000	神枪手武器图纸	1	10	1000
201060	55221000	弹药专家武器图纸	1	10	1000
201060	55301000	拳法家武器图纸	1	10	1000
201060	55311000	流氓武器图纸	1	10	1000
201060	55321000	气功师武器图纸	1	10	1000
201060	55401000	战斗法师武器图纸	1	10	1000
201060	55411000	元素法师武器图纸	1	10	1000
201060	56101000	剑客武器图纸	1	10	3000
201060	56111000	狂战武器图纸	1	10	3000
201060	56121000	鬼阵武器图纸	1	10	3000
201060	56131000	魔剑士武器图纸	1	10	3000
201060	56201000	枪炮师武器图纸	1	10	3000
201060	56211000	神枪手武器图纸	1	10	3000
201060	56221000	弹药专家武器图纸	1	10	3000
201060	56301000	拳法家武器图纸	1	10	3000
201060	56311000	流氓武器图纸	1	10	3000
201060	56321000	气功师武器图纸	1	10	3000
201060	56401000	战斗法师武器图纸	1	10	3000
201060	56411000	元素法师武器图纸	1	10	3000
201060	51231000	弹药	1	10	50
201060	52231000	弹药	1	10	100
201060	53231000	弹药	1	10	200
201060	54231000	弹药	1	10	400
201060	55231000	弹药	1	10	1000
201060	56231000	弹药	1	10	3000
201060	51431000	弹药	1	10	50
201060	52431000	弹药	1	10	100
201060	53431000	弹药	1	10	200
201060	54431000	弹药	1	10	400
201060	55431000	弹药	1	10	1000
201060	56431000	弹药	1	10	3000
202001	71000001	sp+5	10	10	20
202010	71000001	sp+5	10	10	20
202010	72000001	sp+10	5	10	25
202010	72000001	sp+10	10	10	50
202020	71000001	sp+5	10	10	20
202020	72000001	sp+10	5	10	25
202020	72000001	sp+10	10	10	50
202020	73000001	sp+15	2	10	30
202020	73000001	sp+15	3	10	45
202020	73000001	sp+15	4	10	60
202020	73000001	sp+15	5	10	75
202020	73000001	sp+15	10	10	150
202030	71000001	sp+5	10	10	20
202030	72000001	sp+10	5	10	25
202030	72000001	sp+10	10	10	50
202030	73000001	sp+15	2	10	30
202030	73000001	sp+15	3	10	45
202030	73000001	sp+15	4	10	60
202030	73000001	sp+15	5	10	75
202030	73000001	sp+15	10	10	150
202030	74000001	sp+20	1	10	100
202030	74000001	sp+20	2	10	200
202030	74000001	sp+20	3	10	300
202030	74000001	sp+20	4	10	400
202030	74000001	sp+20	5	10	500
202030	74000001	sp+20	10	10	1000
202030	86001018	原石	2	10	30
202030	86001018	原石	3	10	45
202030	86001018	原石	4	10	60
202030	86001018	原石	5	10	75
202030	86001018	原石	10	10	150
202040	71000001	sp+5	10	10	20
202040	72000001	sp+10	5	10	25
202040	72000001	sp+10	10	10	50
202040	73000001	sp+15	2	10	30
202040	73000001	sp+15	3	10	45
202040	73000001	sp+15	4	10	60
202040	73000001	sp+15	5	10	75
202040	73000001	sp+15	10	10	150
202040	74000001	sp+20	1	10	100
202040	74000001	sp+20	2	10	200
202040	74000001	sp+20	3	10	300
202040	74000001	sp+20	4	10	400
202040	74000001	sp+20	5	10	500
202040	74000001	sp+20	10	10	1000
202040	86001018	原石	2	10	30
202040	86001018	原石	3	10	45
202040	86001018	原石	4	10	60
202040	86001018	原石	5	10	75
202040	86001018	原石	10	10	150
202050	71000001	sp+5	10	10	20
202050	72000001	sp+10	5	10	25
202050	72000001	sp+10	10	10	50
202050	73000001	sp+15	2	10	30
202050	73000001	sp+15	3	10	45
202050	73000001	sp+15	4	10	60
202050	73000001	sp+15	5	10	75
202050	73000001	sp+15	10	10	150
202050	74000001	sp+20	1	10	100
202050	74000001	sp+20	2	10	200
202050	74000001	sp+20	3	10	300
202050	74000001	sp+20	4	10	400
202050	74000001	sp+20	5	10	500
202050	74000001	sp+20	10	10	1000
202050	75000001	sp+25	1	10	200
202050	75000001	sp+25	2	10	400
202050	75000001	sp+25	3	10	600
202050	75000001	sp+25	4	10	800
202050	75000001	sp+25	5	10	1000
202050	75000001	sp+25	10	10	2000
202050	86001018	原石	2	10	30
202050	86001018	原石	3	10	45
202050	86001018	原石	4	10	60
202050	86001018	原石	5	10	75
202050	86001018	原石	10	10	150
203001	60000001	暗夜猫眼石	1	10	2
203001	60000002	骷髅骨灰	1	10	2
203001	60000003	秘银碎屑	1	10	2
203001	60000004	冰霜残迹	1	10	2
203001	60000005	骷髅法师的手骨	1	10	2
203001	60000006	腐骨羊的骨椎	1	10	2
203001	60000001	暗夜猫眼石	3	10	6
203001	60000002	骷髅骨灰	3	10	6
203001	60000003	秘银碎屑	3	10	6
203001	60000004	冰霜残迹	3	10	6
203001	60000005	骷髅法师的手骨	3	10	6
203001	60000006	腐骨羊的骨椎	3	10	6
203001	60000001	暗夜猫眼石	5	10	10
203001	60000002	骷髅骨灰	5	10	10
203001	60000003	秘银碎屑	5	10	10
203001	60000004	冰霜残迹	5	10	10
203001	60000005	骷髅法师的手骨	5	10	10
203001	60000006	腐骨羊的骨椎	5	10	10
203001	60000001	暗夜猫眼石	10	10	20
