道具组ID	道具ID	道具数量	道具权重	兑换凭证
BundleID	ItemID	Quality	Rate	Proof
10	87400034	1	500	0:86001019:830;
10	87400037	1	500	0:86001019:420;
10	87400040	1	500	0:86001019:830;
10	87400043	1	500	0:86001019:420;
10	87500035	1	500	0:86001019:830;
10	87500038	1	500	0:86001019:830;
20	87400046	1	500	0:86001019:420;
20	87400049	1	500	0:86001019:830;
20	87400052	1	500	0:86001019:830;
20	87400055	1	500	0:86001019:830;
20	87400058	1	500	0:86001019:420;
20	87500047	1	500	0:86001019:420;
20	87500056	1	500	0:86001019:830;
20	87500059	1	500	0:86001019:830;
30	87400061	1	500	0:86001019:420;
30	87400064	1	500	0:86001019:420;
30	87500062	1	500	0:86001019:830;
30	87500065	1	500	0:86001019:830;
40	87400002	1	500	0:86001019:830;
40	87400005	1	500	0:86001019:420;
40	87400008	1	500	0:86001019:830;
40	87400011	1	500	0:86001019:420;
40	87400014	1	500	0:86001019:420;
40	87400017	1	500	0:86001019:830;
40	87400020	1	500	0:86001019:830;
40	87400023	1	500	0:86001019:420;
40	87400026	1	500	0:86001019:420;
40	87400029	1	500	0:86001019:420;
40	87400032	1	500	0:86001019:420;
50	87401068	1	500	0:86001019:340;
50	87501069	1	500	0:86001019:1240;
50	87401071	1	500	0:86001019:1570;
50	87501072	1	500	0:86001019:3720;
50	87401074	1	500	0:86001019:4140;
50	87501075	1	500	0:86001019:9920;
60	87201112	1	500	0:86001019:830;
60	87201118	1	500	0:86001019:830;
60	87201121	1	500	0:86001019:830;
60	87201124	1	500	0:86001019:580;
60	87201127	1	500	0:86001019:580;
60	87201130	1	500	0:86001019:580;
60	87201133	1	500	0:86001019:580;
70	87401113	1	500	0:86001019:2070;
70	87401119	1	500	0:86001019:2070;
70	87401122	1	500	0:86001019:2070;
70	87401125	1	500	0:86001019:1490;
70	87401128	1	500	0:86001019:1490;
70	87401131	1	500	0:86001019:1490;
70	87401134	1	500	0:86001019:1490;
80	87501114	1	500	0:86001019:4140;
80	87501120	1	500	0:86001019:4140;
80	87501123	1	500	0:86001019:2070;
80	87501126	1	500	0:86001019:2070;
80	87501129	1	500	0:86001019:2070;
80	87501132	1	500	0:86001019:2070;
80	87501135	1	500	0:86001019:2070;
90	87411139	1	500	0:86001019:4140;
90	87411145	1	500	0:86001019:4140;
90	87411148	1	500	0:86001019:2070;
90	87411152	1	500	0:86001019:2070;
90	87411155	1	500	0:86001019:2070;
90	87411158	1	500	0:86001019:2070;
90	87411161	1	500	0:86001019:2070;
100	87511140	1	500	0:86001019:24790;
100	87511146	1	500	0:86001019:24790;
100	87511149	1	500	0:86001019:12400;
100	87511153	1	500	0:86001019:12400;
100	87511156	1	500	0:86001019:12400;
100	87511159	1	500	0:86001019:12400;
100	87511162	1	500	0:86001019:12400;
