编号	魔力珠名称	生命固定值	生命百分比（基础）	生命百分比（最终）	物攻固定值	物攻百分比（基础）	物攻百分比（最终）	魔攻固定值	魔攻百分比（基础）	魔攻百分比（最终）	物防固定值	物防百分比（基础）	物防百分比（最终）	魔防固定值	魔防百分比（基础）	魔防百分比（最终）	物暴固定值	物暴百分比（基础）	物暴百分比（最终）	魔暴固定值	魔暴百分比（基础）	魔暴百分比（最终）	命中固定值	命中百分比（基础）	命中百分比（最终）	格挡固定值	格挡百分比（基础）	格挡百分比（最终）	物理暴抗固定值	物理暴抗百分比（基础）	物理暴抗百分比（最终）	魔法暴抗固定值	魔法暴抗百分比（基础）	魔法暴抗百分比（最终）	是否可全队享受	特殊类功能	特殊功能所需参数	魔能珠构成	效能提升次数	效能提升成长率	注魔次数	时限	次限	逝魔后获得的魔力残骸数量	生效限制	显示描述
ID	Name	HPMAX1	HPMAX2	HPMAX3	ATK1	ATK2	ATK3	MAG1	MAG2	MAG3	DEF1	DEF2	DEF3	MDF1	MDF2	MDF3	CRT1	CRT2	CRT3	MCT1	MCT2	MCT3	HIT1	HIT2	HIT3	DEX1	DEX2	DEX3	WIL1	WIL2	WIL3	MWL1	MWL2	MWL3	TeamUse	Special	Parameter	Material	StrengthenTimes	StrengthenEffective	MagicInjection	Deadline	Times	Decompose	Condition	Exhibition
87000000	力量之源·小	0	0	0	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,5"	9	4	1	0	0	5	3	
87200001	力量之源·中	0	0	0	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,5,11"	9	7	0	0	0	20	3	
87400002	力量之源·大	0	0	0	1114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,4,5"	9	7	0	0	0	50	3	
87000003	守护之心·小	0	0	0	0	0	0	0	0	0	886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3"	9	4	2	0	0	5	3	
87200004	守护之心·中	0	0	0	0	0	0	0	0	0	1114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,4"	9	7	2	0	0	20	3	
87400005	守护之心·大	0	0	0	0	0	0	0	0	0	1392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,7"	9	7	1	0	0	50	3	
87000006	魔魂契约·小	0	0	0	0	0	0	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,9"	9	4	1	0	0	5	3	
87200007	魔魂契约·中	0	0	0	0	0	0	891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,7,9"	9	7	0	0	0	20	3	
87400008	魔魂契约·大	0	0	0	0	0	0	1114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,4,6"	9	7	0	0	0	50	3	
87000009	能量屏障·小	0	0	0	0	0	0	0	0	0	0	0	0	886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,5"	9	4	2	0	0	5	3	
87200010	能量屏障·中	0	0	0	0	0	0	0	0	0	0	0	0	1114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,10"	9	7	2	0	0	20	3	
87400011	能量屏障·大	0	0	0	0	0	0	0	0	0	0	0	0	1392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,11"	9	7	1	0	0	50	3	
87000012	血气旺盛·小	17719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,6"	9	4	2	0	0	5	3	
87200013	血气旺盛·中	22275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,12"	9	7	2	0	0	20	3	
87400014	血气旺盛·大	27844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,3,4,5"	9	7	1	0	0	50	3	
87000015	刀影锋芒·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,7"	9	4	2	0	0	5	3	
87200016	刀影锋芒·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,3,6"	9	7	2	0	0	20	3	
87400017	刀影锋芒·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,3,4,7"	9	7	1	0	0	50	3	
87000018	聚魔灵爆·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,8"	9	4	2	0	0	5	3	
87200019	聚魔灵爆·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,3,8"	9	7	2	0	0	20	3	
87400020	聚魔灵爆·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,3,4,9"	9	7	1	0	0	50	3	
87000021	不屈意志·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	0	0	0	0	0	0	0	0	"1,2,9"	9	4	2	0	0	5	3	
87200022	不屈意志·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1114	0	0	0	0	0	0	0	0	"1,3,12"	9	7	2	0	0	20	3	
87400023	不屈意志·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1392	0	0	0	0	0	0	0	0	"1,3,4,10"	9	7	1	0	0	50	3	
87000024	能量干扰·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886	0	0	0	0	0	"1,2,11"	9	4	2	0	0	5	3	
87200025	能量干扰·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1114	0	0	0	0	0	"1,4,11"	9	7	2	0	0	20	3	
87400026	能量干扰·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1392	0	0	0	0	0	"1,4,5,8"	9	7	1	0	0	50	3	
87000027	拆招御力·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1240	0	0	0	0	0	0	0	0	0	0	0	"1,3,4"	9	4	2	0	0	5	3	
87200028	拆招御力·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1559	0	0	0	0	0	0	0	0	0	0	0	"1,4,12"	9	7	2	0	0	20	3	
87400029	拆招御力·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1949	0	0	0	0	0	0	0	0	0	0	0	"1,4,5,6"	9	7	1	0	0	50	3	
87000030	鹰目之眸·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,3,5"	9	4	2	0	0	5	3	
87200031	鹰目之眸·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,5,7"	9	7	2	0	0	20	3	
87400032	鹰目之眸·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,4,5,10"	9	7	1	0	0	50	3	
87100033	执刑者之魂·小	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2,3,5,11"	9	5	1	0	0	10	3	物理攻击力+%d%%（基础值）。
87400034	执刑者之魂·中	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,7,11"	9	5	0	0	0	50	3	物理攻击力+%d%%（基础值）。
87500035	执刑者之魂·大	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,4,7"	9	5	0	0	0	100	3	物理攻击力+%d%%（基础值）。
87100036	守护者之赦·小	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,3,7"	9	5	2	0	0	10	3	物理防御力+%d%%（基础值）。
87400037	守护者之赦·中	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2,3,5,12"	9	5	1	0	0	50	3	物理防御力+%d%%（基础值）。
87500038	守护者之赦·大	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,4,9"	9	5	0	0	0	100	3	物理防御力+%d%%（基础值）。
87100039	睿智者之谋·小	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2,5,6,8"	9	5	1	0	0	10	3	魔法攻击力+%d%%（基础值）。
87400040	睿智者之谋·中	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,9,11"	9	5	0	0	0	50	3	魔法攻击力+%d%%（基础值）。
87500041	睿智者之谋·大	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,4,12"	9	5	0	0	0	100	3	魔法攻击力+%d%%（基础值）。
87100042	勇猛者之略·小	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,3,9"	9	5	2	0	0	10	3	魔法防御力+%d%%（基础值）。
87400043	勇猛者之略·中	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2,5,6,11"	9	5	1	0	0	50	3	魔法防御力+%d%%（基础值）。
87500044	勇猛者之略·大	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,5,6"	9	5	0	0	0	100	3	魔法防御力+%d%%（基础值）。
87100045	天使祝福·小	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,3,10"	9	5	2	0	0	10	3	生命上限+%d%%（基础值）。
87400046	天使祝福·中	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2,5,6,12"	9	5	1	0	0	50	3	生命上限+%d%%（基础值）。
87500047	天使祝福·大	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,5,6,8"	9	5	0	0	0	100	3	生命上限+%d%%（基础值）。
87100048	利刃旋风·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,3,11"	9	5	2	0	0	10	3	物理暴击+%d%%（基础值）。
87400049	利刃旋风·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,5,6,8"	9	5	1	0	0	50	3	物理暴击+%d%%（基础值）。
87500050	利刃旋风·大	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,5,6,11"	9	5	0	0	0	100	3	物理暴击+%d%%（基础值）。
87100051	真理之威·小	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,4,5"	9	5	2	0	0	10	3	魔法暴击+%d%%（基础值）。
87400052	真理之威·中	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,5,6,10"	9	5	1	0	0	50	3	魔法暴击+%d%%（基础值）。
