编号	商店权重	物品1	物品2	物品3	物品4	物品5	物品6	物品7	物品8	物品9	物品10
ID	Rate	goods1	goods2	goods3	goods4	goods5	goods6	goods7	goods8	goods9	goods10
10	500	10	20	30	40	50	60	70	80	90	100
20	500	10	20	30	40	50	60	70	80	90	100
30	500	10	20	30	40	50	60	70	80	90	100
40	500	10	20	30	40	50	60	70	80	90	100
50	500	10	20	30	40	50	60	70	80	90	100
60	500	10	20	30	40	50	60	70	80	90	100
70	500	10	20	30	40	50	60	70	80	90	100
80	500	10	20	30	40	50	60	70	80	90	100
90	500	10	20	30	40	50	60	70	80	90	100
100	500	10	20	30	40	50	60	70	80	90	100
110	500	10	20	30	40	50	60	70	80	90	100
120	500	10	20	30	40	50	60	70	80	90	100
130	500	10	20	30	40	50	60	70	80	90	100
140	500	10	20	30	40	50	60	70	80	90	100
150	500	10	20	30	40	50	60	70	80	90	100
160	500	10	20	30	40	50	60	70	80	90	100
170	500	10	20	30	40	50	60	70	80	90	100
180	500	10	20	30	40	50	60	70	80	90	100
190	500	10	20	30	40	50	60	70	80	90	100
200	500	10	20	30	40	50	60	70	80	90	100
