表ID	类型	怪物强度	层数	怪物群	刷新时间	掉落数量	浮动比例	场景资源	生命增幅	怪物数量
ID	Tpye	Level	Number	Monster	Time	Money	Float	Map	Increase	Quantity
1	1	极易	1	501101;501102;501103	0	120	1000	0	0	5
2	1	极易	2	501101;501102;501103	0	120	1000	0	0	5
3	1	极易	3	501101;501102;501103	0	120	1000	0	0	5
4	1	极易	4	501101;501102;501103	10	120	1000	0	0	5
5	1	极易	5	501101;501102;501103	10	120	1000	0	0	5
6	1	极易	6	501101;501102;501103	10	120	1000	0	0	5
7	1	极易	7	501101;501102;501103	10	120	1000	0	0	5
8	1	极易	8	501101;501102;501103	10	120	1000	0	0	5
9	1	极易	9	501101;501102;501103	10	120	1000	0	0	5
10	1	极易	10	501101;501102;501103	10	120	1000	0	0	5
11	1	极易	11	501101;501102;501103	10	120	1000	0	0	5
12	1	极易	12	501101;501102;501103	10	120	1000	0	0	5
13	1	极易	13	501101;501102;501103	10	120	1000	0	0	5
14	1	极易	14	501101;501102;501103	10	120	1000	0	0	5
15	1	极易	15	501101;501102;501103	10	120	1000	0	0	5
16	1	极易	16	501101;501102;501103	10	120	1000	0	0	5
17	1	极易	17	501101;501102;501103	10	120	1000	0	0	5
18	1	极易	18	501101;501102;501103	10	120	1000	0	0	5
19	1	极易	19	501101;501102;501103	10	120	1000	0	0	5
20	1	极易	20	501101;501102;501103	10	120	1000	0	0	5
21	1	极易	21	501101;501102;501103	10	120	1000	0	0	5
22	1	极易	22	501101;501102;501103	10	120	1000	0	0	5
23	1	极易	23	501101;501102;501103	10	120	1000	0	0	5
24	1	极易	24	501101;501102;501103	10	120	1000	0	0	5
25	1	极易	25	501101;501102;501103	10	120	1000	0	0	5
26	1	极易	26	501101;501102;501103	10	120	1000	0	0	5
27	1	极易	27	501101;501102;501103	10	120	1000	0	0	5
28	1	极易	28	501101;501102;501103	10	120	1000	0	0	5
29	1	极易	29	501101;501102;501103	10	120	1000	0	0	5
30	1	极易	30	501101;501102;501103	10	120	1000	0	0	5
31	1	极易	31	501101;501102;501103	10	120	1000	0	0	5
32	1	极易	32	501101;501102;501103	10	120	1000	0	0	5
33	1	极易	33	501101;501102;501103	10	120	1000	0	0	5
34	1	极易	34	501101;501102;501103	10	120	1000	0	0	5
35	1	极易	35	501101;501102;501103	10	120	1000	0	0	5
36	1	极易	36	501101;501102;501103	10	120	1000	0	0	5
37	1	极易	37	501101;501102;501103	10	120	1000	0	0	5
38	1	极易	38	501101;501102;501103	10	120	1000	0	0	5
39	1	极易	39	501101;501102;501103	10	120	1000	0	0	5
40	1	极易	40	501101;501102;501103	10	120	1000	0	0	5
41	1	极易	41	501101;501102;501103	10	120	1000	0	0	5
42	1	极易	42	501101;501102;501103	10	120	1000	0	0	5
43	1	极易	43	501101;501102;501103	10	120	1000	0	0	5
44	1	极易	44	501101;501102;501103	10	120	1000	0	0	5
45	1	极易	45	501101;501102;501103	10	120	1000	0	0	5
46	1	极易	46	501101;501102;501103	10	120	1000	0	0	5
47	1	极易	47	501101;501102;501103	10	120	1000	0	0	5
48	1	极易	48	501101;501102;501103	10	120	1000	0	0	5
49	1	极易	49	501101;501102;501103	10	120	1000	0	0	5
50	1	极易	50	501101;501102;501103	10	120	1000	0	0	5
51	1	极易	51	501101;501102;501103	10	120	1000	0	0	5
52	1	极易	52	501101;501102;501103	10	120	1000	0	0	5
53	1	极易	53	501101;501102;501103	10	120	1000	0	0	5
54	1	极易	54	501101;501102;501103	10	120	1000	0	0	5
55	1	极易	55	501101;501102;501103	10	120	1000	0	0	5
56	1	极易	56	501101;501102;501103	10	120	1000	0	0	5
57	1	极易	57	501101;501102;501103	10	120	1000	0	0	5
58	1	极易	58	501101;501102;501103	10	120	1000	0	0	5
59	1	极易	59	501101;501102;501103	10	120	1000	0	0	5
60	1	极易	60	501101;501102;501103	10	120	1000	0	0	5
61	1	极易	61	501101;501102;501103	10	120	1000	0	0	5
62	1	极易	62	501101;501102;501103	10	120	1000	0	0	5
63	1	极易	63	501101;501102;501103	10	120	1000	0	0	5
64	1	极易	64	501101;501102;501103	10	120	1000	0	0	5
65	1	极易	65	501101;501102;501103	10	120	1000	0	0	5
66	1	极易	66	501101;501102;501103	10	120	1000	0	0	5
67	1	极易	67	501101;501102;501103	10	120	1000	0	0	5
68	1	极易	68	501101;501102;501103	10	120	1000	0	0	5
69	1	极易	69	501101;501102;501103	10	120	1000	0	0	5
70	1	极易	70	501101;501102;501103	10	120	1000	0	0	5
71	1	极易	71	501101;501102;501103	10	120	1000	0	0	5
72	1	极易	72	501101;501102;501103	10	120	1000	0	0	5
73	1	极易	73	501101;501102;501103	10	120	1000	0	0	5
74	1	极易	74	501101;501102;501103	10	120	1000	0	0	5
75	1	极易	75	501101;501102;501103	10	120	1000	0	0	5
76	1	极易	76	501101;501102;501103	10	120	1000	0	0	5
77	1	极易	77	501101;501102;501103	10	120	1000	0	0	5
78	1	极易	78	501101;501102;501103	10	120	1000	0	0	5
79	1	极易	79	501101;501102;501103	10	120	1000	0	0	5
80	1	极易	80	501101;501102;501103	10	120	1000	0	0	5
81	1	极易	81	501101;501102;501103	10	120	1000	0	0	5
82	1	极易	82	501101;501102;501103	10	120	1000	0	0	5
83	1	极易	83	501101;501102;501103	10	120	1000	0	0	5
84	1	极易	84	501101;501102;501103	10	120	1000	0	0	5
85	1	极易	85	501101;501102;501103	10	120	1000	0	0	5
86	1	极易	86	501101;501102;501103	10	120	1000	0	0	5
87	1	极易	87	501101;501102;501103	10	120	1000	0	0	5
88	1	极易	88	501101;501102;501103	10	120	1000	0	0	5
89	1	极易	89	501101;501102;501103	10	120	1000	0	0	5
90	1	极易	90	501101;501102;501103	10	120	1000	0	0	5
91	2	简单	1	501201;501202;501203	10	240	1000	0	0	5
92	2	简单	2	501201;501202;501203	10	240	1000	0	0	5
93	2	简单	3	501201;501202;501203	10	240	1000	0	0	5
94	2	简单	4	501201;501202;501203	10	240	1000	0	0	5
95	2	简单	5	501201;501202;501203	10	240	1000	0	0	5
96	2	简单	6	501201;501202;501203	10	240	1000	0	0	5
97	2	简单	7	501201;501202;501203	10	240	1000	0	0	5
98	2	简单	8	501201;501202;501203	10	240	1000	0	0	5
99	2	简单	9	501201;501202;501203	10	240	1000	0	0	5
100	2	简单	10	501201;501202;501203	10	240	1000	0	0	5
101	2	简单	11	501201;501202;501203	10	240	1000	0	0	5
102	2	简单	12	501201;501202;501203	10	240	1000	0	0	5
103	2	简单	13	501201;501202;501203	10	240	1000	0	0	5
104	2	简单	14	501201;501202;501203	10	240	1000	0	0	5
105	2	简单	15	501201;501202;501203	10	240	1000	0	0	5
106	2	简单	16	501201;501202;501203	10	240	1000	0	0	5
107	2	简单	17	501201;501202;501203	10	240	1000	0	0	5
108	2	简单	18	501201;501202;501203	10	240	1000	0	0	5
109	2	简单	19	501201;501202;501203	10	240	1000	0	0	5
110	2	简单	20	501201;501202;501203	10	240	1000	0	0	5
111	2	简单	21	501201;501202;501203	10	240	1000	0	0	5
112	2	简单	22	501201;501202;501203	10	240	1000	0	0	5
113	2	简单	23	501201;501202;501203	10	240	1000	0	0	5
114	2	简单	24	501201;501202;501203	10	240	1000	0	0	5
115	2	简单	25	501201;501202;501203	10	240	1000	0	0	5
116	2	简单	26	501201;501202;501203	10	240	1000	0	0	5
117	2	简单	27	501201;501202;501203	10	240	1000	0	0	5
