队伍ID	队员1	队员2	队员3	队伍积分
id	monster1	monster2	monster3	Integral
1	100001	100002	100003	0
2	100002	100003	100004	0
3	100001	100002	100004	0
4	100001	100002	100003	0
5	100002	100003	100004	0
6	100001	100002	100004	0
7	100001	100002	100003	0
8	100002	100003	100004	0
9	100001	100002	100004	0
10	100004	100003	100001	0
11	105001	105002	105003	5
12	105001	105002	105004	5
13	105001	105002	105005	5
14	105002	105003	105004	5
15	105002	105003	105001	5
16	105003	105004	105005	5
17	105003	105004	105003	5
18	105003	105003	105001	5
19	105002	105003	105001	5
20	105003	105004	105005	5
21	110001	110002	110003	10
22	110001	110002	110004	10
23	110001	110002	110005	10
24	110001	110002	110006	10
25	110002	110003	110004	10
26	110002	110003	110005	10
27	110002	110003	110006	10
28	110003	110004	110005	10
29	110003	110004	110006	10
30	110004	110005	110006	10
31	115001	115002	115003	15
32	115002	115003	115001	15
33	115003	115002	115001	15
34	115001	115002	115003	15
35	115002	115003	115001	15
36	115003	115002	115001	15
37	115001	115002	115003	15
38	115002	115003	115001	15
39	115003	115002	115001	15
40	115003	115002	115001	15
41	120001	120002	120003	20
42	120001	120002	120004	20
43	120001	120002	120005	20
44	120002	120003	120004	20
45	120002	120003	120005	20
46	120003	120004	120005	20
47	120001	120002	120005	20
48	120002	120003	120004	20
49	120002	120003	120005	20
50	120003	120004	120005	20
51	125001	125002	125003	25
52	125001	125002	125004	25
53	125002	125003	125004	25
54	125001	125002	125003	25
55	125001	125002	125004	25
56	125002	125003	125004	25
57	125001	125002	125003	25
58	125001	125002	125004	25
59	125002	125003	125004	25
60	125002	125003	125004	25
61	130001	130002	130003	30
62	130001	130002	130004	30
63	130002	130003	130004	30
64	130001	130002	130003	30
65	130001	130002	130004	30
66	130002	130003	130004	30
67	130001	130002	130003	30
68	130001	130002	130004	30
69	130002	130003	130004	30
70	130002	130003	130004	30
71	135001	135002	135003	35
72	135001	135002	135004	35
73	135002	135003	135004	35
74	135001	135002	135003	35
75	135001	135002	135004	35
76	135002	135003	135004	35
77	135001	135002	135003	35
78	135001	135002	135004	35
79	135002	135003	135004	35
80	135002	135003	135004	35
81	140001	140002	140003	40
82	140001	140002	140004	40
83	140002	140003	140004	40
84	140001	140002	140003	40
85	140001	140002	140004	40
86	140002	140003	140004	40
87	140001	140002	140003	40
88	140001	140002	140004	40
89	140002	140003	140004	40
90	140002	140003	140004	40
91	145001	145002	145003	45
92	145001	145002	145004	45
93	145001	145002	145005	45
94	145001	145002	145006	45
95	145002	145003	145004	45
96	145002	145003	145005	45
97	145002	145003	145006	45
98	145003	145004	145005	45
99	145003	145004	145006	45
100	145004	145005	145006	45
101	150001	150002	150003	50
102	150001	150002	150004	50
103	150001	150002	150005	50
104	150001	150002	150006	50
105	150002	150003	150004	50
106	150002	150003	150005	50
107	150002	150003	150006	50
108	150003	150004	150005	50
109	150003	150004	150006	50
110	150004	150005	150006	50
111	155001	155002	155003	55
112	155001	155002	155004	55
113	155002	155003	155004	55
114	155001	155002	155003	55
115	155001	155002	155004	55
116	155002	155003	155004	55
117	155001	155002	155003	55
118	155001	155002	155004	55
119	155002	155003	155004	55
120	155002	155003	155004	55
999	999991	999992	999993	0
