表ID	装备	装备部位	洗练孔位数量
ID	Level	equipPart	number
1	0	2	0
2	0	3	0
3	0	4	0
4	0	5	0
5	0	6	0
6	5	2	0
7	5	3	0
8	5	4	0
9	5	5	0
10	5	6	0
11	10	2	0
12	10	3	0
13	10	4	0
14	10	5	0
15	10	6	0
16	15	2	0
17	15	3	0
18	15	4	0
19	15	5	0
20	15	6	0
21	20	2	0
22	20	3	0
23	20	4	0
24	20	5	0
25	20	6	0
26	25	2	0
27	25	3	0
28	25	4	0
29	25	5	0
30	25	6	0
31	30	2	4
32	30	3	4
33	30	4	4
34	30	5	4
35	30	6	4
36	35	2	4
37	35	3	4
38	35	4	4
39	35	5	4
40	35	6	4
41	40	2	4
42	40	3	4
43	40	4	4
44	40	5	4
45	40	6	4
46	45	2	4
47	45	3	4
48	45	4	4
49	45	5	4
50	45	6	4
51	50	2	4
52	50	3	4
53	50	4	4
54	50	5	4
55	50	6	4
56	55	2	4
57	55	3	4
58	55	4	4
59	55	5	4
60	55	6	4
61	60	2	4
62	60	3	4
63	60	4	4
64	60	5	4
65	60	6	4
66	65	2	4
67	65	3	4
68	65	4	4
69	65	5	4
70	65	6	4
71	70	2	4
72	70	3	4
73	70	4	4
74	70	5	4
75	70	6	4
76	75	2	4
77	75	3	4
78	75	4	4
79	75	5	4
80	75	6	4
81	80	2	4
82	80	3	4
83	80	4	4
84	80	5	4
85	80	6	4
86	85	2	4
87	85	3	4
88	85	4	4
89	85	5	4
90	85	6	4
91	90	2	4
92	90	3	4
93	90	4	4
94	90	5	4
95	90	6	4
96	95	2	4
97	95	3	4
98	95	4	4
99	95	5	4
100	95	6	4
101	100	2	4
102	100	3	4
103	100	4	4
104	100	5	4
105	100	6	4
