	主角怪物名	身高	普通攻击	技能1	技能2	技能3	技能4	待机动作	走动作	跑动作	普通受击1（上段）	普通受击2（下段）	击飞切片1（上身）	击飞切片2（下身）	击飞倒地（接切片击飞）	倒地（静止）	倒地死亡	倒地起身	特殊击飞	特殊击飞倒地	特殊击飞倒地起身	基础出生动作	出生动作2	出生动作3	特殊击退	下段特殊击退	特殊击飞	特殊倒地	特殊起身	特殊死亡	阴影
action_id	name	height	atk1	skill1	skill2	skill3	skill4	idle	walk	run	hurt	hurt1	away	away1	down	down01	down2dead	up	away02	down02	up02	born	born1	born2	specialHitBack	specialHitBack2	specialHitFly	specialDown	specialUp	specialDie	shadow
2	枪炮师	200	role_qps_atk1	role_qps_skill1	role_qps_skill2	role_qps_skill3	role_qps_skill10	role_qps_idle		role_qps_run	role_qps_hurt	role_qps_hurt1	role_qps_away_bone01	role_qps_away_bone02	role_qps_down		role_qps_down_die	role_qps_up				role_qps_born									
1	剑士	200	role_js_atk1	role_js_skill1	role_js_skill2	role_js_skill3	role_js_dodge	role_js_idle		role_js_run	role_js_hurt	role_js_hurt1	role_js_away_bone02	role_js_away_bone01	role_js_down		role_js_down_die	role_js_up				role_js_born									
3	新拳法家	200	role_qfj_atk_1	role_qfj_skill1	role_qfj_skill2	role_qfj_skill3	role_qfj_skill10	role_qfj_idle		role_qfj_run	role_qfj_hurt	role_qfj_hurt1	role_qfj_away_bone01	role_qfj_away_bone02	role_qfj_down		role_qfj_down_ide	role_qfj_up				role_qfj_born									
4	魔道学者	200	role_mdxz_atk1	role_mdxz_skill1	role_mdxz_skill2	role_mdxz_skill3	role_mdxz_skill10	role_mdxz_idle		role_mdxz_run	role_mdxz_hurt	role_mdxz_hurt1	role_mdxz_away_bone01	role_mdxz_away_bone02	role_mdxz_down		role_mdxz_down_die	role_mdxz_up				role_mdxz_born									
10001	冯宪军	200						npc_001_idle														npc_001_idle									
10002	关榕飞	200						npc_002_idle														npc_002_idle									
10003	神秘商人	200						npc_003_idle														npc_003_idle									
10004	肖时钦	200						npc_006_idle														npc_006_idle									
10005	陶暄	200						npc_005_idle														npc_005_idle									
10006	陈果	200						npc_009_idle														npc_009_idle									
10007	叶修	200						npc_008_idle														npc_008_idle									
100101	哥布林形象1	200	monster_001_atk1_non	monster_001_atk1_non_3l	monster_001_atk1_non	monster_001_atk1_non	monster_001_atk1_non	monster_001_idle_non		monster_001_run_non	monster_001_hurt_non	monster_001_hurt1_non	monster_001_away_bone01_non	monster_001_away_bone02_color	monster_001_down_non		monster_001_down_die_non	monster_001_up_non				monster_001_non_born_0	monster_001_non_born_1								
100102	红色哥布林	200	monster_001_atk1_red	monster_001_atk1_red	monster_001_atk1_red	monster_001_atk1_red	monster_001_atk1_red	monster_001_idle_red		monster_001_run_red	monster_001_hurt_red	monster_001_hurt1_red	monster_001_away_bone01_red	monster_001_away_bone02_color	monster_001_down_red		monster_001_down_die_red	monster_001_up_red				monster_001_red_born_0	monster_001_red_born_1								
100103	黄色哥布林	200	monster_001_atk1_yellow	monster_001_atk1_yellow	monster_001_atk1_yellow	monster_001_atk1_yellow	monster_001_atk1_yellow	monster_001_idle_yellow		monster_001_run_yellow	monster_001_hurt_yellow	monster_001_hurt1_yellow	monster_001_away_bone01_yellow	monster_001_away_bone02_color	monster_001_down_yellow		monster_001_down_die_yellow	monster_001_up_yellow				monster_001_yellow_born_0	monster_001_yellow_born_1								
100104	蓝色哥布林	200	monster_001_atk1_blue	monster_001_atk1_blue	monster_001_atk1_blue	monster_001_atk1_blue	monster_001_atk1_blue	monster_001_idle_blue		monster_001_run_blue	monster_001_hurt_blue	monster_001_hurt1_blue	monster_001_away_bone01_blue	monster_001_away_bone02_color	monster_001_down_blue		monster_001_down_die_blue	monster_001_up_blue				monster_001_blue_born_0	monster_001_blue_born_1								
100105	无盔甲哥布林	200	monster_001_atk1_naked	monster_001_atk1_naked	monster_001_atk1_naked	monster_001_atk1_naked	monster_001_atk1_naked	monster_001_idle_naked		monster_001_run_naked	monster_001_hurt_naked	monster_001_hurt1_naked	monster_001_away_bone01_naked	monster_001_away_bone02_color	monster_001_down_naked		monster_001_down_die_naked	monster_001_up_naked				monster_001_naked_born_0	monster_001_naked_born_0								
100201	小精灵走的无霸体	200	monster_003_atk3	monster_003_skill1	monster_003_skill2	monster_003_skill1	monster_003_skill1	monster_003_idle		monster_003_walk	monster_003_hurt	monster_003_hurt1	monster_003_away_bone01	monster_003_away_bone02	monster_003_down	monster_003_down	monster_003_down_die	monster_003_up				monster_003_born_0	monster_003_born_1								
100202	小精灵走的有霸体	200	monster_003_atk2	monster_003_atk3	monster_003_skill2	monster_003_skill1	monster_003_skill1	monster_003_idle_super		monster_003_walk	monster_003_hurt	monster_003_hurt1	monster_003_away_bone01	monster_003_away_bone02	monster_003_down	monster_003_down	monster_003_down_die	monster_003_up				monster_003_born_0	monster_003_born_1								
100203	小精灵跑的无霸体	200	monster_003_atk1	monster_003_skill1	monster_003_skill2	monster_003_skill1	monster_003_skill1	monster_003_idle		monster_003_run	monster_003_hurt	monster_003_hurt1	monster_003_away_bone01	monster_003_away_bone02	monster_003_down	monster_003_down	monster_003_down_die	monster_003_up				monster_003_born_0	monster_003_born_1								
100204	小精灵形象4	200	monster_003_atk1	monster_003_skill1	monster_003_skill2	monster_003_skill1	monster_003_skill1	monster_003_idle		monster_003_run	monster_003_hurt	monster_003_hurt1	monster_003_away_bone01	monster_003_away_bone02	monster_003_down	monster_003_down	monster_003_down_die	monster_003_up				monster_003_born_0	monster_003_born_1								
100205	小精灵形象5	200	monster_003_atk1	monster_003_skill1	monster_003_skill2	monster_003_skill1	monster_003_skill1	monster_003_idle		monster_003_run	monster_003_hurt	monster_003_hurt1	monster_003_away_bone01	monster_003_away_bone02	monster_003_down	monster_003_down	monster_003_down_die	monster_003_up				monster_003_born_0	monster_003_born_1								
100301	猫女形象1	200	monster_012_atk1	monster_012_skill1	monster_012_skill1	monster_012_skill1	monster_012_skill1	monster_012_idle		monster_012_run	monster_012_hurt	monster_012_hurt1	monster_012_away_bone01	monster_012_away_bone02	monster_012_down	monster_012_down	monster_012_down_die	monster_012_up				monster_012_born_0	monster_012_born_1								
100302	猫女形象2	200	monster_012_atk1	monster_012_skill1	monster_012_skill1	monster_012_skill1	monster_012_skill1	monster_012_idle		monster_012_run	monster_012_hurt	monster_012_hurt1	monster_012_away_bone01	monster_012_away_bone02	monster_012_down	monster_012_down	monster_012_down_die	monster_012_up				monster_012_born_0	monster_012_born_1								
100303	猫女形象3	200	monster_012_atk1	monster_012_skill1	monster_012_skill1	monster_012_skill1	monster_012_skill1	monster_012_idle		monster_012_run	monster_012_hurt	monster_012_hurt1	monster_012_away_bone01	monster_012_away_bone02	monster_012_down	monster_012_down	monster_012_down_die	monster_012_up				monster_012_born_0	monster_012_born_1								
100304	猫女形象4	200	monster_012_atk1	monster_012_skill1	monster_012_skill1	monster_012_skill1	monster_012_skill1	monster_012_idle		monster_012_run	monster_012_hurt	monster_012_hurt1	monster_012_away_bone01	monster_012_away_bone02	monster_012_down	monster_012_down	monster_012_down_die	monster_012_up				monster_012_born_0	monster_012_born_1								
100305	猫女形象5	200	monster_012_atk1	monster_012_skill1	monster_012_skill1	monster_012_skill1	monster_012_skill1	monster_012_idle		monster_012_run	monster_012_hurt	monster_012_hurt1	monster_012_away_bone01	monster_012_away_bone02	monster_012_down	monster_012_down	monster_012_down_die	monster_012_up				monster_012_born_0	monster_012_born_1								
100401	小鹿形象1	200	monster_011_atk1	monster_011_atk2	monster_011_skill1	monster_011_atk1	monster_011_atk1	monster_011_idle		monster_011_run	monster_011_hurt	monster_011_hurt1	monster_011_away_bone01	monster_011_away_bone02	monster_011_down	monster_011_down	monster_011_down_die	monster_011_up				monster_011_born_0									
100402	小鹿形象2	200	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_idle		monster_011_run	monster_011_hurt	monster_011_hurt1	monster_011_away_bone01	monster_011_away_bone02	monster_011_down	monster_011_down	monster_011_down_die	monster_011_up				monster_011_born_0									
100403	小鹿形象3	200	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_idle		monster_011_run	monster_011_hurt	monster_011_hurt1	monster_011_away_bone01	monster_011_away_bone02	monster_011_down	monster_011_down	monster_011_down_die	monster_011_up				monster_011_born_0									
100404	小鹿形象4	200	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_idle		monster_011_run	monster_011_hurt	monster_011_hurt1	monster_011_away_bone01	monster_011_away_bone02	monster_011_down	monster_011_down	monster_011_down_die	monster_011_up				monster_011_born_0									
100405	小鹿形象5	200	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_atk1	monster_011_idle		monster_011_run	monster_011_hurt	monster_011_hurt1	monster_011_away_bone01	monster_011_away_bone02	monster_011_down	monster_011_down	monster_011_down_die	monster_011_up				monster_011_born_0									
100501	女僵尸形象1	200	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_idle		monster_016_run	monster_016_hurt	monster_016_hurt1	monster_016_away_bone01	monster_016_away_bone02	monster_016_down	monster_016_down	monster_016_down_die	monster_016_up				monster_016_born_0	monster_016_born_1								
100502	女僵尸形象2	200	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_idle		monster_016_run	monster_016_hurt	monster_016_hurt1	monster_016_away_bone01	monster_016_away_bone02	monster_016_down	monster_016_down	monster_016_down_die	monster_016_up				monster_016_born_0	monster_016_born_1								
100503	女僵尸形象3	200	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_idle		monster_016_run	monster_016_hurt	monster_016_hurt1	monster_016_away_bone01	monster_016_away_bone02	monster_016_down	monster_016_down	monster_016_down_die	monster_016_up				monster_016_born_0	monster_016_born_1								
100504	女僵尸形象4	200	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_idle		monster_016_run	monster_016_hurt	monster_016_hurt1	monster_016_away_bone01	monster_016_away_bone02	monster_016_down	monster_016_down	monster_016_down_die	monster_016_up				monster_016_born_0	monster_016_born_1								
100505	植物大战僵尸女僵尸	200	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_atk1	monster_016_idle		monster_016_run	monster_016_activity_hurt	monster_016_activity_hurt1	monster_016_away_bone01	monster_016_away_bone02	monster_016_down	monster_016_down	monster_016_down_die	monster_016_up				monster_016_born_0	monster_016_born_1								
100601	男僵尸形象1	200	monster_005_atk1	monster_005_skill1	monster_005_skill2	monster_005_skill3	monster_005_atk2	monster_005_idle		monster_005_run	monster_005_hurt	monster_005_hurt1	monster_005_away_bone01	monster_005_away_bone02	monster_005_down	monster_005_down	monster_005_down_die	monster_005_up				monster_005_born_0	monster_005_born_1	monster_005_born_2							
100602	男僵尸形象2	200	monster_005_atk1	monster_005_skill1	monster_005_skill2	monster_005_skill3	monster_005_atk2	monster_005_idle		monster_005_run	monster_005_hurt	monster_005_hurt1	monster_005_away_bone01	monster_005_away_bone02	monster_005_down	monster_005_down	monster_005_down_die	monster_005_up				monster_005_born_0	monster_005_born_1	monster_005_born_2							
100603	男僵尸形象3	200	monster_005_atk1	monster_005_skill1	monster_005_skill2	monster_005_skill3	monster_005_atk2	monster_005_idle		monster_005_run	monster_005_hurt	monster_005_hurt1	monster_005_away_bone01	monster_005_away_bone02	monster_005_down	monster_005_down	monster_005_down_die	monster_005_up				monster_005_born_0	monster_005_born_1	monster_005_born_2							
100604	男僵尸形象4	200	monster_005_atk1	monster_005_skill1	monster_005_skill2	monster_005_skill3	monster_005_atk2	monster_005_idle		monster_005_run	monster_005_hurt	monster_005_hurt1	monster_005_away_bone01	monster_005_away_bone02	monster_005_down	monster_005_down	monster_005_down_die	monster_005_up				monster_005_born_0	monster_005_born_1	monster_005_born_2							
100605	男僵尸形象5	200	monster_005_atk1	monster_005_skill1	monster_005_skill2	monster_005_skill3	monster_005_atk2	monster_005_idle		monster_005_run	monster_005_hurt	monster_005_hurt1	monster_005_away_bone01	monster_005_away_bone02	monster_005_down	monster_005_down	monster_005_down_die	monster_005_up				monster_005_born_0	monster_005_born_1	monster_005_born_2							
100701	冰霜狼人形象1	200	monster_004_atk1	monster_004_skill1	monster_004_skill2	monster_004_atk1	monster_004_atk1	monster_004_idle		monster_004_run	monster_004_hurt	monster_004_hurt1	monster_004_away_bone01	monster_004_away_bone02	monster_004_down	monster_004_down	monster_004_down_die	monster_004_up				monster_004_born_0	monster_004_born_1	monster_004_born_2							
100702	冰霜狼人形象2	200	monster_004_atk1	monster_004_skill1	monster_004_skill2	monster_004_atk1	monster_004_atk1	monster_004_idle		monster_004_run	monster_004_hurt	monster_004_hurt1	monster_004_away_bone01	monster_004_away_bone02	monster_004_down	monster_004_down	monster_004_down_die	monster_004_up				monster_004_born_0	monster_004_born_1	monster_004_born_2							
100703	冰霜狼人形象3	200	monster_004_atk1	monster_004_skill1	monster_004_skill2	monster_004_atk1	monster_004_atk1	monster_004_idle		monster_004_run	monster_004_hurt	monster_004_hurt1	monster_004_away_bone01	monster_004_away_bone02	monster_004_down	monster_004_down	monster_004_down_die	monster_004_up				monster_004_born_0	monster_004_born_1	monster_004_born_2							
100704	冰霜狼人形象4	200	monster_004_atk1	monster_004_skill1	monster_004_skill2	monster_004_atk1	monster_004_atk1	monster_004_idle		monster_004_run	monster_004_hurt	monster_004_hurt1	monster_004_away_bone01	monster_004_away_bone02	monster_004_down	monster_004_down	monster_004_down_die	monster_004_up				monster_004_born_0	monster_004_born_1	monster_004_born_2							
100705	冰霜狼人形象5	200	monster_004_atk1	monster_004_skill1	monster_004_skill2	monster_004_atk1	monster_004_atk1	monster_004_idle		monster_004_run	monster_004_hurt	monster_004_hurt1	monster_004_away_bone01	monster_004_away_bone02	monster_004_down	monster_004_down	monster_004_down_die	monster_004_up				monster_004_born_0	monster_004_born_1	monster_004_born_2							
100801	蝎子男形象1	200	monster_002_atk1	monster_002_skill1	monster_002_atk1	monster_002_atk1	monster_002_atk1	monster_002_idle		monster_002_run	monster_002_hurt	monster_002_hurt1	monster_002_away_bone01	monster_002_away_bone02	monster_002_down	monster_002_down	monster_002_down_die	monster_002_up				monster_002_born_0									
100802	蝎子男形象2	200	monster_002_atk1	monster_002_skill1	monster_002_atk1	monster_002_atk1	monster_002_atk1	monster_002_idle		monster_002_run	monster_002_hurt	monster_002_hurt1	monster_002_away_bone01	monster_002_away_bone02	monster_002_down	monster_002_down	monster_002_down_die	monster_002_up				monster_002_born_0									
100803	蝎子男形象3	200	monster_002_atk1	monster_002_skill1	monster_002_atk1	monster_002_atk1	monster_002_atk1	monster_002_idle		monster_002_run	monster_002_hurt	monster_002_hurt1	monster_002_away_bone01	monster_002_away_bone02	monster_002_down	monster_002_down	monster_002_down_die	monster_002_up				monster_002_born_0									
100804	蝎子男形象4	200	monster_002_atk1	monster_002_skill1	monster_002_atk1	monster_002_atk1	monster_002_atk1	monster_002_idle		monster_002_run	monster_002_hurt	monster_002_hurt1	monster_002_away_bone01	monster_002_away_bone02	monster_002_down	monster_002_down	monster_002_down_die	monster_002_up				monster_002_born_0									
100805	蝎子男形象5	200	monster_002_atk1	monster_002_skill1	monster_002_atk1	monster_002_atk1	monster_002_atk1	monster_002_idle		monster_002_run	monster_002_hurt	monster_002_hurt1	monster_002_away_bone01	monster_002_away_bone02	monster_002_down	monster_002_down	monster_002_down_die	monster_002_up				monster_002_born_0									
100901	骷髅法师形象1	250	monster_009_atk1	monster_009_skill1	monster_009_skill1_2	monster_009_skill2	monster_009_skill3_shunyi	monster_009_idle		monster_009_run	monster_009_hurt	monster_009_hurt1	monster_009_away_bone01	monster_009_away_bone02	monster_009_down		monster_009_down_die	monster_009_up				monster_009_born_0	monster_009_born_1	monster_009_born_2						monster_009_skill3_specialDie	
100902	骷髅法师形象2	250	monster_009_atk1	monster_009_skill1	monster_009_skill2	monster_009_atk1	monster_009_atk1	monster_009_idle		monster_009_run	monster_009_hurt	monster_009_hurt1	monster_009_away_bone01	monster_009_away_bone02	monster_009_down		monster_009_down_die	monster_009_up				monster_009_born_0	monster_009_born_1	monster_009_born_2						monster_009_skill3_specialDie	
100903	骷髅法师形象3	250	monster_009_atk1	monster_009_skill1	monster_009_skill2	monster_009_atk1	monster_009_atk1	monster_009_idle		monster_009_run	monster_009_hurt	monster_009_hurt1	monster_009_away_bone01	monster_009_away_bone02	monster_009_down		monster_009_down_die	monster_009_up				monster_009_born_0	monster_009_born_1	monster_009_born_2						monster_009_skill3_specialDie	
100904	骷髅法师形象4	250	monster_009_atk1	monster_009_skill1	monster_009_skill2	monster_009_atk1	monster_009_atk1	monster_009_idle		monster_009_run	monster_009_hurt	monster_009_hurt1	monster_009_away_bone01	monster_009_away_bone02	monster_009_down		monster_009_down_die	monster_009_up				monster_009_born_0	monster_009_born_1	monster_009_born_2						monster_009_skill3_specialDie	
100905	活动副本骷髅法师	250	monster_009_activity_move	monster_009_skill1	monster_009_skill2	monster_009_atk1	monster_009_atk1	monster_009_activity_idle		monster_009_activity_run	monster_009_activity_hurt	monster_009_activity_hurt1	monster_009_away_bone01	monster_009_away_bone02	monster_009_activity_down		monster_009_down_die	monster_009_up				monster_009_born_0	monster_009_born_1	monster_009_born_2						monster_009_skill3_specialDie	
101001	精灵射手形象1	280	monster_boss_011_atk1	monster_boss_011_autoRun	monster_boss_011_skill2	monster_boss_011_skill1	monster_boss_011_choose_3duan	monster_boss_011_idle		monster_boss_011_run	monster_boss_011_hurt	monster_boss_011_hurt1	monster_boss_011_away_bone01	monster_boss_011_away_bone02	monster_boss_011_down	monster_boss_011_down	monster_boss_011_down_die	monster_boss_011_up				monster_boss_011_born_0									
101002	精灵射手形象2	280	monster_boss_011_atk1	monster_boss_011_autoRun_right	monster_boss_011_autoRun	monster_boss_011_skill2	monster_boss_011_choose	monster_boss_011_idle		monster_boss_011_run	monster_boss_011_hurt	monster_boss_011_hurt1	monster_boss_011_away_bone01	monster_boss_011_away_bone02	monster_boss_011_down	monster_boss_011_down	monster_boss_011_down_die	monster_boss_011_up				monster_boss_011_born_0									
101003	精灵射手形象3	280	monster_boss_011_atk1	monster_boss_011_autoRun_right	monster_boss_011_autoRun	monster_boss_011_skill2	monster_boss_011_choose	monster_boss_011_idle		monster_boss_011_run	monster_boss_011_hurt	monster_boss_011_hurt1	monster_boss_011_away_bone01	monster_boss_011_away_bone02	monster_boss_011_down	monster_boss_011_down	monster_boss_011_down_die	monster_boss_011_up				monster_boss_011_born_0									
101004	精灵射手形象4	280	monster_boss_011_atk1	monster_boss_011_autoRun_right	monster_boss_011_autoRun	monster_boss_011_skill2	monster_boss_011_choose	monster_boss_011_idle		monster_boss_011_run	monster_boss_011_hurt	monster_boss_011_hurt1	monster_boss_011_away_bone01	monster_boss_011_away_bone02	monster_boss_011_down	monster_boss_011_down	monster_boss_011_down_die	monster_boss_011_up				monster_boss_011_born_0									
101005	精灵射手形象5	280	monster_boss_011_atk1	monster_boss_011_autoRun_right	monster_boss_011_autoRun	monster_boss_011_skill2	monster_boss_011_choose	monster_boss_011_idle		monster_boss_011_run	monster_boss_011_hurt	monster_boss_011_hurt1	monster_boss_011_away_bone01	monster_boss_011_away_bone02	monster_boss_011_down	monster_boss_011_down	monster_boss_011_down_die	monster_boss_011_up				monster_boss_011_born_0									
101101	魔化武尊形象1	200	monster_boss_003_atk1	monster_boss_003_skill4	monster_boss_003_skill3_fenshen	monster_boss_003_skill2	monster_boss_003_skill3_fenshen	monster_boss_003_idle		monster_boss_003_run	monster_boss_003_hurt	monster_boss_003_hurt1	monster_boss_003_away_bone01	monster_boss_003_away_bone02	monster_boss_003_down	monster_boss_003_down	monster_boss_003_down_die	monster_boss_003_up				monster_boss_003_born_0									
101102	魔化武尊形象2	200	monster_boss_003_atk1	monster_boss_003_skill1	monster_boss_003_skill2	monster_boss_003_skill1	monster_boss_003_skill1	monster_boss_003_idle		monster_boss_003_run	monster_boss_003_hurt	monster_boss_003_hurt1	monster_boss_003_away_bone01	monster_boss_003_away_bone02	monster_boss_003_down	monster_boss_003_down	monster_boss_003_down_die	monster_boss_003_up				monster_boss_003_born_0									
101103	魔化武尊形象3	200	monster_boss_003_atk1	monster_boss_003_skill1	monster_boss_003_skill2	monster_boss_003_skill1	monster_boss_003_skill1	monster_boss_003_idle		monster_boss_003_run	monster_boss_003_hurt	monster_boss_003_hurt1	monster_boss_003_away_bone01	monster_boss_003_away_bone02	monster_boss_003_down	monster_boss_003_down	monster_boss_003_down_die	monster_boss_003_up				monster_boss_003_born_0									
101104	魔化武尊形象4	200	monster_boss_003_atk1	monster_boss_003_skill1	monster_boss_003_skill2	monster_boss_003_skill1	monster_boss_003_skill1	monster_boss_003_idle		monster_boss_003_run	monster_boss_003_hurt	monster_boss_003_hurt1	monster_boss_003_away_bone01	monster_boss_003_away_bone02	monster_boss_003_down	monster_boss_003_down	monster_boss_003_down_die	monster_boss_003_up				monster_boss_003_born_0									
101105	魔化武尊形象5	200	monster_boss_003_atk1	monster_boss_003_skill1	monster_boss_003_skill2	monster_boss_003_skill1	monster_boss_003_skill1	monster_boss_003_idle		monster_boss_003_run	monster_boss_003_hurt	monster_boss_003_hurt1	monster_boss_003_away_bone01	monster_boss_003_away_bone02	monster_boss_003_down	monster_boss_003_down	monster_boss_003_down_die	monster_boss_003_up				monster_boss_003_born_0									
101201	蜘蛛女王形象1	200	monster_boss_012_atk1	monster_boss_012_skill1	monster_boss_012_skill2	monster_boss_012_skill3	monster_boss_012_skill1	monster_boss_012_idle		monster_boss_012_run	monster_boss_012_idle	monster_boss_012_idle	monster_boss_012_away_bone01	monster_boss_012_away_bone02	monster_boss_012_down	monster_boss_012_down	monster_boss_012_down_die	monster_boss_012_up				monster_boss_012_born_0	monster_boss_012_born_1								
101202	蜘蛛女王形象2	200																													
101203	蜘蛛女王形象3	200																													
101204	蜘蛛女王形象4	200																													
101205	蜘蛛女王形象5	200																													
101206	蜘蛛女王形象1	200	world_boss_012_atk1	world_boss_012_skill1	world_boss_012_skill2	world_boss_012_skill3	world_boss_012_skill6	world_boss_012_idle		world_boss_012_run	world_boss_012_idle	world_boss_012_idle	monster_boss_012_away_bone01	monster_boss_012_away_bone02	world_boss_012_down	world_boss_012_down	world_boss_012_down_die	world_boss_012_up				world_boss_012_born_0	monster_boss_012_born_0								
101301	冰霜女巫形象1	320	monster_boss_007_atk1	monster_boss_007_skill1	monster_boss_007_skill2	monster_boss_007_skill1	monster_boss_007_skill1	monster_boss_007_idle		monster_boss_007_run	monster_boss_007_hurt	monster_boss_007_hurt1	monster_boss_007_away_bone01	monster_boss_007_away_bone02	monster_boss_007_down	monster_boss_007_down	monster_boss_007_down_die	monster_boss_007_up				monster_boss_007_born_0	monster_boss_007_born_1	monster_boss_007_born_2							
101302	冰霜女巫形象2	320	monster_boss_007_atk1	monster_boss_007_skill1	monster_boss_007_skill2	monster_boss_007_skill1	monster_boss_007_skill1	monster_boss_007_idle		monster_boss_007_run	monster_boss_007_hurt	monster_boss_007_hurt1	monster_boss_007_away_bone01	monster_boss_007_away_bone02	monster_boss_007_down	monster_boss_007_down	monster_boss_007_down_die	monster_boss_007_up				monster_boss_007_born_0	monster_boss_007_born_1	monster_boss_007_born_2							
101303	冰霜女巫形象3	320	monster_boss_007_atk1	monster_boss_007_skill1	monster_boss_007_skill2	monster_boss_007_skill1	monster_boss_007_skill1	monster_boss_007_idle		monster_boss_007_run	monster_boss_007_hurt	monster_boss_007_hurt1	monster_boss_007_away_bone01	monster_boss_007_away_bone02	monster_boss_007_down	monster_boss_007_down	monster_boss_007_down_die	monster_boss_007_up				monster_boss_007_born_0	monster_boss_007_born_1	monster_boss_007_born_2							
101304	冰霜女巫形象4	320	monster_boss_007_atk1	monster_boss_007_skill1	monster_boss_007_skill2	monster_boss_007_skill1	monster_boss_007_skill1	monster_boss_007_idle		monster_boss_007_run	monster_boss_007_hurt	monster_boss_007_hurt1	monster_boss_007_away_bone01	monster_boss_007_away_bone02	monster_boss_007_down	monster_boss_007_down	monster_boss_007_down_die	monster_boss_007_up				monster_boss_007_born_0	monster_boss_007_born_1	monster_boss_007_born_2							
