卡牌的ID	卡牌名称	卡牌资源	卡牌头像资源	战斗资源	初始等级	等级上限	突破次数	突破效果	品质	职业	资质	说明	操作者	所属俱乐部	出售价格	吞噬经验	等级成长	生命值	物理攻击	物理防御	魔法攻击	魔法防御	物理抗暴击	魔法抗暴击	闪避率	物理暴击	魔法暴击	格挡率	格挡值	命中率	生命值成长率	物理攻击成长率	物理防御成长率	魔法攻击成长率	魔法防御成长率	物理抗暴击成长率	魔法抗暴击成长率	闪避率成长率	物理暴击成长率	魔法暴击成长率	格挡率成长率	格挡值成长率	命中率成长率	AI普攻	技能1	技能2	技能3	技能4	普通攻击权重	技能1权重	技能2权重	技能3权重	功能4	围绕最小距离	围绕最大距离	AI配置	起身技能概率	反击技能概率	速度	魔法值	魔法成长率	躲闪	按键普攻
ID	name	picture	head	fightingPicture	level	maxLevel	breakthroughNumber	breakthroughEffect	quality	occupation	qualifications	script	athlete	club	salePrice	eatExp	eatLevelExp	hp	atk	def	magic	magicDef	atkResistance	magicResistance	dodgeRate	atkCrit	magicCrit	blockRate	blockData	hits	hPRate	atkRate	defRate	magicRate	magicDefRate	atkResistanceRate	magicResistanceRate	dodgeRateRate	atkCritRate	magicCritRate	blockRateRate	blockDataRate	hitsRate	normal_atk	skill1	skill2	skill3	skill4	normal_fun	fun1	fun2	fun3	fun4	minAtkRange	maxAtkRange	aiscript	standSkillRate	beatbackRate	speed	mp	mpRate	dodge_skill	ainormal_atk
1	男主	zjJK.png	card_1.png	1	1	100	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101020	1:10101001:1	1:10102001:2	1:10103001:3	0	100	100	200	300	0	100	150	11	0	0	450	200	0	101101	101010
2	女主	zjQS.png	card_2.png	2	1	100	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102020	1:10201001:1	1:10202001:2	1:10203001:3	0	100	100	200	300	0	500	600	11	0	0	450	200	0	102101	102010
3	男拳	qfj.png	card_3.png	3	1	100	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103050	1:10301001:1	1:10302001:2	1:10303001:3	0	100	100	200	300	0	500	600	11	0	0	450	200	0	103101	103010
4	魔道	mdxz.png	card_4.png	4	1	100	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104303	1:10431001:1	1:10432001:2	1:10433001:3	0	100	100	200	300	0	500	600	11	0	0	450	200	0	104302	104301
113	妾莫哭	oJMX.png	card_oTSD.png	1001	1	60	0	10	5	10	12	0	1100	0	100	600	600	5896	614	298	0	298	310	310	500	313	0	774	8000	301	655	68	33	0	33	34	34	0	35	0	86	0	33	40000010	1:30001001:1	1:30002001:1	1:30003001:1	0	100	100	200	300	0	100	150	30011	0	0	400	200	0	50000010	30000010
11007	花中行	wYZM.png	card_wYZM.png	1001	1	30	0	10	1	10	1	0	1100	0	100	50	50	3011	301	151	0	151	151	151	500	151	0	387	8000	151	430	43	22	0	22	22	22	0	22	0	55	0	22	40000010	5:30491000:1	0	0	0	100	100	0	0	0	100	150	30011	0	0	400	200	0	50000010	30000010
21202	极昼极夜	gBYHZ.png	card_gHYBZ.png	1001	1	30	0	10	2	12	2	0	1100	0	100	100	100	3000	291	170	169	170	158	158	500	149	149	406	8000	158	428	41	25	24	25	23	23	0	22	22	58	0	23	40000012	4:30041000:1	15:30042000:2	0	0	100	100	200	0	0	100	150	30011	0	0	400	200	0	50000012	30000012
32104	花下绿	bLXH.png	card_bYXH.png	2001	1	40	3	10	3	21	4	0	1100	0	100	200	200	3222	347	202	0	202	179	179	500	226	0	460	8000	179	460	49	29	0	29	26	26	0	33	0	66	0	26	40000021	3:30101000:1	15:30102000:2	0	0	100	100	200	0	0	500	600	30021	0	0	400	200	0	50000021	30000021
32202	深林疑人	bQHMR.png	card_bQHMR.png	2001	1	40	3	10	3	22	4	0	1100	0	100	200	200	3401	246	183	246	183	179	179	500	179	179	469	8000	184	485	35	27	35	27	26	26	0	26	26	67	0	27	40000022	3:30111000:1	15:30112000:2	0	0	100	100	200	0	0	500	600	30021	0	0	400	200	0	50000022	30000022
