¿¨ÅÆµÈ¼¶	°×É«¿¨ÅÆ	ÂÌÉ«¿¨ÅÆ	À¶É«¿¨ÅÆ	×ÏÉ«¿¨ÅÆ	³ÈÉ«¿¨ÅÆ
ID	White	Green	Blue	Purple	Orange
1	0	0	0	0	0
2	180	160	130	100	100
3	370	330	270	220	210
4	570	510	420	340	320
5	790	700	570	460	440
6	1000	890	730	590	560
7	1230	1090	890	720	680
8	1450	1290	1050	850	810
9	1680	1490	1210	980	940
10	1910	1700	1380	1120	1060
11	2150	1910	1550	1250	1190
12	2380	2120	1720	1390	1330
13	2620	2330	1900	1530	1460
14	2860	2550	2070	1670	1590
15	3110	2760	2240	1810	1730
16	3350	2980	2420	1960	1860
17	3600	3200	2600	2100	2000
18	3840	3420	2780	2240	2140
19	4090	3640	2960	2390	2280
20	4340	3860	3140	2540	2420
21	4600	4090	3320	2680	2560
22	4850	4310	3500	2830	2700
23	5100	4540	3690	2980	2840
24	5360	4760	3870	3130	2980
25	5610	4990	4060	3280	3120
26	5870	5220	4240	3430	3260
27	6130	5450	4430	3580	3410
28	6390	5680	4620	3730	3550
29	6650	5910	4810	3880	3700
30	6910	6150	4990	4030	3840
31	7180	6380	5180	4190	3990
32	7440	6610	5370	4340	4130
33	7700	6850	5560	4500	4280
34	7970	7080	5760	4650	4430
35	8230	7320	5950	4810	4580
36	8500	7560	6140	4960	4720
37	8770	7790	6330	5120	4870
38	9040	8030	6530	5270	5020
39	9300	8270	6720	5430	5170
40	9570	8510	6920	5590	5320
41	14230	12650	10280	8310	7910
42	14660	13030	10590	8550	8150
43	15090	13420	10900	8810	8390
44	15520	13800	11210	9060	8630
45	15960	14190	11530	9310	8870
46	16390	14570	11840	9570	9110
47	16830	14960	12160	9820	9350
48	17270	15350	12480	10080	9600
49	17710	15750	12790	10340	9840
50	18160	16140	13120	10590	10090
51	27510	24450	19870	16050	15280
52	28220	25090	20390	16470	15680
53	28950	25730	20910	16890	16080
54	29670	26380	21430	17310	16490
55	30400	27020	21960	17740	16890
56	31130	27680	22490	18160	17300
57	31870	28330	23020	18590	17710
58	32610	28990	23560	19030	18120
59	33360	29650	24090	19460	18540
60	34110	30320	24640	19900	18950
61	52500	46670	37920	30630	29170
62	53730	47760	38810	31340	29850
63	54970	48860	39700	32070	30540
64	56210	49970	40600	32790	31230
65	57460	51080	41500	33520	31930
66	58720	52200	42410	34260	32630
67	59990	53330	43330	35000	33330
68	61270	54460	44250	35740	34040
69	62550	55600	45180	36490	34750
70	63850	56750	46110	37250	35470
71	99630	88560	71950	58120	55350
72	101770	90460	73500	59370	56540
73	103930	92380	75060	60630	57740
74	106100	94310	76630	61890	58950
75	108290	96250	78210	63170	60160
76	110490	98210	79800	64450	61380
77	112710	100180	81400	65750	62620
78	114940	102170	83010	67050	63860
79	117180	104160	84630	68360	65100
80	119440	106170	86270	69680	66360
81	188650	167690	136250	110050	104810
82	192440	171060	138980	112260	106910
83	196250	174450	141740	114480	109030
84	200100	177860	144520	116730	111170
85	203970	181310	147310	118980	113320
86	207870	184770	150130	121260	115480
87	211790	188260	152960	123550	117670
88	215750	191780	155820	125850	119860
89	219730	195310	158690	128180	122070
90	223740	198880	161590	130520	124300
91	227770	202470	164500	132870	126540
92	231840	206080	167440	135240	128800
93	235930	209710	170390	137630	131070
94	240040	213370	173360	140030	133360
95	244180	217050	176360	142440	135660
96	248350	220760	179370	144880	137980
97	252550	224490	182400	147320	140310
98	256770	228240	185450	149790	142650
99	261020	232020	188520	152260	145010
100	265290	235820	191600	154760	147390
101	269600	239640	194710	157270	149780
102	273920	243490	197830	159790	152180
103	278270	247360	200980	162330	154600
104	282650	251250	204140	164880	157030
105	287060	255160	207320	167450	159480
106	291480	259100	210520	170030	161940
107	295940	263060	213730	172630	164410
108	300420	267040	216970	175250	166900
109	304920	271040	220220	177870	169400
110	309450	275070	223490	180520	171920
111	314010	279120	226780	183170	174450
