卡组ID	类型	卡ID	碎片数量数量	权重
ID	type	CardID	count	Proportion
1	1	31002		1
1	1	32104		1
2	1	32202		1
2	1	31304		1
3	1	31002		1
3	1	32104		1
3	1	32202		5
4	1	43102		1
4	1	44003		1
4	1	42006		1
4	1	41203		1
4	2	51006	10	1
4	2	54102	10	1
30	1	31002		1
30	1	32104		1
30	1	32202		1
30	1	31304		1
30	1	32005		1
30	2	43102	10	1
30	2	44003	10	1
30	2	42006	10	1
30	2	41203	10	1
30	2	41103	10	1
30	2	43202	10	1
130	1	31002		1
130	1	32104		1
130	1	32202		1
130	1	31304		1
130	1	32005		1
131	2	43102	5	1
131	2	44003	5	1
131	2	42006	5	1
131	2	41203	5	1
131	2	41103	5	1
131	2	43202	5	1
20	1	21202		1
20	1	22004		1
20	1	21303		1
20	1	21302		1
20	1	22103		1
50	1	51006		1
50	1	54102		1
40	1	43102		1
40	1	44003		1
40	1	42006		1
40	1	41203		1
40	1	41103		1
40	1	43202		1
10	1	12102		1
10	1	12002		1
10	1	12003		1
110	1	11099		1
110	1	21099		1
110	1	31099		1
110	1	41099		1
120	1	11099		1
120	1	21099		1
120	1	31099		1
999	1	32104		1
1000	1	32104		1
1000	1	32202		1
1000	1	31304		1
1000	1	31002		1
1000	1	32005		1
1001	1	41203		1
1001	1	42006		1
1001	1	43102		1
1001	1	44003		1
1001	1	41103		1
1001	1	43202		1
1002	1	51006		100
1002	1	53002		10
1002	1	54002		10
1002	1	54102		100
1002	1	52205		10
1002	1	51005		10
1003	3	91000004	20	1
1003	3	91000005	10	1
1003	3	91000006	5	1
1004	3	61000001	50	1
1004	3	61000002	50	1
1004	3	61000003	50	1
1004	3	61000004	50	1
1004	3	61000005	50	1
1004	3	61000006	50	1
1004	3	61000007	50	1
1004	3	61000008	50	1
1004	3	62000001	20	1
1004	3	62000002	20	1
1004	3	62000003	20	1
1004	3	62000004	20	1
1004	3	62000005	20	1
1004	3	62000006	20	1
1004	3	62000007	20	1
1004	3	62000008	20	1
1004	3	62000009	20	1
1004	3	62000010	20	1
1005	3	64000001	20	1
1005	3	64000002	20	1
1005	3	64000003	20	1
1005	3	64000004	20	1
1005	3	64000005	20	1
1005	3	64000006	20	1
1005	3	64000007	20	1
1005	3	64000008	20	1
1005	3	64000009	20	1
1005	3	64000010	20	1
1005	3	64000011	20	1
1005	3	64000012	20	1
1006	3	65000001	10	1
1006	3	65000002	10	1
1006	3	65000003	10	1
1006	3	65000004	10	1
1006	3	65000005	10	1
1006	3	65000006	10	1
1006	3	65000007	10	1
1006	3	65000008	10	1
1006	3	65000009	10	1
1006	3	65000010	10	1
1006	3	65000011	10	1
1006	3	65000012	10	1
1006	3	65000013	10	1
1006	3	65000014	10	1
1007	3	81001003	20	100
1007	3	81001004	10	50
1007	3	81001005	10	25
1007	3	81002003	20	100
1007	3	81002004	10	50
1007	3	81002005	10	25
1007	3	81003003	20	100
1007	3	81003004	10	50
1007	3	81003005	10	25
1007	3	81004003	20	100
1007	3	81004004	10	50
1007	3	81004005	10	25
1007	3	82001003	20	100
1007	3	82001004	10	50
1007	3	82001005	10	25
1007	3	82002003	20	100
1007	3	82002004	10	50
1007	3	82002005	10	25
1007	3	82003003	20	100
1007	3	82003004	10	50
1007	3	82003005	10	25
1007	3	83001003	20	100
1007	3	83001004	10	50
1007	3	83001005	10	25
1007	3	83002003	20	100
1007	3	83002004	10	50
1007	3	83002005	10	25
1007	3	83003003	20	100
1007	3	83003004	10	50
1007	3	83003005	10	25
1007	3	83004003	20	100
1007	3	83004004	10	50
1007	3	83004005	10	25
1007	3	83005003	20	100
1007	3	83005004	10	50
1007	3	83005005	10	25
1007	3	84001003	20	100
1007	3	84001004	10	50
1007	3	84001005	10	25
1007	3	84002003	20	100
1007	3	84002004	10	50
1007	3	84002005	10	25
1007	3	84004003	20	100
1007	3	84004004	10	50
1007	3	84004005	10	25
1007	3	84005003	20	100
1007	3	84005004	10	50
1007	3	84005005	10	25
1007	3	84006003	20	100
1007	3	84006004	10	50
1007	3	84006005	10	25
1007	3	85001003	20	100
1007	3	85001004	10	50
1007	3	85001005	10	25
1007	3	85002003	20	100
1007	3	85002004	10	50
1007	3	85002005	10	25
1007	3	85003003	20	100
1007	3	85003004	10	50
1007	3	85003005	10	25
1007	3	85004003	20	100
1007	3	85004004	10	50
1007	3	85004005	10	25
1008	3	72000004	1	1
1008	3	73000004	1	1
1008	3	74000004	1	1
1008	3	75000004	1	1
1009	1	31099		5
1009	1	41099		10
1009	1	51099		2
