兑换码批次id	兑换码类型	兑换码数据	礼包组	使用等级上限	使用日期区间	数量
id	type	Code	gift_treasure	Level	Time	count
10100001	2		30001:4	100	2016/08/03:2026/08/06	1
10200001	2		30002:3	100	2016/08/03:2026/08/06	1
10300001	2		30003:2	100	2016/08/03:2026/08/06	1
10400001	2		30004:1	100	2016/08/03:2026/08/06	1
30100001	1		30005:1	100	2016/08/03:2016/08/31	1100
30200001	1		30006:1	100	2016/08/03:2016/08/31	1
30200002	1		30006:1	100	2016/08/03:2016/08/31	1
30200003	1		30006:1	100	2016/08/03:2016/08/31	1
30200004	1		30006:1	100	2016/08/03:2016/08/31	1
30200005	1		30006:1	100	2016/08/03:2016/08/31	1
30200006	1		30006:1	100	2016/08/03:2016/08/31	1
30200007	1		30006:1	100	2016/08/03:2016/08/31	1
30200008	1		30006:1	100	2016/08/03:2016/08/31	1
30200009	1		30006:1	100	2016/08/03:2016/08/31	1
30200010	1		30006:1	100	2016/08/03:2016/08/31	1
30200011	1		30006:1	100	2016/08/03:2016/08/31	1
30200012	1		30006:1	100	2016/08/03:2016/08/31	1
30200013	1		30006:1	100	2016/08/03:2016/08/31	1
30200014	1		30006:1	100	2016/08/03:2016/08/31	1
30200015	1		30006:1	100	2016/08/03:2016/08/31	1
30200016	1		30006:1	100	2016/08/03:2016/08/31	1
30200017	1		30006:1	100	2016/08/03:2016/08/31	1
30200018	1		30006:1	100	2016/08/03:2016/08/31	1
30200019	1		30006:1	100	2016/08/03:2016/08/31	1
30200020	1		30006:1	100	2016/08/03:2016/08/31	1
30200021	1		30006:1	100	2016/08/03:2016/08/31	1
30200022	1		30006:1	100	2016/08/03:2016/08/31	1
30200023	1		30006:1	100	2016/08/03:2016/08/31	1
30200024	1		30006:1	100	2016/08/03:2016/08/31	1
30200025	1		30006:1	100	2016/08/03:2016/08/31	1
30200026	1		30006:1	100	2016/08/03:2016/08/31	1
30200027	1		30006:1	100	2016/08/03:2016/08/31	1
30200028	1		30006:1	100	2016/08/03:2016/08/31	1
30200029	1		30006:1	100	2016/08/03:2016/08/31	1
30200030	1		30006:1	100	2016/08/03:2016/08/31	1
30200031	1		30006:1	100	2016/08/03:2016/08/31	1
30200032	1		30006:1	100	2016/08/03:2016/08/31	1
30200033	1		30006:1	100	2016/08/03:2016/08/31	1
30200034	1		30006:1	100	2016/08/03:2016/08/31	1
30200035	1		30006:1	100	2016/08/03:2016/08/31	1
30200036	1		30006:1	100	2016/08/03:2016/08/31	1
30200037	1		30006:1	100	2016/08/03:2016/08/31	1
30200038	1		30006:1	100	2016/08/03:2016/08/31	1
30200039	1		30006:1	100	2016/08/03:2016/08/31	1
30200040	1		30006:1	100	2016/08/03:2016/08/31	1
30200041	1		30006:1	100	2016/08/03:2016/08/31	1
30200042	1		30006:1	100	2016/08/03:2016/08/31	1
30200043	1		30006:1	100	2016/08/03:2016/08/31	1
30200044	1		30006:1	100	2016/08/03:2016/08/31	1
30200045	1		30006:1	100	2016/08/03:2016/08/31	1
30200046	1		30006:1	100	2016/08/03:2016/08/31	1
30200047	1		30006:1	100	2016/08/03:2016/08/31	1
30200048	1		30006:1	100	2016/08/03:2016/08/31	1
30200049	1		30006:1	100	2016/08/03:2016/08/31	1
30200050	1		30006:1	100	2016/08/03:2016/08/31	1
30200051	1		30006:1	100	2016/08/03:2016/08/31	1
30200052	1		30006:1	100	2016/08/03:2016/08/31	1
30200053	1		30006:1	100	2016/08/03:2016/08/31	1
30200054	1		30006:1	100	2016/08/03:2016/08/31	1
30200055	1		30006:1	100	2016/08/03:2016/08/31	1
30200056	1		30006:1	100	2016/08/03:2016/08/31	1
30200057	1		30006:1	100	2016/08/03:2016/08/31	1
30200058	1		30006:1	100	2016/08/03:2016/08/31	1
30200059	1		30006:1	100	2016/08/03:2016/08/31	1
30200060	1		30006:1	100	2016/08/03:2016/08/31	1
30200061	1		30006:1	100	2016/08/03:2016/08/31	1
30200062	1		30006:1	100	2016/08/03:2016/08/31	1
30200063	1		30006:1	100	2016/08/03:2016/08/31	1
30200064	1		30006:1	100	2016/08/03:2016/08/31	1
30200065	1		30006:1	100	2016/08/03:2016/08/31	1
30200066	1		30006:1	100	2016/08/03:2016/08/31	1
30200067	1		30006:1	100	2016/08/03:2016/08/31	1
30200068	1		30006:1	100	2016/08/03:2016/08/31	1
30200069	1		30006:1	100	2016/08/03:2016/08/31	1
30200070	1		30006:1	100	2016/08/03:2016/08/31	1
30200071	1		30006:1	100	2016/08/03:2016/08/31	1
30200072	1		30006:1	100	2016/08/03:2016/08/31	1
30200073	1		30006:1	100	2016/08/03:2016/08/31	1
30200074	1		30006:1	100	2016/08/03:2016/08/31	1
30200075	1		30006:1	100	2016/08/03:2016/08/31	1
30200076	1		30006:1	100	2016/08/03:2016/08/31	1
30200077	1		30006:1	100	2016/08/03:2016/08/31	1
