技能id	技能动画名 	备注	碰撞框1系数（百分比）	碰撞框2系数（百分比）	碰撞框3系数（百分比）	碰撞框4系数（百分比）	碰撞框5系数（百分比）
SkillId	SkillName	Remark	Ratio_1	Ratio_2	Ratio_3	Ratio_4	Ratio_5
1	role_js_atk1	男主角普通攻击1	60	0	0	0	0
2	role_js_atk3	男主角普通攻击2	80	0	0	0	0
3	role_js_atk2	男主角普通攻击3	80	0	0	0	0
4	role_js_atk4	男主角普通攻击4	100	0	0	0	0
5	role_js_atk5	男主角普通攻击5	180	0	0	0	0
6	role_js_atk1_Ai	男主角普通攻击1	60	0	0	0	0
7	role_js_atk3_Ai	男主角普通攻击2	80	0	0	0	0
8	role_js_atk2_Ai	男主角普通攻击3	80	0	0	0	0
9	role_js_atk4_Ai	男主角普通攻击4	100	0	0	0	0
10	role_js_atk5_Ai	男主角普通攻击5	180	0	0	0	0
11	role_js_skill1	男主角技能1天赋1	200	200	0	0	0
12	role_js_skill1_EnergyBlast	男主角技能1乱斩	15	25	20	20	25
13	role_js_skill1_EnergyBlast_star	男主角飞星星	15	0	0	0	0
14	role_js_skill2	男主角技能2气流	45	0	0	0	0
15	role_js_skill2_Z	男主角技能2Z字斩	250	0	0	0	0
16	role_js_skill3	男主角技能3上挑	120	60	300	0	0
17	role_js_atk_wind	男主角机能3龙卷风	50	0	0	0	0
18	role_qfj_atk_1	拳法家左右拳	60	80	120	350	200
19	role_qfj_atk_A_2	拳法家普通攻击钢拳	100	0	0	0	0
20	role_qfj_atk_A_3	拳法家普通攻击肘击加压拳	80	80	100	0	0
21	role_qfj_atk_A_4	拳法家普通攻击脚刀	200	350	0	0	0
22	role_qfj_atk_B_2	拳法家普通攻击钢拳	100	0	0	0	0
23	role_qfj_atk_B_3	拳法家普通攻击百裂脚	65	20	0	0	0
24	role_qfj_atk_B_4	拳法家普通攻击电脚	125	0	0	0	0
25	role_qfj_atk_D_2	拳法家普通攻击上踢腿	110	0	0	0	0
26	role_qfj_atk_D_3_Effect	拳法家普通攻击摔砸特效	150	0	0	0	0
