炫纹碎片id	炫纹类型	炫纹名字	镶嵌位置	炫纹等级	炫纹碎片图标	炫纹品质	基础物理攻击	基础物理防御	基础魔法攻击	基础魔法防御	基础生命值	基础物理暴击	基础魔法暴击	基础物理抗暴击	基础魔法抗暴击	基础格挡率	基础魔法回复率	基础命中率	基础血球回复率	升级碎片所需经验值	碎片增长经验	物理职业碎片效果描述	魔法职业职业碎片效果描述	碎片对应金币
Id	type	name	position	Level	Icon	Quality	atk	def	magic	magicDef	hp	atkCrit	magicCrit	atkResistance	magicResistance	blockRate	MPReplyRate	hits	HPReply	Next_dazzle	experience	Dic1	Dic2	Gold
81001000	1	雷牙0级	1	0	iconspLEI_1.png	0	0		0											2250		基础物理攻击	基础魔法攻击	
81001001	1	雷牙1级	1	1	iconspLEI_1.png	0	500		500											3375	50	基础物理攻击	基础魔法攻击	1500
81001002	1	雷牙2级	1	2	iconspLEI_1.png	0	1000		1000											5625	55	基础物理攻击	基础魔法攻击	1650
81001003	1	雷牙3级	1	3	iconspLEI_1.png	0	1500		1500											9000	60	基础物理攻击	基础魔法攻击	1800
81001004	1	雷牙4级	1	4	iconspLEI_1.png	0	2000		2000											13500	65	基础物理攻击	基础魔法攻击	1950
81001005	1	雷牙5级	1	5	iconspLEI_1.png	1	2500		2500											20250	70	基础物理攻击	基础魔法攻击	2100
81001006	1	雷牙6级	1	6	iconspLEI_1.png	1	3000		3000											27000	75	基础物理攻击	基础魔法攻击	2250
81001007	1	雷牙7级	1	7	iconspLEI_1.png	1	3500		3500											33750	80	基础物理攻击	基础魔法攻击	2400
81001008	1	雷牙8级	1	8	iconspLEI_1.png	1	4000		4000											45000	85	基础物理攻击	基础魔法攻击	2550
81001009	1	雷牙9级	1	9	iconspLEI_1.png	2	4500		4500											56250	90	基础物理攻击	基础魔法攻击	2700
81001010	1	雷牙10级	1	10	iconspLEI_1.png	2	5000		5000											67500	95	基础物理攻击	基础魔法攻击	2850
81001011	1	雷牙11级	1	11	iconspLEI_1.png	2	5500		5500											78750	100	基础物理攻击	基础魔法攻击	3000
81001012	1	雷牙12级	1	12	iconspLEI_1.png	2	6000		6000											90000	105	基础物理攻击	基础魔法攻击	3150
81001013	1	雷牙13级	1	13	iconspLEI_1.png	4	6500		6500											101250	110	基础物理攻击	基础魔法攻击	3300
81001014	1	雷牙14级	1	14	iconspLEI_1.png	4	7000		7000											112500	115	基础物理攻击	基础魔法攻击	3450
81001015	1	雷牙15级	1	15	iconspLEI_1.png	4	7500		7500											118125	120	基础物理攻击	基础魔法攻击	3600
81001016	1	雷牙16级	1	16	iconspLEI_1.png	4	8000		8000											135000	125	基础物理攻击	基础魔法攻击	3750
81001017	1	雷牙17级	1	17	iconspLEI_1.png	5	8500		8500											151875	130	基础物理攻击	基础魔法攻击	3900
81001018	1	雷牙18级	1	18	iconspLEI_1.png	5	9000		9000											168750	135	基础物理攻击	基础魔法攻击	4050
81001019	1	雷牙19级	1	19	iconspLEI_1.png	5	9500		9500											191250	140	基础物理攻击	基础魔法攻击	4200
