配件ID	名称	有否影子	是否阻挡	是否被打	普通伤害间距	爆破伤害	延迟时间	播放次数	触发距离	前后移动	上下移动	移动时间	结束触发	触发偏移
id	name	isHasShadow	isBlock	isCanBeAtk	atkJianju	detonateHurt	delayTime	playNum	starDistance	fontbackMove	upDownMove	moveTime	nextStart	offset
20002	仙鹤	0	0	0	0	0	2000	0	0	1500	500	16000	0	0;0
20001	船	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20003	赤灵草	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20004	镇魂幡	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20005	师傅打坐	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20006	火苗	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20007	师伯醉卧	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20008	新手村能量石	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20009	新手村云雾	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20010	幽州灯笼	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20011	幽州小狗睡觉	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20012	洛阳城光效	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20013	洛阳城黄灯笼	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20014	洛阳城红灯笼	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20015	洛阳城花瓣	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20016	赤壁浪花拍岸	0	0	0	0	0	1500	0	0	0	0	0	0	0;0
20017	赤壁水面浪花	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20018	幽州渔夫	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20019	朱厌香蕉	0	0	0	0	0	0	8	0	0	0	0	0	0;0
20021	另一种水面	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20022	浪花拍岸1	0	0	0	0	0	1000	0	0	0	0	0	0	0;0
20023	浪花拍岸2	0	0	0	0	0	1100	0	0	0	0	0	0	0;0
20026	尸体	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20027	失意刘太守	0	0	0	0	0	0	0	0	0	0	0	0	0;0
20028	邪恶书堆	0	0	0	0	0	0	0	0	0	0	0	0	0;0
10000	地刺	0	0	0	0	0	0	8	0	0	0	0	0	0;0
9	炸药桶	0	0	0	0	0	0	8	0	0	0	0	0	0;0
8	地刺	0	0	0	0	0	0	8	0	0	0	0	0	0;0
