熔炼ID	匹配熔炼值段	熔炼奖励	宝石孔位	洗练属性
fusion_id	fusion	award	GemMax	WashMax
1	0:299;	401001;404001;	0	0
2	300:349;	401002;404002;	0	0
3	350:399;	401003;404003;	0	0
4	400:449;	401004;404004;	0	0
5	450:499;	401005;404005;	0	0
6	500:549;	401006;402006;403006;404006;	0	0
7	550:599;	401007;402007;403007;404007;	0	0
8	600:649;	401008;402008;403008;404008;	0	0
9	650:699;	401009;402009;403009;404009;	0	0
10	700:749;	401010;402010;403010;404010;	0	0
11	750:799;	401011;402011;403011;404011;408011;	0	0
12	800:849;	401012;402012;403012;404012;408012;	0	0
13	850:899;	401013;402013;403013;404013;408013;	0	0
14	900:949;	401014;402014;403014;404014;408014;	0	0
15	950:999;	401015;402015;403015;404015;408015;	0	0
16	1000:1049;	401016;402016;403016;404016;408016;	0	0
17	1050:1099;	401017;402017;403017;404017;408017;	0	0
18	1100:1149;	401018;402018;403018;404018;408018;	0	0
19	1150:1199;	401019;402019;403019;404019;408019;	0	0
20	1200:1249;	401020;402020;403020;404020;408020;	0	0
21	1250:1299;	401021;402021;403021;404021;405021;408021;	4	0
22	1300:1349;	401022;402022;403022;404022;405022;408022;	4	0
23	1350:1399;	401023;402023;403023;404023;405023;408023;	4	0
24	1400:1449;	401024;402024;403024;404024;405024;408024;	4	0
25	1450:1499;	401025;402025;403025;404025;405025;408025;	4	0
26	1500:1549;	401026;402026;403026;404026;405026;408026;	4	4
27	1550:1599;	401027;402027;403027;404027;405027;408027;	4	4
28	1600:1649;	401028;402028;403028;404028;405028;408028;	4	4
29	1650:1699;	401029;402029;403029;404029;405029;408029;	4	4
30	1700:1749;	401030;402030;403030;404030;405030;408030;	4	4
31	1750:1799;	401031;402031;403031;404031;405031;408031;	4	4
32	1800:1849;	401032;402032;403032;404032;405032;408032;	4	4
33	1850:1899;	401033;402033;403033;404033;405033;408033;	4	4
34	1900:1949;	401034;402034;403034;404034;405034;408034;	4	4
35	1950:1999;	401035;402035;403035;404035;405035;408035;	4	4
36	2000:2049;	401036;402036;403036;404036;405036;408036;	4	4
37	2050:2099;	401037;402037;403037;404037;405037;408037;	4	4
38	2100:2149;	401038;402038;403038;404038;405038;408038;	4	4
39	2150:2199;	401039;402039;403039;404039;405039;408039;	4	4
40	2200:2249;	401040;402040;403040;404040;405040;408040;	4	4
41	2250:2299;	401041;402041;403041;404041;405041;408041;	4	4
