道具组id	道具类型	道具id	道具名称	道具数量	道具权重
club_item_id	type	item_id	name	count	weighing
10001	1	20000017	5级礼包	1	0
10001	4	1	2000金币	2000	0
10001	1	71000001	sp+5	100	0
10001	1	72000001	sp+10	100	0
10014	1	20000018	5级礼包	1	0
10014	4	1	2000金币	2000	0
10014	1	71000001	sp+5	100	0
10014	1	72000001	sp+10	100	0
10002	1	20000019	10级礼包	1	0
10002	4	1	2000金币	2000	0
10002	1	20000013	紫色万能碎片礼包	5	0
10002	1	20000001	紫色碎片礼包	5	0
10002	1	71000001	sp+5	50	0
10002	1	72000001	sp+10	50	0
10002	2	11099	白色经验卡	1	0
10003	1	20000020	10级礼包	1	0
10003	4	1	2000金币	2000	0
10003	1	20000013	紫色万能碎片礼包	5	0
10003	1	20000001	紫色碎片礼包	5	0
10003	1	71000001	sp+5	50	0
10003	1	72000001	sp+10	50	0
10003	2	11099	白色经验卡	1	0
10004	1	52101000	蓝图纸	1	0
10004	1	61000001	材料	20	0
10004	1	61000002	材料	18	0
10004	1	60000001	材料	18	0
10004	1	60000002	材料	19	0
10004	1	60000003	材料	18	0
10005	1	52201000	蓝图纸	1	0
10005	1	61000006	材料	20	0
10005	1	61000007	材料	19	0
10005	1	60000005	材料	19	0
10005	1	60000006	材料	19	0
10005	1	60000001	材料	18	0
10017	1	52301000	蓝图纸	1	0
10017	1	61000001	材料	19	0
10017	1	61000002	材料	17	0
10017	1	60000003	材料	17	0
10017	1	60000004	材料	19	0
10017	1	60000005	材料	19	0
10018	1	52431000	蓝图纸	1	0
10018	1	61000008	材料	12	0
10018	1	61000001	材料	11	0
10018	1	60000004	材料	10	0
10018	1	60000005	材料	12	0
10018	1	60000006	材料	10	0
10006	1	20000022	20级礼包	1	0
10006	4	1	5000金币	2000	0
10006	1	20000003	绿色图纸礼包	5	0
10006	1	20000008	白色材料礼包	5	0
10006	1	20000001	紫色碎片礼包	5	0
10006	1	71000001	sp+5	50	0
10006	1	72000001	sp+10	50	0
10006	2	11099	白色经验卡	2	0
10007	1	20000023	25级礼包	1	0
10007	5	2	20钻石	20	0
10007	1	20000009	绿色材料礼包	5	0
10007	1	20000001	紫色碎片礼包	5	0
10007	1	71000001	sp+5	50	0
10007	1	72000001	sp+10	50	0
10007	1	73000001	sp+15	25	0
10007	2	21099	绿色经验卡	2	0
10008	1	20000024	30级礼包	1	0
10008	5	2	30钻石	30	0
10008	1	91000001	1级宝石	5	0
10008	1	20000001	紫色碎片礼包	5	0
10008	1	73000001	sp+10	20	0
10008	1	74000001	sp+15	20	0
10008	2	21099	绿色经验卡	3	0
10009	1	20000025	35级礼包	1	0
10009	5	2	50钻石	50	0
10009	1	20000010	蓝色材料礼包	5	0
10009	1	20000001	紫色碎片礼包	10	0
10009	1	72000001	sp+10	20	0
10009	1	73000001	sp+15	20	0
10009	2	21099	绿色经验卡	5	0
10010	1	20000026	40级礼包	1	0
10010	5	2	50钻石	50	0
10010	1	20000034	2级炫纹碎片礼包	5	0
10010	1	20000013	紫色万能碎片礼包	10	0
10010	1	20000014	橙色万能碎片礼包	5	0
10010	1	73000001	sp+15	20	0
10010	1	74000001	sp+20	20	0
10010	2	31099	蓝色经验卡	3	0
10011	1	20000027	45级礼包	1	0
10011	5	2	100钻石	100	0
10011	1	20000011	紫色材料礼包	5	0
10011	1	20000013	紫色万能碎片礼包	10	0
10011	1	20000014	橙色万能碎片礼包	5	0
10011	1	73000001	sp+15	20	0
10011	1	74000001	sp+20	20	0
10011	2	31099	蓝色经验卡	4	0
10015	1	20000028	50级礼包	1	0
10015	5	2	100钻石	100	0
10015	1	20000011	紫色材料礼包	5	0
10015	1	20000013	紫色万能碎片礼包	10	0
10015	1	20000014	橙色万能碎片礼包	5	0
10015	1	74000001	sp+20	20	0
10015	1	75000001	sp+25	20	0
10015	2	31099	蓝色经验卡	5	0
10016	5	2	200钻石	200	0
10016	1	20000012	橙色材料礼包	5	0
10016	1	20000013	紫色万能碎片礼包	20	0
10016	1	74000001	sp+20	20	0
10016	1	75000001	sp+25	20	0
10016	1	20000029	40级饰品礼包	1	0
10016	2	41099	紫色经验卡	5	0
10012	3	1000	紫色万能碎片	1	0
10013	3	2000	橙色万能碎片	1	0
20001	3	42006	逐烟霞	1	100
20001	3	43102	包子入侵	1	100
20001	3	44003	寒烟柔	1	100
20001	3	41203	鬼刻	1	100
20001	3	41103	再睡一夏	1	100
20001	3	43202	气冲云水	1	100
20001	3	42203	全透明	1	100
20002	3	51006	飞刀剑	1	100
20002	3	54102	鸾辂音尘	1	100
20003	1	51101000	剑客武器图纸	1	100
20003	1	51111000	狂战武器图纸	1	100
20003	1	51121000	鬼阵武器图纸	1	100
20003	1	51131000	魔剑士武器图纸	1	100
20003	1	51201000	枪炮师武器图纸	1	100
20003	1	51211000	神枪手武器图纸	1	100
20003	1	51221000	弹药武器图纸	1	100
20003	1	51301000	拳法家武器图纸	1	100
20003	1	51311000	流氓武器图纸	1	100
20003	1	51321000	气功武器图纸	1	100
20003	1	51401000	战法武器图纸	1	100
20003	1	51411000	元素法师武器图纸	1	100
20003	1	51231000	元素法师武器图纸	1	100
20003	1	51431000	元素法师武器图纸	1	100
20004	1	52101000	剑客武器图纸	1	100
20004	1	52111000	狂战武器图纸	1	100
20004	1	52121000	鬼阵武器图纸	1	100
20004	1	52131000	魔剑士武器图纸	1	100
20004	1	52201000	枪炮师武器图纸	1	100
20004	1	52211000	神枪手武器图纸	1	100
20004	1	52221000	弹药武器图纸	1	100
20004	1	52301000	拳法家武器图纸	1	100
20004	1	52311000	流氓武器图纸	1	100
20004	1	52321000	气功武器图纸	1	100
20004	1	52401000	战法武器图纸	1	100
20004	1	52411000	元素法师武器图纸	1	100
20004	1	52231000	元素法师武器图纸	1	100
20004	1	52431000	元素法师武器图纸	1	100
20005	1	53101000	剑客武器图纸	1	100
20005	1	53111000	狂战武器图纸	1	100
20005	1	53121000	鬼阵武器图纸	1	100
20005	1	53131000	魔剑士武器图纸	1	100
20005	1	53201000	枪炮师武器图纸	1	100
20005	1	53211000	神枪手武器图纸	1	100
20005	1	53221000	弹药武器图纸	1	100
20005	1	53301000	拳法家武器图纸	1	100
20005	1	53311000	流氓武器图纸	1	100
20005	1	53321000	气功武器图纸	1	100
20005	1	53401000	战法武器图纸	1	100
20005	1	53411000	元素法师武器图纸	1	100
20005	1	53231000	元素法师武器图纸	1	100
20005	1	54231000	元素法师武器图纸	1	100
20006	1	54101000	剑客武器图纸	1	100
20006	1	54111000	狂战武器图纸	1	100
20006	1	54121000	鬼阵武器图纸	1	100
20006	1	54131000	魔剑士武器图纸	1	100
20006	1	54201000	枪炮师武器图纸	1	100
20006	1	54211000	神枪手武器图纸	1	100
20006	1	54221000	弹药武器图纸	1	100
20006	1	54301000	拳法家武器图纸	1	100
20006	1	54311000	流氓武器图纸	1	100
20006	1	54321000	气功武器图纸	1	100
20006	1	54401000	战法武器图纸	1	100
20006	1	54411000	元素法师武器图纸	1	100
20006	1	54231000	元素法师武器图纸	1	100
20006	1	54431000	元素法师武器图纸	1	100
20007	1	55101000	剑客武器图纸	1	100
20007	1	55111000	狂战武器图纸	1	100
20007	1	55121000	鬼阵武器图纸	1	100
20007	1	55131000	魔剑士武器图纸	1	100
20007	1	55201000	枪炮师武器图纸	1	100
20007	1	55211000	神枪手武器图纸	1	100
20007	1	55221000	弹药武器图纸	1	100
20007	1	55301000	拳法家武器图纸	1	100
20007	1	55311000	流氓武器图纸	1	100
20007	1	55321000	气功武器图纸	1	100
20007	1	55401000	战法武器图纸	1	100
20007	1	55411000	元素法师武器图纸	1	100
20007	1	55231000	元素法师武器图纸	1	100
20007	1	55431000	元素法师武器图纸	1	100
20008	1	60000001	暗夜猫眼石	5	100
20008	1	60000002	骷髅骨灰	5	100
20008	1	60000003	秘银碎屑	5	100
20008	1	60000004	冰霜残迹	5	100
20008	1	60000005	骷髅法师手骨	5	100
20008	1	60000006	腐骨羊骨椎	5	100
20009	1	61000001	白巫女泪痕	4	100
