掉落ID	掉落物品（G表示金币、M表示元宝）	数量区间	掉落模型（无则不填）	光效（无则不填）
id	items	count	model	effect
1	10001:1:1;10002:1:1;10003:1:1;10004:1:1;	1:1;	icon_xiezi_1.png	
2	10005:1:1;10006:1:1;10007:1:1;10008:1:2;	1:2;	icon_toukui_1.png	
3	10009:1:1;100010:1:1;100011:1:1;100012:1:;	1:3;	icon_duandao_1.png	
4	10001:1:1;10003:1:1;10005:1:1;10007:1:1;	2:2;	icon_yifu_1.png	
5	10009:1:1;100011:1:1;10002:1:1;10004:1:2;	3:3;	icon_shizijia_1.png	
6	10001:1:1;10002:1:1;10003:1:1;10004:1:1;	1:1;		
7	10005:1:1;10006:1:1;10007:1:1;10008:1:2;	1:1;		
8	10009:1:1;100010:1:1;100011:1:1;100012:1:;	1:1;		
9	10001:1:1;10003:1:1;10005:1:1;10007:1:1;	1:1;		
10	10009:1:1;100011:1:1;10002:1:1;10004:1:2;	1:1;		
