缘分ID	主卡ID	缘分名称	匹配缘分	属性增益	缘分描述	缘分位置
luckID	ID	name	luck	attribute	description	location
1	1	攻无不克	0	4:100;	物理攻击+100%	1
2	1	血之气息	0	1:100;	生命值+100%	2
3	1	坚如磐石	0	5:100;	物理防御+100%	3
4	1	固若金汤	0	7:100;	魔法防御+100%	4
5	1	血之暴走	0	12:100;	物理暴击+100%	5
6	1	山岳之固	0	9:100;10:100;	"物理抗暴击+100%,魔法抗暴击+100%"	6
7	1	弱点侦测	0	14:39;16:100;	"格挡率+39%,命中率+100%"	7
8	2	无坚不摧	0	6:100;	魔法攻击+100%	1
9	2	血之气息	0	1:100;	生命值+100%	2
10	2	坚如磐石	0	5:100;	物理防御+100%	3
11	2	固若金汤	0	7:100;	魔法防御+100%	4
12	2	血之暴走	0	13:100;	魔法暴击+100%	5
13	2	山岳之固	0	9:100;10:100;	"物理抗暴击+100%,魔法抗暴击+100%"	6
14	2	弱点侦测	0	14:39;16:100;	"格挡率+39%,命中率+100%"	7
15	3	攻无不克	0	4:100;	物理攻击+100%	1
16	3	血之气息	0	1:100;	生命值+100%	2
17	3	坚如磐石	0	5:100;	物理防御+100%	3
18	3	固若金汤	0	7:100;	魔法防御+100%	4
19	3	血之暴走	0	12:100;	物理暴击+100%	5
20	3	山岳之固	0	9:100;10:100;	"物理抗暴击+100%,魔法抗暴击+100%"	6
21	3	弱点侦测	0	14:39;16:100;	"格挡率+39%,命中率+100%"	7
22	12002	无坚不摧	0	6:100;	魔法攻击+100%	
23	12002	双炮齐发	1:12002:22004	16:100;	蔷薇绕枝与垂杨蘸绿一起上阵，命中率+100%	
24	12003	无坚不摧	0	6:100;	魔法攻击+100%	
25	12003	战力加强	1:12003:22004	16:100;	迎风回浪与垂杨蘸绿一起上阵，命中率+100%	
26	12102	攻无不克	0	4:100;	物理攻击+100%	
27	12102	实力对抗	1:12102:21102	16:100;	血污天使与蓝狂一起上阵，命中率+100%	
28	11007	攻无不克	0	4:100;	物理攻击+100%	
29	22103	攻无不克	0	4:100;	物理攻击+100%	
30	22103	火力交织	1:22103:21303	12:100;	悔不觉与银白色一起上阵，物理暴击+100%	
31	21202	攻无不克	0	4:100;6:100;	物理攻击+100%、魔法攻击+100%	
32	21202	攻守兼备	1:21202:32104	7:100;	极昼极夜与花下绿一起上阵，魔法防御+100%	
33	21302	攻无不克	0	4:100;6:100;	物理攻击+100%、魔法攻击+100%	
34	21302	神经错乱	1:21302:41305	1:100;	伤怨刀与昼无明月一起上阵，生命值+100%	
35	21302	目标锁定	1:21302:22004	16:100;	伤怨刀与垂杨蘸绿一起上阵，命中率+100%	
36	21102	攻无不克	0	4:100;	物理攻击+100%	
37	21102	教导有方	1:21102:34305	5:100;	蓝狂与烈日光灭一起上阵，物理防御+100%	
38	21303	攻无不克	0	4:100;6:100;	物理攻击+100%、魔法攻击+100%	
39	21303	火力交织	1:21303:22103	9:100;10:100;	银白色与悔不觉一起上阵，物理抗暴击+100%、魔法抗暴击+100%	
40	22004	无坚不摧	0	6:100;	魔法攻击+100%	
41	22004	双重身份	1:22004:52008	1:100;	垂杨蘸绿与沐雪烟雨一起上阵，生命值+100%	
42	24004	攻无不克	0	4:100;	物理攻击+100%	
43	24004	惹是生非	1:24004:31008	5:100;	惊鹤与岚溪一起上阵，物理防御+100%	
44	24304	攻无不克	0	4:100;6:100;	物理攻击+100%、魔法攻击+100%	
45	24304	无尽崇拜	1:24304:34305	5:100;	平车前与烈日光灭一起上阵，物理防御+100%	
46	34305	攻无不克	0	4:100;6:100;	物理攻击+100%、魔法攻击+100%	
