邮件id	类型	主题	内容头	内容主题	内容尾部	金币数量	钻石数量	VIP经验	经验值	荣耀值	体力值	道具1类型	道具1id	道具1数量	道具2类型	道具2id	道具2数量	道具3类型	道具3id	道具3数量	道具4类型	道具4id	道具4数量	道具5类型	道具5id	道具5数量	阅读后保存时间	未阅读保存时间	发送日期
id	type	theme	content	content2	content3	glod	diamond	vipexp	exp	honor	physical	Item1_type	Item1_id	Item1_count	Item2_type	Item2_id	Item2_count	Item3_type	Item3_id	Item3_count	Item4_type	Item4_id	Item4_count	Item5_type	Item5_id	Item5_count	read	unread	send_time
9001	1	大试炼奖励	亲爱的玩家：	[txt:size=20 color=white]你参与“[txt:size=20 color=green]大试炼极限挑战[txt:size=20 color=white]”活动排名优异，奖励物品随信附上，请查收。	《荣耀》邮政长	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600000	86400000	0.00 
9002	1	大试炼奖励	亲爱的玩家：	[txt:size=20 color=white]你参与“[txt:size=20 color=green]大试炼急速时刻[txt:size=20 color=white]”活动排名优异，奖励物品随信附上，请查收。	《荣耀》邮政长	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600000	86400000	0.00 
9003	1	强力高手排名奖励	亲爱的玩家：	[txt:size=20 color=white]恭喜您在开服战力大比拼活动中上榜，获得排名[txt:size=20 color=green]第1[txt:size=20 color=white]的奖励，随信奉上。	《荣耀》邮政长	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600000	86400000	0.00 
9004	1	强力高手排名奖励	亲爱的玩家：	[txt:size=20 color=white]恭喜您在开服战力大比拼活动中上榜，获得排名[txt:size=20 color=green]第2[txt:size=20 color=white]的奖励，随信奉上。	《荣耀》邮政长	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600000	86400000	0.00 
9005	1	强力高手排名奖励	亲爱的玩家：	[txt:size=20 color=white]恭喜您在开服战力大比拼活动中上榜，获得排名[txt:size=20 color=green]第3[txt:size=20 color=white]的奖励，随信奉上。	《荣耀》邮政长	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600000	86400000	0.00 
9006	1	强力高手排名奖励	亲爱的玩家：	[txt:size=20 color=white]恭喜您在开服战力大比拼活动中上榜，获得排名[txt:size=20 color=green]第4-5[txt:size=20 color=white]的奖励，随信奉上。	《荣耀》邮政长	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600000	86400000	0.00 
9007	1	强力高手排名奖励	亲爱的玩家：	[txt:size=20 color=white]恭喜您在开服战力大比拼活动中上榜，获得排名[txt:size=20 color=green]第6-10[txt:size=20 color=white]的奖励，随信奉上。	《荣耀》邮政长	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600000	86400000	0.00 
9008	1	强力高手排名奖励	亲爱的玩家：	[txt:size=20 color=white]恭喜您在开服战力大比拼活动中上榜，获得排名[txt:size=20 color=green]第11-20[txt:size=20 color=white]的奖励，随信奉上。	《荣耀》邮政长	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600000	86400000	0.00 
9009	1	强力高手排名奖励	亲爱的玩家：	[txt:size=20 color=white]恭喜您在开服战力大比拼活动中上榜，获得排名[txt:size=20 color=green]第21-30[txt:size=20 color=white]的奖励，随信奉上。	《荣耀》邮政长	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600000	86400000	0.00 
