道具组id	道具id	道具名称	道具数量	道具权重	需求货币类型	需求货币数量
mystery_item_id	item_id	name	count	weighing	money	money_count
10001	60000001	暗夜猫眼石	1	10	1	2
10001	60000001	暗夜猫眼石	3	10	1	6
10001	60000001	暗夜猫眼石	5	10	1	10
10001	60000001	暗夜猫眼石	10	10	1	20
10001	60000001	暗夜猫眼石	15	10	1	30
10001	60000001	暗夜猫眼石	20	10	1	40
10001	60000002	骷髅骨灰	1	10	1	2
10001	60000002	骷髅骨灰	3	10	1	6
10001	60000002	骷髅骨灰	5	10	1	10
10001	60000002	骷髅骨灰	10	10	1	20
10001	60000002	骷髅骨灰	15	10	1	30
10001	60000002	骷髅骨灰	20	10	1	40
10001	60000003	秘银碎屑	1	10	1	2
10001	60000003	秘银碎屑	3	10	1	6
10001	60000003	秘银碎屑	5	10	1	10
10001	60000003	秘银碎屑	10	10	1	20
10001	60000003	秘银碎屑	15	10	1	30
10001	60000003	秘银碎屑	20	10	1	40
10001	60000004	冰霜残迹	1	10	1	2
10001	60000004	冰霜残迹	3	10	1	6
10001	60000004	冰霜残迹	5	10	1	10
10001	60000004	冰霜残迹	10	10	1	20
10001	60000004	冰霜残迹	15	10	1	30
10001	60000004	冰霜残迹	20	10	1	40
10001	60000005	骷髅法师手骨	1	10	1	2
10001	60000005	骷髅法师手骨	3	10	1	6
10001	60000005	骷髅法师手骨	5	10	1	10
10001	60000005	骷髅法师手骨	10	10	1	20
10001	60000005	骷髅法师手骨	15	10	1	30
10001	60000005	骷髅法师手骨	20	10	1	40
10001	60000006	腐骨羊骨椎	1	10	1	2
10001	60000006	腐骨羊骨椎	3	10	1	6
10001	60000006	腐骨羊骨椎	5	10	1	10
10001	60000006	腐骨羊骨椎	10	10	1	20
10001	60000006	腐骨羊骨椎	15	10	1	30
10001	60000006	腐骨羊骨椎	20	10	1	40
10001	60000001	暗夜猫眼石	1	10	0	2000
10001	60000001	暗夜猫眼石	3	10	0	6000
10001	60000001	暗夜猫眼石	5	10	0	10000
10001	60000001	暗夜猫眼石	10	10	0	20000
10001	60000001	暗夜猫眼石	15	10	0	30000
10001	60000001	暗夜猫眼石	20	10	0	40000
10001	60000002	骷髅骨灰	1	10	0	2000
10001	60000002	骷髅骨灰	3	10	0	6000
10001	60000002	骷髅骨灰	5	10	0	10000
10001	60000002	骷髅骨灰	10	10	0	20000
10001	60000002	骷髅骨灰	15	10	0	30000
10001	60000002	骷髅骨灰	20	10	0	40000
10001	60000003	秘银碎屑	1	10	0	2000
10001	60000003	秘银碎屑	3	10	0	6000
10001	60000003	秘银碎屑	5	10	0	10000
10001	60000003	秘银碎屑	10	10	0	20000
10001	60000003	秘银碎屑	15	10	0	30000
10001	60000003	秘银碎屑	20	10	0	40000
10001	60000004	冰霜残迹	1	10	0	2000
10001	60000004	冰霜残迹	3	10	0	6000
10001	60000004	冰霜残迹	5	10	0	10000
10001	60000004	冰霜残迹	10	10	0	20000
10001	60000004	冰霜残迹	15	10	0	30000
10001	60000004	冰霜残迹	20	10	0	40000
10001	60000005	骷髅法师手骨	1	10	0	2000
10001	60000005	骷髅法师手骨	3	10	0	6000
10001	60000005	骷髅法师手骨	5	10	0	10000
10001	60000005	骷髅法师手骨	10	10	0	20000
10001	60000005	骷髅法师手骨	15	10	0	30000
10001	60000005	骷髅法师手骨	20	10	0	40000
10001	60000006	腐骨羊骨椎	1	10	0	2000
10001	60000006	腐骨羊骨椎	3	10	0	6000
10001	60000006	腐骨羊骨椎	5	10	0	10000
10001	60000006	腐骨羊骨椎	10	10	0	20000
10001	60000006	腐骨羊骨椎	15	10	0	30000
10001	60000006	腐骨羊骨椎	20	10	0	40000
10002	60000001	暗夜猫眼石	1	10	1	2
10002	60000001	暗夜猫眼石	3	10	1	6
10002	60000001	暗夜猫眼石	5	10	1	10
10002	60000001	暗夜猫眼石	10	10	1	20
10002	60000001	暗夜猫眼石	15	10	1	30
10002	60000001	暗夜猫眼石	20	10	1	40
10002	60000002	骷髅骨灰	1	10	1	2
10002	60000002	骷髅骨灰	3	10	1	6
10002	60000002	骷髅骨灰	5	10	1	10
10002	60000002	骷髅骨灰	10	10	1	20
10002	60000002	骷髅骨灰	15	10	1	30
10002	60000002	骷髅骨灰	20	10	1	40
10002	60000003	秘银碎屑	1	10	1	2
10002	60000003	秘银碎屑	3	10	1	6
10002	60000003	秘银碎屑	5	10	1	10
10002	60000003	秘银碎屑	10	10	1	20
10002	60000003	秘银碎屑	15	10	1	30
10002	60000003	秘银碎屑	20	10	1	40
10002	60000004	冰霜残迹	1	10	1	2
10002	60000004	冰霜残迹	3	10	1	6
10002	60000004	冰霜残迹	5	10	1	10
10002	60000004	冰霜残迹	10	10	1	20
10002	60000004	冰霜残迹	15	10	1	30
10002	60000004	冰霜残迹	20	10	1	40
10002	60000005	骷髅法师手骨	1	10	1	2
10002	60000005	骷髅法师手骨	3	10	1	6
10002	60000005	骷髅法师手骨	5	10	1	10
10002	60000005	骷髅法师手骨	10	10	1	20
10002	60000005	骷髅法师手骨	15	10	1	30
10002	60000005	骷髅法师手骨	20	10	1	40
10002	60000006	腐骨羊骨椎	1	10	1	2
10002	60000006	腐骨羊骨椎	3	10	1	6
10002	60000006	腐骨羊骨椎	5	10	1	10
10002	60000006	腐骨羊骨椎	10	10	1	20
10002	60000006	腐骨羊骨椎	15	10	1	30
10002	60000006	腐骨羊骨椎	20	10	1	40
10002	61000001	白巫女泪痕	1	10	1	10
10002	61000001	白巫女泪痕	3	10	1	30
10002	61000001	白巫女泪痕	5	10	1	50
10002	61000001	白巫女泪痕	10	10	1	100
10002	61000001	白巫女泪痕	15	10	1	150
10002	61000001	白巫女泪痕	20	10	1	200
10002	61000002	赤蝎尾针	1	10	1	10
10002	61000002	赤蝎尾针	3	10	1	30
10002	61000002	赤蝎尾针	5	10	1	50
10002	61000002	赤蝎尾针	10	10	1	100
10002	61000002	赤蝎尾针	15	10	1	150
10002	61000002	赤蝎尾针	20	10	1	200
10002	61000003	猩红毒针	1	10	1	10
10002	61000003	猩红毒针	3	10	1	30
10002	61000003	猩红毒针	5	10	1	50
10002	61000003	猩红毒针	10	10	1	100
10002	61000003	猩红毒针	15	10	1	150
10002	61000003	猩红毒针	20	10	1	200
10002	61000004	赤影元素	1	10	1	10
10002	61000004	赤影元素	3	10	1	30
10002	61000004	赤影元素	5	10	1	50
10002	61000004	赤影元素	10	10	1	100
10002	61000004	赤影元素	15	10	1	150
10002	61000004	赤影元素	20	10	1	200
10002	61000005	磨砂石	1	10	1	10
10002	61000005	磨砂石	3	10	1	30
10002	61000005	磨砂石	5	10	1	50
10002	61000005	磨砂石	10	10	1	100
10002	61000005	磨砂石	15	10	1	150
10002	61000005	磨砂石	20	10	1	200
10002	61000006	沙蚕丝	1	10	1	10
10002	61000006	沙蚕丝	3	10	1	30
10002	61000006	沙蚕丝	5	10	1	50
10002	61000006	沙蚕丝	10	10	1	100
10002	61000006	沙蚕丝	15	10	1	150
10002	61000006	沙蚕丝	20	10	1	200
10002	61000007	琥珀晶石	1	10	1	10
10002	61000007	琥珀晶石	3	10	1	30
10002	61000007	琥珀晶石	5	10	1	50
10002	61000007	琥珀晶石	10	10	1	100
10002	61000007	琥珀晶石	15	10	1	150
10002	61000007	琥珀晶石	20	10	1	200
10002	61000008	烈焰石	1	10	1	10
10002	61000008	烈焰石	3	10	1	30
10002	61000008	烈焰石	5	10	1	50
10002	61000008	烈焰石	10	10	1	100
10002	61000008	烈焰石	15	10	1	150
10002	61000008	烈焰石	20	10	1	200
10002	60000001	暗夜猫眼石	1	10	0	2000
10002	60000001	暗夜猫眼石	3	10	0	6000
10002	60000001	暗夜猫眼石	5	10	0	10000
10002	60000001	暗夜猫眼石	10	10	0	20000
10002	60000001	暗夜猫眼石	15	10	0	30000
10002	60000001	暗夜猫眼石	20	10	0	40000
10002	60000002	骷髅骨灰	1	10	0	2000
10002	60000002	骷髅骨灰	3	10	0	6000
10002	60000002	骷髅骨灰	5	10	0	10000
