商店id	商店等级	商店品质	商店权重	匹配玩家等级段	宝石孔位	洗练属性	第1栏位	第2栏位	第3栏位	第4栏位	第5栏位	第6栏位	第7栏位	第8栏位	第9栏位	第10栏位	第11栏位	第12栏位
mystery_id	level	quality	weight	user_level	GemMax	WashMax	position1_item	position2_item	position3_item	position4_item	position5_item	position6_item	position7_item	position8_item	position9_item	position10_item	position11_item	position12_item
1001	5	1	20	1:5;	0	0	20001	40001	30001	30001	0	0	0	0	0	0	0	0
1002	10	1	20	6:10;	0	0	20001	40001	30001	30001	10001	0	0	0	0	0	0	0
1003	15	1	20	11:15;	0	0	20001	40010	30002	30002	10001	10001	0	0	0	0	0	0
1004	20	1	20	16:20;	0	0	20001	40010	30003	30003	30003	10001	10001	0	0	0	0	0
1005	25	1	20	21:25;	0	0	20002	20002	40020	30004	30004	30004	10002	10002	0	0	0	0
1006	30	1	20	26:30;	4	0	20002	20002	40020	40020	30005	30005	30005	10002	10002	0	0	0
1007	35	1	20	31:35;	4	0	20003	20003	40030	40030	30005	30005	30005	30005	10003	10003	0	0
1008	40	1	20	36:40;	4	4	20003	20003	40035	40035	30006	30006	30006	30006	10003	10003	10003	0
1009	45	1	20	41:45;	4	4	20003	20003	40035	40035	30007	30007	30007	30007	10003	10003	10003	10003
1010	50	1	20	46:50;	4	4	20003	20003	40045	40045	30007	30007	30007	30007	10003	10003	10003	10003
1011	55	1	20	51:55;	4	4	20004	20004	40050	40050	30008	30008	30008	30008	10004	10004	10004	10004
1012	60	1	20	56:60;	4	4	20005	20005	40050	40050	30008	30008	30008	30008	10004	10004	10004	10004
1013	65	1	20	61:65;	4	4	20005	20005	40060	40060	30009	30009	30009	30009	10004	10004	10004	10004
1014	70	1	20	66:70;	4	4	20005	20005	40060	40060	30010	30010	30010	30010	10004	10004	10004	10004
1015	75	1	20	71:75;	4	4	20006	20006	40060	40060	30011	30011	30011	30011	10004	10004	10004	10004
1016	80	1	20	76:80;	4	4	20006	20006	40060	40060	30011	30011	30011	30011	10004	10004	10004	10004
1017	85	1	20	81:85;	4	4	20006	20006	40060	40060	30012	30012	30012	30012	10004	10004	10004	10004
1018	90	1	20	86:90;	4	4	20006	20006	40060	40060	30012	30012	30012	30012	10005	10005	10005	10005
1019	95	1	20	91:95;	4	4	20006	20006	40060	40060	30013	30013	30013	30013	10005	10005	10005	10005
1020	100	1	20	96:100;	4	4	20006	20006	40060	40060	30013	30013	30013	30013	10005	10005	10005	10005
2001	25	2	1	21:25;	4	4	20002	20002	20002	20002	20002	20002	20002	20002	0	0	0	0
2002	30	2	1	26:30;	4	4	20002	20002	20002	20002	20002	20002	20002	20002	20002	0	0	0
2003	35	2	1	31:35;	4	4	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	0	0
2004	40	2	1	36:40;	4	4	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	0
2005	45	2	1	41:45;	4	4	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004
2006	50	2	1	46:50;	4	4	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004
2007	55	2	1	51:55;	4	4	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004
2008	60	2	1	56:60;	4	4	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
2009	65	2	1	61:65;	4	4	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
2010	70	2	1	66:75;	4	4	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
2011	80	2	1	76:100;	4	4	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006
2013	30	2	1	26:30;	0	0	20002	20002	20002	20002	20002	20002	20002	20002	20002	0	0	0
2014	35	2	1	31:35;	0	0	20002	20002	20002	20002	20002	20002	20002	20002	20002	20002	0	0
2015	40	2	1	36:40;	0	0	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	0
2016	45	2	1	41:45;	0	0	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003
2017	50	2	1	46:50;	0	0	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004
2018	55	2	1	51:55;	0	0	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004
2019	60	2	1	56:60;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
2020	65	2	1	61:65;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
2021	70	2	1	66:75;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
2022	80	2	1	76:100;	0	0	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006	20006
2023	25	2	1	21:25;	0	0	20002	20002	20002	20002	20002	20002	20002	20002	20002	0	0	0
2024	30	2	1	26:30;	0	0	20002	20002	20002	20002	20002	20002	20002	20002	20002	20002	0	0
2025	35	2	1	31:35;	0	0	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	0
2026	40	2	1	36:40;	0	0	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003	20003
2027	45	2	1	41:45;	0	0	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004
2028	50	2	1	46:50;	0	0	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004
2029	55	2	1	51:55;	0	0	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004	20004
2030	60	2	1	56:60;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
2031	65	2	1	61:65;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
2032	70	2	1	66:75;	0	0	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005	20005
