唯一ID	类型	物品ID	数量	产出时间	概率	货币影响	保底权重	全十保底	性格材料标准	性格材料标准区间	递减值	产出地点编号	产出地点提示	产出名言
ID	type	item_id	num	time	probability	influence	Proportion1	Proportion2	material	section	descending	Tips1	Tips2	dictum
1	3	41203	10	60	0.23	0			30000001:6;30000002:7;30000003:7;30000004:3;30000005:8;30000006:5;	30000001:8:4;30000002:9:5;30000003:9:5;30000004:5:1;30000005:10:6;30000006:7:3;	0.015	11	悬空城堡	我不会输！战斗还没有结束！
2	3	42006	10	30	0.23	0			30000001:1;30000002:8;30000003:2;30000004:6;30000005:5;30000006:7;	30000001:3:1;30000002:10:6;30000003:4:1;30000004:8:4;30000005:7:1;30000006:9:5;	0.015	11	悬空城堡	有幸遇到你，最了不起的你。
3	3	42203	10	75	0.23	0			30000001:5;30000002:7;30000003:4;30000004:4;30000005:5;30000006:4;	30000001:6:4;30000002:8:6;30000003:5:3;30000004:5:3;30000005:6:4;30000006:5:3;	0.015	9	光之领域	有点遗憾，我已经尽力了。
4	3	41103	10	30	0.18	0			30000001:9;30000002:6;30000003:3;30000004:9;30000005:4;30000006:4;	30000001:10:7;30000002:8:4;30000003:5:1;30000004:10:7;30000005:6:2;30000006:6:2;	0.012	2	无法地带	你的纪录到此为止了。
5	3	43202	10	60	0.18	0			30000001:7;30000002:5;30000003:3;30000004:6;30000005:3;30000006:7;	30000001:9:5;30000002:7:1;30000003:5:1;30000004:8:4;30000005:5:1;30000006:9:1;	0.012	11	悬空城堡	准备好了，一起上！
6	3	43102	10	45	0.17	0			30000001:9;30000002:2;30000003:2;30000004:8;30000005:1;30000006:10;	30000001:10:7;30000002:4:1;30000003:4:1;30000004:10:6;30000005:3:1;30000006:1:8;	0.011	5	游魂墓地	吃我一板砖。
7	3	44003	10	45	0.17	0			30000001:10;30000002:8;30000003:1;30000004:10;30000005:1;30000006:5;	30000001:10:8;30000002:10:6;30000003:3:1;30000004:10:8;30000005:3:-1;30000006:7:3;	0.011	7	冷寂之窟	这种拼尽全力的感觉，也是不错的。
8	2	31304	1	75	0.13	0	320	600	30000001:8;30000002:3;30000003:7;30000004:8;30000005:3;30000006:1;	30000001:10:6;30000002:5:1;30000003:9:5;30000004:10:6;30000005:5:1;30000006:3:1;	0.0087	1	远古遗迹	我很自信。
9	2	32104	1	45	0.13	0	320	600	30000001:7;30000002:6;30000003:2;30000004:5;30000005:2;30000006:3;	30000001:9:5;30000002:8:4;30000003:4:1;30000004:7:3;30000005:4:1;30000006:5:1;	0.0087	9	光之领域	好讨厌啊。
10	2	32202	1	75	0.13	0	320	600	30000001:8;30000002:4;30000003:3;30000004:8;30000005:3;30000006:4;	30000001:10:6;30000002:6:2;30000003:5:1;30000004:10:6;30000005:5:1;30000006:6:2;	0.0087	3	火龙之巢	还不打算放弃吗？
11	2	32005	1	30	0.12	0	320	600	30000001:4;30000002:9;30000003:4;30000004:4;30000005:9;30000006:7;	30000001:6:2;30000002:10:7;30000003:6:2;30000004:6:2;30000005:10:7;30000006:9:5;	0.0077	1	远古遗迹	稳住，不要急着进攻。
12	2	31002	1	45	0.12	0	320	600	30000001:8;30000002:4;30000003:1;30000004:7;30000005:1;30000006:4;	30000001:10:6;30000002:6:2;30000003:3:1;30000004:9:5;30000005:3:1;30000006:6:2;	0.0077	5	游魂墓地	哥是什么人你都不知道。
13	3	51006	10	45	0.092	0			30000001:9;30000002:8;30000003:2;30000004:8;30000005:2;30000006:6;	30000001:10:7;30000002:10:6;30000003:4:1;30000004:10:6;30000005:4:1;30000006:8:4;	0.0062	11	悬空城堡	唯快不破！
14	3	54102	10	30	0.092	0			30000001:5;30000002:5;30000003:2;30000004:6;30000005:8;30000006:6;	30000001:7:3;30000002:7:3;30000003:4:1;30000004:8:4;30000005:10:1;30000006:8:4;	0.0062	11	悬空城堡	敌人真是太狡猾了。
15	2	41203	1	60	0.066	0		0.84	30000001:6;30000002:7;30000003:7;30000004:3;30000005:8;30000006:5;	30000001:8:4;30000002:9:5;30000003:9:5;30000004:5:1;30000005:10:6;30000006:7:3;	0.0026	11	悬空城堡	我不会输！战斗还没有结束！
