商店id	商店等级	商店品质	商店权重	匹配玩家等级段	宝石孔位	洗练属性	第1栏位	第2栏位	第3栏位	第4栏位	第5栏位	第6栏位	第7栏位	第8栏位	第9栏位	第10栏位	第11栏位	第12栏位
mystery_id	level	quality	weight	user_level	GemMax	WashMax	position1_item	position2_item	position3_item	position4_item	position5_item	position6_item	position7_item	position8_item	position9_item	position10_item	position11_item	position12_item
1001	5	1	10	1:5;	0	0	20001	20001	20001	90001	0	0	0	0	0	0	0	0
1002	10	1	10	6:10;	0	0	20001	20001	20001	90001	0	0	0	0	0	0	0	0
1003	15	1	10	11:15;	0	0	20010	20010	20010	90001	80001	0	0	0	0	0	0	0
1004	20	1	10	16:20;	0	0	20010	20010	20010	90001	80001	0	0	0	0	0	0	0
1005	25	1	10	21:25;	0	0	20020	20020	20020	90001	80001	0	0	0	0	0	0	0
1006	30	1	10	26:30;	0	0	20020	20020	20020	90001	80001	80001	0	0	0	0	0	0
1007	35	1	10	31:35;	0	0	20030	20030	20030	90001	80001	80001	60030	70030	70030	0	0	0
1008	40	1	10	36:40;	0	0	20030	20030	20030	90001	80001	80001	60035	70035	70035	0	0	0
1009	45	1	10	41:45;	0	0	20030	20030	20030	90001	80001	80001	60035	70040	70040	0	0	0
1010	50	1	10	46:50;	0	0	20030	20030	20030	90001	80001	80001	60045	70045	70045	0	0	0
1011	55	1	10	51:55;	0	0	20050	20050	20050	90001	80001	80001	60045	70045	70045	0	0	0
1012	60	1	10	56:60;	0	0	20050	20050	20050	90001	80001	80001	60045	70045	70045	0	0	0
1013	65	1	10	61:65;	0	0	20050	20050	20050	90001	80001	80001	60060	70045	70045	0	0	0
1014	70	1	10	66:70;	0	0	20050	20050	20050	90001	80001	80001	60060	70045	70045	0	0	0
1015	75	1	10	71:75;	0	0	20050	20050	20050	90001	80001	80001	60060	70045	70045	0	0	0
1016	80	1	10	76:80;	0	0	20050	20050	20050	90001	80001	80001	60060	70045	70045	0	0	0
1017	85	1	10	81:85;	0	0	20050	20050	20050	90001	80001	80001	60060	70045	70045	0	0	0
1018	90	1	10	86:90;	0	0	20050	20050	20050	90001	80001	80001	60060	70045	70045	0	0	0
1019	95	1	10	91:95;	0	0	20050	20050	20050	90001	80001	80001	60060	70045	70045	0	0	0
1020	100	1	10	96:100;	0	0	20050	20050	20050	90001	80001	80001	60060	70045	70045	0	0	0
