#次数配置表							
#次数	聚宝消耗	体力消耗	竞技场奖励金币	竞技场奖励声望	竞技场奖励礼包(默认数量1)	竞技场购买次数消耗元宝	挑战副本购买次数消耗元宝
int	int	int	int	int	int	int	int
num	gatherCost	spCost	arenaGold	arenaReputation	arenaItem	buyArenaPVE	buyChallengeCopy
1	2	10	2400000	5000	20021	2	20
2	2	10	2200000	3000	20012	2	20
3	2	20	2000000	2000	20012	4	20
4	4	20	1800000	1000	20012	4	20
5	4	40	1600000	950	20012	8	20
6	8	40	1400000	900	20012	8	20
7	8	100	1200000	850	20012	10	20
8	10	100	1000000	800	20012	10	20
9	10	100	800000	750	20012	10	20
10	10	200	780000	700	20012	10	20
11	10	200	760000	650	0	10	20
12	10	400	740000	600	0	10	20
13	10	400	720000	550	0	10	
14	10		700000	500	0	10	
15	10		680000	480	0	10	
16	10		660000	460	0	10	
17	10		640000	440	0	10	
18	10		620000	420	0	10	
19	10		600000	400	0	10	
20	10		580000	380	0	10	
21	10		560000	370	0	10	
22	10		540000	360	0	10	
23	10		520000	350	0	10	
24	10		500000	340	0	10	
25	10		480000	330	0	10	
26	10		460000	320	0	10	
27	10		440000	310	0	10	
28	10		420000	300	0	10	
29	10		400000	290	0	10	
30	10		380000	280	0	10	
31	10		375000	278	0	10	
32	10		370000	276	0	10	
33	10		365000	274	0	10	
34	10		360000	272	0	10	
35	10		355000	270	0	10	
36	10		350000	268	0	10	
37	10		345000	266	0	10	
38	10		340000	264	0	10	
39	10		335000	262	0	10	
40	10		330000	260	0	10	
41	10		325000	258	0	10	
42	10		320000	256	0	10	
43	10		315000	254	0	10	
44	10		310000	252	0	10	
45	10		305000	250	0	10	
46	10		300000	248	0	10	
47	10		295000	246	0	10	
48	10		290000	244	0	10	
49	10		285000	242	0	10	
50	10		280000	240	0	10	
51	10		279800	238	0	10	
52	10		279600	236	0	10	
53	10		279400	234	0	10	
54	10		279200	232	0	10	
55	10		279000	230	0	10	
56	10		278800	228	0	10	
57	10		278600	226	0	10	
58	10		278400	224	0	10	
59	10		278200	222	0	10	
60	10		278000	220	0	10	
61	10		277800	218	0	10	
62	10		277600	216	0	10	
63	10		277400	214	0	10	
64	10		277200	212	0	10	
65	10		277000	210	0	10	
66	10		276800	208	0	10	
67	10		276600	206	0	10	
68	10		276400	204	0	10	
69	10		276200	202	0	10	
70	10		276000	200	0	10	
71	10		275800	198	0	10	
72	10		275600	196	0	10	
73	10		275400	194	0	10	
74	10		275200	192	0	10	
75	10		275000	190	0	10	
76	10		274800	188	0	10	
77	10		274600	186	0	10	
78	10		274400	184	0	10	
79	10		274200	182	0	10	
80	10		274000	180	0	10	
81	10		273800	179	0	10	
82	10		273600	178	0	10	
83	10		273400	177	0	10	
84	10		273200	176	0	10	
85	10		273000	175	0	10	
86	10		272800	174	0	10	
87	10		272600	173	0	10	
88	10		272400	172	0	10	
89	10		272200	171	0	10	
90	10		272000	170	0	10	
91	10		271800	169	0	10	
92	10		271600	168	0	10	
93	10		271400	167	0	10	
94	10		271200	166	0	10	
95	10		271000	165	0	10	
96	10		270800	164	0	10	
97	10		270600	163	0	10	
98	10		270400	162	0	10	
99	10		270200	161	0	10	
100	10		270000	160	0	10	
101	10		269800	159	0	10	
102	10		269600	158	0	10	
103	10		269400	157	0	10	
104	10		269200	156	0	10	
105	10		269000	155	0	10	
106	10		268800	154	0	10	
107	10		268600	153	0	10	
108	10		268400	152	0	10	
109	10		268200	151	0	10	
110	10		268000	150	0	10	
111			267800	149	0	10	
112			267600	148	0	10	
113			267400	147	0	10	
114			267200	146	0	10	
115			267000	145	0	10	
116			266800	144	0	10	
117			266600	143	0	10	
118			266400	142	0	10	
119			266200	141	0	10	
120			266000	140	0	10	
121			265800	139	0	10	
122			265600	138	0	10	
123			265400	137	0	10	
124			265200	136	0	10	
125			265000	135	0	10	
126			264800	134	0	10	
127			264600	133	0	10	
128			264400	132	0	10	
129			264200	131	0	10	
130			264000	130	0	10	
131			263800	129	0	10	
132			263600	128	0	10	
133			263400	127	0	10	
134			263200	126	0	10	
135			263000	125	0	10	
136			262800	124	0	10	
137			262600	123	0	10	
138			262400	122	0	10	
139			262200	121	0	10	
140			262000	120	0	10	
141			261800	119	0	10	
142			261600	118	0	10	
143			261400	117	0	10	
144			261200	116	0	10	
145			261000	115	0	10	
146			260800	114	0	10	
147			260600	113	0	10	
148			260400	112	0	10	
149			260200	111	0	10	
150			260000	110	0	10	
151			259800	109	0	10	
152			259600	108	0	10	
153			259400	107	0	10	
154			259200	106	0	10	
155			259000	105	0	10	
156			258800	104	0	10	
157			258600	103	0	10	
158			258400	102	0	10	
159			258200	101	0	10	
160			258000	100	0	10	
161			257800	99	0	10	
162			257600	98	0	10	
163			257400	97	0	10	
