技能索引	类型	技能树上的显示位置	动画资源名	图标	天赋名称	职业所属	等级	升级所需等级	所需金币	材料1	材料1数量	材料2	材料2数量	降低冷却	增加物理伤害比例	增加魔法伤害比例	增加物理固定伤害	增加魔法固定伤害	增加物理暴击值	增加魔法暴击值	增加命中值	附加BUFF	技能消耗能量	技能说明	附加效果描述	增加生命	增加物理攻击	增加物理防御	增加魔法攻击	增加魔法防御	增加物理抗暴击	增加魔法抗暴击	增加物理暴击	增加魔法暴击	增加格挡率	增加格挡值	增加命中率	血球回复率
skill_idx	type	position	actId	icon	name	occup	level	levellimit	gold	item	item_num	item2	item2_num	reduce_cd	add_phy_percent	add_mag_percent	add_phy_fix_dmg	add_mag_fix_dmg	add_phycritical	add_magcritical	add_hit	buff	reduce_mp	describe	effect_describe	hp	atk	def	magic	magicDef	atkResistance	magicResistance	atkCrit	magicCrit	blockRate	blockData	hits	HPReply
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击.		0	0	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	1	2	0	71000001	2	72000001	1	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]4[txt:size=18 color=white]点。		0	4	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	2	2	0	71000001	3	72000001	2	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]10[txt:size=18 color=white]点。		0	10	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	3	2	0	71000001	4	72000001	2	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]18[txt:size=18 color=white]点。		0	18	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	4	2	0	71000001	5	72000001	3	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]29[txt:size=18 color=white]点。		0	29	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	5	2	0	71000001	6	72000001	4	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]42[txt:size=18 color=white]点。		0	42	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	6	6	0	71000001	7	72000001	4	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]58[txt:size=18 color=white]点。		0	58	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	7	7	0	71000001	8	72000001	5	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]76[txt:size=18 color=white]点。		0	76	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	8	8	0	71000001	9	72000001	5	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]97[txt:size=18 color=white]点。		0	97	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	9	9	0	71000001	10	72000001	6	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]121[txt:size=18 color=white]点。		0	121	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	10	10	0	71000001	11	72000001	7	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]148[txt:size=18 color=white]点。		0	148	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	11	11	0	71000001	12	72000001	7	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]177[txt:size=18 color=white]点。		0	177	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	12	12	0	71000001	13	72000001	8	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]209[txt:size=18 color=white]点。		0	209	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	13	13	0	71000001	14	72000001	9	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]244[txt:size=18 color=white]点。		0	244	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	14	14	0	71000001	15	72000001	9	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]282[txt:size=18 color=white]点。		0	282	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	15	15	0	71000001	16	72000001	10	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]323[txt:size=18 color=white]点。		0	323	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	16	16	0	71000001	17	72000001	10	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]366[txt:size=18 color=white]点。		0	366	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	17	17	0	71000001	18	72000001	11	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]412[txt:size=18 color=white]点。		0	412	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	18	18	0	71000001	19	72000001	12	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]462[txt:size=18 color=white]点。		0	462	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	19	19	0	71000001	20	72000001	12	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]514[txt:size=18 color=white]点。		0	514	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	20	20	0	71000001	21	72000001	13	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]569[txt:size=18 color=white]点。		0	569	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	21	21	0	72000001	13	73000001	7	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]627[txt:size=18 color=white]点。		0	627	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	22	22	0	72000001	14	73000001	7	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]687[txt:size=18 color=white]点。		0	687	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	23	23	0	72000001	15	73000001	8	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]751[txt:size=18 color=white]点。		0	751	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	24	24	0	72000001	15	73000001	8	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]818[txt:size=18 color=white]点。		0	818	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	25	25	0	72000001	16	73000001	8	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]887[txt:size=18 color=white]点。		0	887	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	26	26	0	72000001	17	73000001	9	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]960[txt:size=18 color=white]点。		0	960	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	27	27	0	72000001	17	73000001	9	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]1036[txt:size=18 color=white]点。		0	1036	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	28	28	0	72000001	18	73000001	9	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]1114[txt:size=18 color=white]点。		0	1114	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	29	29	0	72000001	18	73000001	10	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]1196[txt:size=18 color=white]点。		0	1196	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	30	30	0	72000001	19	73000001	10	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]1280[txt:size=18 color=white]点。		0	1280	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	31	31	0	72000001	20	73000001	10	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]1368[txt:size=18 color=white]点。		0	1368	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	32	32	0	72000001	20	73000001	11	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]1458[txt:size=18 color=white]点。		0	1458	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	33	33	0	72000001	21	73000001	11	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]1552[txt:size=18 color=white]点。		0	1552	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	34	34	0	72000001	21	73000001	11	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]1649[txt:size=18 color=white]点。		0	1649	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	35	35	0	72000001	22	73000001	11	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]1748[txt:size=18 color=white]点。		0	1748	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	36	36	0	72000001	23	73000001	12	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]1851[txt:size=18 color=white]点。		0	1851	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	37	37	0	72000001	23	73000001	12	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]1957[txt:size=18 color=white]点。		0	1957	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	38	38	0	72000001	24	73000001	12	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]2066[txt:size=18 color=white]点。		0	2066	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	39	39	0	72000001	25	73000001	13	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]2178[txt:size=18 color=white]点。		0	2178	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	40	40	0	72000001	25	73000001	13	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]2293[txt:size=18 color=white]点。		0	2293	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	41	41	0	73000001	14	74000001	9	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]2411[txt:size=18 color=white]点。		0	2411	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	42	42	0	73000001	14	74000001	9	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]2532[txt:size=18 color=white]点。		0	2532	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	43	43	0	73000001	15	74000001	10	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]2656[txt:size=18 color=white]点。		0	2656	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	44	44	0	73000001	16	74000001	10	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]2783[txt:size=18 color=white]点。		0	2783	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	45	45	0	73000001	16	74000001	11	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]2914[txt:size=18 color=white]点。		0	2914	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	46	46	0	73000001	17	74000001	11	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]3047[txt:size=18 color=white]点。		0	3047	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	47	47	0	73000001	17	74000001	12	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]3184[txt:size=18 color=white]点。		0	3184	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	48	48	0	73000001	18	74000001	12	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]3324[txt:size=18 color=white]点。		0	3324	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	49	49	0	73000001	19	74000001	12	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]3466[txt:size=18 color=white]点。		0	3466	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	50	50	0	73000001	19	74000001	13	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]3612[txt:size=18 color=white]点。		0	3612	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	51	51	0	73000001	20	74000001	13	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]3762[txt:size=18 color=white]点。		0	3762	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	52	52	0	73000001	21	74000001	14	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]3914[txt:size=18 color=white]点。		0	3914	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	53	53	0	73000001	21	74000001	14	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]4069[txt:size=18 color=white]点。		0	4069	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	54	54	0	73000001	22	74000001	14	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]4228[txt:size=18 color=white]点。		0	4228	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	55	55	0	73000001	22	74000001	15	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]4390[txt:size=18 color=white]点。		0	4390	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	56	56	0	73000001	23	74000001	15	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]4555[txt:size=18 color=white]点。		0	4555	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	57	57	0	73000001	24	74000001	16	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]4723[txt:size=18 color=white]点。		0	4723	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	58	58	0	73000001	24	74000001	16	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]4894[txt:size=18 color=white]点。		0	4894	0	0	0	0	0	0	0	0	0	0	0
10101	2	1	0	item_skill_6008.png	勇气恩赐	10	59	59	0	73000001	25	74000001	16	0	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]增加角色物理攻击力[txt:size=18 color=green]5068[txt:size=18 color=white]点。		0	5068	0	0	0	0	0	0	0	0	0	0	0
