id	功能点	起始次数	结束次数	价格类型	价格值
id	type	start	stop	money_tpye	number
101	1	1	3	0	5
102	1	4	5	0	10
103	1	6	7	0	10
104	1	8	9	0	10
105	1	10	12	0	15
106	1	13	16	0	15
107	1	17	25	0	15
108	1	26	40	0	20
109	1	41	80	0	50
110	1	81	99999	0	100
200	2	1	1	1	0
201	2	2	3	1	10
202	2	4	5	1	15
203	2	6	7	1	20
204	2	8	9	1	25
205	2	10	12	1	30
206	2	13	16	1	100
207	2	17	99999	1	300
301	3	1	3	0	10
302	3	4	5	0	20
303	3	6	7	0	30
304	3	8	9	0	40
305	3	10	12	0	50
306	3	13	16	0	60
307	3	17	20	0	80
308	3	21	24	0	100
309	3	25	29	0	150
310	3	30	34	0	200
311	3	35	45	0	250
312	3	46	99999	0	500
400	4	1	10	0	10
401	4	11	20	0	20
402	4	21	30	0	30
403	4	31	50	0	50
404	4	51	100	0	100
405	4	101	150	0	200
406	4	151	200	0	300
407	4	201	99999	0	1000
501	5	1	2	0	50
502	5	3	4	0	100
503	5	5	6	0	150
504	5	7	7	0	200
505	5	8	8	0	250
506	5	9	9	0	300
507	5	10	10	0	350
508	5	11	11	0	400
509	5	12	12	0	450
510	5	13	13	0	500
511	5	14	14	0	550
512	5	15	15	0	600
600	6	1	1	0	0
601	6	2	2	0	50
602	6	3	5	0	100
603	6	6	10	0	400
604	6	11	99999	0	1000
605	6	1	1	0	0
700	7	1	10	0	5
701	7	11	20	0	10
702	7	21	30	0	10
703	7	31	50	0	15
704	7	51	60	0	15
705	7	61	70	0	15
706	7	71	80	0	20
707	7	81	90	0	20
708	7	91	100	0	20
709	7	101	110	0	25
710	7	111	120	0	25
711	7	121	130	0	30
712	7	131	140	0	30
713	7	141	150	0	35
714	7	151	160	0	35
715	7	161	170	0	40
716	7	171	180	0	40
717	7	181	200	0	45
718	7	201	220	0	45
719	7	221	240	0	50
801	11	1	20	0	10
802	11	21	40	0	12
803	11	41	60	0	15
804	11	61	80	0	20
805	11	81	100	0	25
806	11	101	140	0	30
807	11	141	200	0	40
808	11	201	300	0	50
809	11	301	500	0	100
810	11	501	99999	0	500
811	9	1	1	2	2000
812	10	1	1	2	1000
901	8	1	3	0	10
902	8	4	5	0	10
903	8	6	7	0	10
904	8	8	9	0	10
905	8	10	12	0	10
906	8	13	16	0	10
907	8	17	25	0	10
908	8	26	40	0	10
909	8	41	80	0	10
910	8	81	99999	0	10
