唯一ID	对应ID	卡牌ID	类型	限时	具体持续时间	活动概率	活动描述
ID	equal_ID	card_ID	type	limit	time	probability_up	description
1	84	52302	1	2016/8/13	1440	0.00025	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第1日招募活动。
2	84	52302	1	2016/8/14	1440	0.00025	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第2日招募活动。
3	84	52302	1	2016/8/15	1440	0.00025	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第3日招募活动。
4	84	52302	1	2016/8/16	1440	0.00025	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第4日招募活动。
5	84	52302	1	2016/8/17	1440	0.00025	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第5日招募活动。
6	84	52302	1	2016/8/18	1440	0.00025	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第6日招募活动。
7	84	52302	1	2016/8/19	1440	0.00025	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是最后一日招募活动。
8	82	52302	2	2016/8/13	1440	0.00075	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第1日招募活动。
9	82	52302	2	2016/8/14	1440	0.00075	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第2日招募活动。
10	82	52302	2	2016/8/15	1440	0.00075	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第3日招募活动。
11	82	52302	2	2016/8/16	1440	0.00075	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第4日招募活动。
12	82	52302	2	2016/8/17	1440	0.00075	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第5日招募活动。
13	82	52302	2	2016/8/18	1440	0.00075	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是第6日招募活动。
14	82	52302	2	2016/8/19	1440	0.00075	荣耀机械大师“万物绝”上线，限时7日招募，活动过后探员将无法招募到，今天是最后一日招募活动。
15	30	42203	1	2016/8/6	1440	0.03	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第1日。
16	30	42203	1	2016/8/7	1440	0.03	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第2日。
17	30	42203	1	2016/8/8	1440	0.03	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第3日。
18	30	42203	1	2016/8/9	1440	0.03	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第4日。
19	30	42203	1	2016/8/10	1440	0.03	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第5日。
20	30	42203	1	2016/8/11	1440	0.03	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第6日。
21	30	42203	1	2016/8/12	1440	0.03	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是最后1日。
22	17	42203	2	2016/8/6	1440	0.059	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第1日。
23	17	42203	2	2016/8/7	1440	0.059	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第2日。
24	17	42203	2	2016/8/8	1440	0.059	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第3日。
25	17	42203	2	2016/8/9	1440	0.059	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第4日。
26	17	42203	2	2016/8/10	1440	0.059	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第5日。
27	17	42203	2	2016/8/11	1440	0.059	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是第6日。
28	17	42203	2	2016/8/12	1440	0.059	庆祝游戏首次不删档测试，“全清晰”卡牌限时7日提高招募概率。今天是最后1日。
29	84	52302	1	2016/8/20	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第1日招募活动。
30	84	52302	1	2016/8/21	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第2日招募活动。
31	84	52302	1	2016/8/22	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第3日招募活动。
32	84	52302	1	2016/8/23	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第4日招募活动。
33	84	52302	1	2016/8/24	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第5日招募活动。
34	84	52302	1	2016/8/25	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第6日招募活动。
35	84	52302	1	2016/8/26	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第7日招募活动。
36	84	52302	1	2016/8/27	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第8日招募活动。
37	84	52302	1	2016/8/28	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第9日招募活动。
38	84	52302	1	2016/8/29	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第10日招募活动。
39	84	52302	1	2016/8/30	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第11日招募活动。
40	84	52302	1	2016/8/31	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第12日招募活动。
41	84	52302	1	2016/9/1	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第13日招募活动。
42	84	52302	1	2016/9/2	1440	0.00025	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是最后一日招募活动。
43	82	52302	1	2016/8/20	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第1日招募活动。
44	82	52302	1	2016/8/21	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第2日招募活动。
45	82	52302	1	2016/8/22	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第3日招募活动。
46	82	52302	1	2016/8/23	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第4日招募活动。
47	82	52302	1	2016/8/24	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第5日招募活动。
48	82	52302	1	2016/8/25	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第6日招募活动。
49	82	52302	1	2016/8/26	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第7日招募活动。
50	82	52302	1	2016/8/27	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第8日招募活动。
51	82	52302	1	2016/8/28	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第9日招募活动。
52	82	52302	1	2016/8/29	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第10日招募活动。
53	82	52302	1	2016/8/30	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第11日招募活动。
54	82	52302	1	2016/8/31	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第12日招募活动。
55	82	52302	1	2016/9/1	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是第13日招募活动。
56	82	52302	1	2016/9/2	1440	0.00075	因为心疼宝宝，特此将机械大师“万物绝”限时招募活动延迟14日，活动过后普通探员将无法招募到，今天是最后一日招募活动。
