表ID	职业	等级	生命值	法力值	物理攻击	物理防御	魔法攻击	魔法防御	物理抗暴击	魔法抗暴击	闪避率	物理暴击	魔法暴击	格挡率	格挡值	命中率	血球回复率	魔法回复率	经验	级别累计经验
ID	occup	level	hp	mp	atk	def	magic	magicDef	atkResistance	magicResistance	dodgeRate	atkCrit	magicCrit	blockRate	blockData	hits	HPReply	MPReplyRate	exp	accExp
10001	10	1	200	200	20	10	0	10	10	10	500	10	0	10	8000	10	10	100	230	230
10002	10	2	600	200	60	30	0	30	30	30	500	30	0	30	8000	30	30	100	310	540
10003	10	3	900	200	90	45	0	45	45	45	500	45	0	45	8000	45	45	100	390	930
10004	10	4	1200	200	120	60	0	60	60	60	500	60	0	60	8000	60	60	100	470	1400
10005	10	5	1500	200	150	75	0	75	75	75	500	75	0	75	8000	75	75	100	550	1950
10006	10	6	1800	200	180	90	0	90	90	90	500	90	0	90	8000	90	90	100	700	2650
10007	10	7	2100	200	210	105	0	105	105	105	500	105	0	105	8000	105	105	100	860	3510
10008	10	8	2400	200	240	120	0	120	120	120	500	120	0	120	8000	120	120	100	1020	4530
10009	10	9	2700	200	270	135	0	135	135	135	500	135	0	135	8000	135	135	100	1170	5700
10010	10	10	3000	200	300	150	0	150	150	150	500	150	0	150	8000	150	150	100	1330	7030
10011	10	11	3300	200	330	165	0	165	165	165	500	165	0	165	8000	165	165	100	1570	8600
10012	10	12	3600	200	360	180	0	180	180	180	500	180	0	180	8000	180	180	100	1800	10400
10013	10	13	3900	200	390	195	0	195	195	195	500	195	0	195	8000	195	195	100	2040	12440
10014	10	14	4200	200	420	210	0	210	210	210	500	210	0	210	8000	210	210	100	2270	14710
10015	10	15	4500	200	450	225	0	225	225	225	500	225	0	225	8000	225	225	100	2510	17220
10016	10	16	4800	200	480	240	0	240	240	240	500	240	0	240	8000	240	240	100	2740	19960
10017	10	17	5100	200	510	255	0	255	255	255	500	255	0	255	8000	255	255	100	2980	22940
10018	10	18	5400	200	540	270	0	270	270	270	500	270	0	270	8000	270	270	100	3210	26150
10019	10	19	5700	200	570	285	0	285	285	285	500	285	0	285	8000	285	285	100	3450	29600
10020	10	20	6000	200	600	300	0	300	300	300	500	300	0	300	8000	300	300	100	3680	33280
10021	10	21	6300	200	630	315	0	315	315	315	500	315	0	315	8000	315	315	100	3920	37200
10022	10	22	6600	200	660	330	0	330	330	330	500	330	0	330	8000	330	330	100	4150	41350
10023	10	23	6900	200	690	345	0	345	345	345	500	345	0	345	8000	345	345	100	4390	45740
10024	10	24	7200	200	720	360	0	360	360	360	500	360	0	360	8000	360	360	100	4620	50360
10025	10	25	7500	200	750	375	0	375	375	375	500	375	0	375	8000	375	375	100	4860	55220
10026	10	26	7800	200	780	390	0	390	390	390	500	390	0	390	8000	390	390	100	5090	60310
10027	10	27	8100	200	810	405	0	405	405	405	500	405	0	405	8000	405	405	100	5330	65640
10028	10	28	8400	200	840	420	0	420	420	420	500	420	0	420	8000	420	420	100	5560	71200
10029	10	29	8700	200	870	435	0	435	435	435	500	435	0	435	8000	435	435	100	5800	77000
10030	10	30	9000	200	900	450	0	450	450	450	500	450	0	450	8000	450	450	100	6030	83030
10031	10	31	9300	200	930	465	0	465	465	465	500	465	0	465	8000	465	465	100	7830	90860
10032	10	32	9600	200	960	480	0	480	480	480	500	480	0	480	8000	480	480	100	11750	102610
10033	10	33	9900	200	990	495	0	495	495	495	500	495	0	495	8000	495	495	100	15660	118270
10034	10	34	10200	200	1020	510	0	510	510	510	500	510	0	510	8000	510	510	100	19580	137850
10035	10	35	10500	200	1050	525	0	525	525	525	500	525	0	525	8000	525	525	100	23500	161350
10036	10	36	10800	200	1080	540	0	540	540	540	500	540	0	540	8000	540	540	100	27410	188760
10037	10	37	11100	200	1110	555	0	555	555	555	500	555	0	555	8000	555	555	100	31330	220090
10038	10	38	11400	200	1140	570	0	570	570	570	500	570	0	570	8000	570	570	100	35240	255330
