碎片id	对应卡牌id	碎片名字
splinter_id	card_id	name
113	113	妾莫哭
11007	11007	花中行
21202	21202	极昼极夜
32104	32104	花下绿
32202	32202	深林疑人
31304	31304	白如霜
31002	31002	河木
41003	41003	天罡剑
51005	51005	寂寞无言
51006	51006	潭剑
21302	21302	伤怨刀
21102	21102	蓝狂
41103	41103	又眠一冬
41104	41104	踏破星辰
41203	41203	神雕
41204	41204	四君子
41205	41205	思发银
51206	51206	哭神破天
21303	21303	银白色
41305	41305	昼无明月
41306	41306	梅米特
41004	41004	流云
51307	51307	银潢
12002	12002	蔷薇绕枝
12003	12003	迎风回浪
22004	22004	垂杨蘸绿
32005	32005	拂枪
42006	42006	瞿雾施
52008	52008	沐雪烟雨
42007	42007	半遮挡
12102	12102	血污天使
42106	42106	时间无痕
42107	42107	欲盖而彰
42108	42108	零下十度
42105	42105	倾刻回眸
52110	52110	漫步平地
42109	42109	佛尔本
42203	42203	全清晰
42204	42204	炮火连天
52205	52205	千叶纷飞
22103	22103	悔不觉
53002	53002	孤漠如雪
43102	43102	包子
53103	53103	浪打枯杨
43202	43202	气吞山河
53203	53203	天无极
54002	54002	一叶知秋
44003	44003	冷雾柔
54102	54102	鸳飘霜飒
54103	54103	花时天醉
54302	54302	老头蓝子
55002	55002	江水腾
56102	56102	米歇克尔
1000	1000	紫色万能碎片
2000	2000	橙色万能碎片
52302	52302	万物绝
