任务ID	前置ID	任务名称	任务类型	场景ID	任务方式	任务条件1	任务条件2	等级	最高等级	职业	是否自动接取	是否可放弃	接任务NPC	交任务NPC	接任务对话	交任务对话	任务描述	完成奖励金钱	完成奖励钻石	完成奖励经验	完成奖励体力	完成奖励物品	完成奖励卡牌	奖励武器
id	previd	name	type	sceneid	method	condition1	condition2	level	maxlevel	occup	autotask	canDrop	recvId	submitId	recvDialog	submitDialog	describe	submitGold	submitDiamond	submitExp	submitPhysical	submitItems	submitCards	submitArms
10001001	0	世界征服者	1	1004	1	1004	0	2	999	0	0	0	0	0	0	0	通关亚诺森林【关卡4】	0	0	1000	0		11007:1;21099:1	11007:41101007:0
10001002	10001001	世界征服者	1	1008	1	1008	0	2	999	0	0	0	0	0	0	0	通关亚诺森林【关卡8】	0	0	500	0	71000001:150:0:0:0;72000001:80:0:0:0;		
10001003	10001002	世界征服者	1	1012	1	1012	0	2	999	0	0	0	0	0	0	0	通关亚诺森林【关卡12】	0	0	500	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001004	10001003	世界征服者	1	1016	1	1016	0	2	999	0	0	0	0	0	0	0	通关亚诺森林【关卡16】	0	0	500	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001005	10001004	世界征服者	1	1020	1	1020	0	2	999	0	0	0	0	0	0	0	通关亚诺森林【关卡20】	0	0	500	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001006	10001005	世界征服者	1	1024	1	1024	0	2	999	0	0	0	0	0	0	0	通关冷寂之窟【关卡24】	0	0	500	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001007	10001006	世界征服者	1	1028	1	1028	0	2	999	0	0	0	0	0	0	0	通关冷寂之窟【关卡28】	0	0	800	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001008	10001007	世界征服者	1	1032	1	1032	0	2	999	0	0	0	0	0	0	0	通关冷寂之窟【关卡32】	0	0	800	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001009	10001008	世界征服者	1	1036	1	1036	0	2	999	0	0	0	0	0	0	0	通关冷寂之窟【关卡36】	0	0	800	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001010	10001009	世界征服者	1	1040	1	1040	0	2	999	0	0	0	0	0	0	0	通关冷寂之窟【关卡40】	0	0	800	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001011	10001010	世界征服者	1	1044	1	1044	0	2	999	0	0	0	0	0	0	0	通关游魂墓地【关卡44】	0	0	800	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001012	10001011	世界征服者	1	1048	1	1048	0	2	999	0	0	0	0	0	0	0	通关游魂墓地【关卡48】	0	0	800	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001013	10001012	世界征服者	1	1052	1	1052	0	2	999	0	0	0	0	0	0	0	通关游魂墓地【关卡52】	5000	0	0	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001014	10001013	世界征服者	1	1056	1	1056	0	2	999	0	0	0	0	0	0	0	通关游魂墓地【关卡56】	5000	0	0	0	71000001:75:0:0:0;72000001:40:0:0:0;		
10001015	10001014	世界征服者	1	1058	1	1058	0	2	999	0	0	0	0	0	0	0	通关游魂墓地【关卡58】	5000	0	0	0	71000001:75:0:0:0;72000001:40:0:0:0;		
