ID	内容	持续时间
id	content	time
1	小提示：游戏加载需要一点时间，请耐心等候。	2
2	小提示：每个角色都配置了华丽独特的攻击招式。	2
3	小提示：选择合适的队友上阵，能帮助你更好的发挥。	2
4	小提示：武器的培养是增加战力的重要途径。	2
5	小提示：等级提升以后，不要忘了升级你的技能哦！	2
6	小提示：好的装备能够使你变得更强。	2
7	小提示：每天登陆都会赠送惊喜大礼包，不要错过哦！	2
8	小提示：击杀BOSS会掉落高级装备和技能书。	2
9	小提示：充值有惊喜，超值大礼等你拿。	2
10	小提示：发家致富别忘了小伙伴，赶紧给队友装备起来！	2
11	小提示：不想被游戏音效打扰，可在设置里关闭音效。	2
12	小提示：女神说想要银装，木有怎么办，赶紧用图纸造啊！	2
13	小提示：天梯赛打起来，荣耀点数赚回来。	2
14	小提示：想要高级材料和图纸，赶紧去试炼之地溜一圈。	2
15	小技巧：试试在枪炮师使用火力压制的同时进行移动吧！	2
16	小提示：使用枪炮师的加农炮时，是可以长按并蓄力的哟！	2
17	小提示：以不同频率的点击普攻，将使拳法家使出更丰富的招式！	2
18	小提示：成为超级VIP即可购买VIP超值大礼包。	2
19	小提示：VIP等级达到2级即可领取超值黄金大礼包。	2
20	小提示：VIP等级达到10级即可领取超值钻石大礼包。	2
21	小提示：主角等级达到30级即可开启队长更换功能。	2
22	小提示：点击主城内角色头像上方VIP图标，即可购买VIP专属礼包。	2
		
		
		
