ID	内容	权重
id	content	weight
1	发现玩家[PCName]！他好像刚掉落了什么好东西，也许干掉他能有所收获……	500
2	[PCName]也在附近打怪……似乎他很认真，并没注意到你的存在……	500
3	有人似乎一路尾随你……等等不妨跟他打个照面	200
4	玩家[PCName]似乎对你有点不满，在旁边冷眼盯着你，难道是你抢了他的怪？	300
5	周围有点奇怪的动静，小心行事	100
6	[PCName]似乎想要抢你的怪，请不要让他得逞！	200
7	你似乎迷路了……等等不如找个人详细了解一下这周围的情况吧。	200
8	[PCName]鬼鬼祟祟的向前行进似乎没有注意到你的存在，跟上去看看	300
9	突然觉得一阵好强烈的杀气朝你袭来……	100
10	传说中的胖次大盗刚才跳了过去！快追上他！	200
11	你踏入了[PCName]的陷阱！幸好眼疾手快，并没伤到	500
12	[PCName]似乎对您刚刚打下的野图boss掉落的材料很有兴趣……	400
13	竟然有人在光天化日之下调戏妹纸！作为系统提示君的我都快忍不了了！	100
14	你的战斗过于激烈，吵醒了在旁酣睡的[PCName]	200
