卡牌的ID	卡牌资源	说明
ID	soundfile	details
1	music/effect/button_1.mp3	刚进入游戏公告对话框的“我知道了”按钮
2	music/effect/button_1.mp3	选择服务器界面“进入游戏”按钮
3	music/effect/button_1.mp3	选择服务器界面“快速登录”按钮
4	music/effect/button_1.mp3	快速登录界面中的，“注册”按钮
5	music/effect/button_1.mp3	快速登录界面中的，“登录”按钮
6	music/effect/role_change.mp3	创建角色界面左右滑动切换角色时的音效
7	music/effect/button_1.mp3	创建角色界面中，“创建角色”按钮
8	music/effect/button_1.mp3	角色取名界面中的“确定”按钮
9	music/effect/button_1.mp3	创建好角色后选择角色界面“开始游戏”按钮
10	music/effect/button_1.mp3	主城界面点击“招募”icon
11	music/effect/button_1.mp3	主城界面点击“天梯”icon
12	music/effect/button_1.mp3	主城界面点击“挑战赛”icon
13	music/effect/button_1.mp3	主城界面点击“任务”icon
14	music/effect/button_2.mp3	主城界面点击任意NPC都播放此音效
15	music/effect/button_4.mp3	主城界面点击右下角的icon主按钮
16	music/effect/button_1.mp3	主城界面主按钮中的“角色”按钮
17	music/effect/button_1.mp3	主城界面主按钮中的“武器”按钮
18	music/effect/button_1.mp3	主城界面主按钮中的“技能”按钮
19	music/effect/button_1.mp3	主城界面主按钮中的“阵容”按钮
20	music/effect/button_1.mp3	主城界面主按钮中的“训练”按钮
21	music/effect/button_1.mp3	主城界面主按钮中的“邮件”按钮
22	music/effect/button_1.mp3	人物背包界面中点击“装备”页签
23	music/effect/button_1.mp3	人物背包界面中点击“技能”页签
24	music/effect/button_1.mp3	人物背包界面中点击“仓库”页签
25	music/effect/skill_levelup.mp3	人物技能页签中，可以点的橙色“升级”按钮（按钮灰色时不用）
26	music/effect/button_5.mp3	武器强化界面“强化”按钮
27	music/effect/change_card.mp3	武器强化界面滑动卡牌效果音效（每滑动一次播放一次）
28	music/effect/button_5.mp3	武器锻造界面“锻造”按钮
29	music/effect/button_3.mp3	合成装备界面“合成”按钮
30	music/effect/button_1.mp3	阵容界面“组队”页签
31	music/effect/button_1.mp3	阵容界面“详情”页签
32	music/effect/button_1.mp3	阵容界面“技能”页签
33		阵容界面组队页签界面中“加入”按钮
34		阵容界面组队页签界面中“卸下”按钮
35	music/effect/skill_levelup.mp3	阵容界面技能页签界面中选择技能“升级”按钮
36	music/effect/button_3.mp3	训练界面“训练”按钮
37	music/effect/button_3.mp3	突破界面“突破极限”按钮
38	music/effect/equip_levelup.mp3	点击训练成功后，当即播放成功音效
39	music/effect/equip_levelup.mp3	点击突破极限成功后，当即播放的成功音效
40	music/effect/button_1.mp3	俱乐部挑战赛界面点击每个“挑战”按钮
41	music/effect/button_3.mp3	俱乐部挑战赛对阵界面点击“开始战斗”按钮，
42	music/effect/fight_ready.mp3	俱乐部挑战赛点击"挑战"后
43	music/effect/button_3.mp3	俱乐部挑战赛界面点击“刷新”按钮
44	music/effect/button_3.mp3	荣耀天梯界面“寻找对手”按钮
45	music/effect/fight_ready.mp3	荣耀天梯界面“寻找对手”按钮点击后，进入对阵界面当即播放的音效
46	music/effect/button_3.mp3	天梯对阵界面 “开始战斗” 按钮
47	music/effect/button_1.mp3	招募界面“派出普通探员”按钮
48	music/effect/button_1.mp3	招募界面“派出高级探员”按钮
49	music/effect/button_3.mp3	招募界面“派出普通探员”按钮->>“购买一次”，按钮
50	music/effect/button_1.mp3	招募界面“派出高级探员”按钮->>“购买一次”按钮
51	music/effect/button_1.mp3	招募界面“派出高级探员”按钮->>“购买10次”按钮
52	music/effect/coin_cost.mp3	招募界面花掉金币的“购买一次”按钮点击后，随即播放该金币消费音效
53	music/effect/diamond_cost.mp3	招募界面花掉钻石的“购买一次”按钮点击后，随即播放该钻石消费音效
54	music/effect/spread_card.mp3	抽卡时出现卡牌当即音效
55	music/effect/rare_card.mp3	抽卡时出现稀有卡当即音效
56	music/effect/spread_card.mp3	十连抽，每张卡出现都出音效
57	music/effect/button_1.mp3	关卡地图选关界面点击关卡，“扫荡”按钮
58	music/effect/button_1.mp3	关卡地图选关界面点击关卡，“挑战”按钮
59	music/effect/experience_bar.mp3	战斗场景中，战斗胜利的结算同时，经验条走动当即播放音效
60	music/effect/balance.mp3	战斗场景中，战斗胜利的结算同时，金币数值跳动同时播放音效
61	music/effect/turn_on_card.mp3	战斗场景中，结算后翻牌，点击牌音效
62	music/effect/level_up.mp3	任何界面中，翅膀人物升级特效当即播放
63	music/effect/victory.mp3	战斗胜利时随即播放此音乐，不需循环。
64	music/effect/defeat.mp3	战斗失败时随即播放次音乐，同63战斗胜利
65	music/effect/relaxation.mp3	在胜利音效victory.mp3 播放结束后即刻 播放relaxation.mp3播放此音乐为一直循环的，直到跳转到其他界面。
66	music/effect/button_1.mp3	主城->任务界面->点击日常或者主线界面中的 "前往"按钮
67	music/effect/skill_levelup.mp3	主城->任务界面->点击日常或者主线界面中的 "可领取"按钮
68	music/effect/fight.mp3	"天梯和挑战赛战斗场景界面,配合显示fight的时候播放"
69	music/effect/turn_card.mp3	"阵容界面,点击按住卡牌即播放(从队伍中点击按住或者从下面一排的卡牌中点击按住都用这个音效)"
70	music/effect/vip_draw_cards.mp3	"抽卡界面,VIP抽卡无论是抽一次,或者十连抽,点击后出现出卡特效即播放此段音效"
