物品ID	物品图标	掉落模型	物品名字	物品类型名称	物品介绍	限制等级	职业限制	物品品质	物品类型	装备部件	打孔器位置	熔炼值	消耗类型	消耗数值	使用CD	购买货币	购买价格	出售价格	最大叠加数	是否可强化	打孔类型	是否可打孔	增加类型1	增加数值1	增加类型2	增加数值2	礼包物品	触发任务ID	装备外观	来源	最小物理攻击	最大物理攻击	最小物理防御	最大物理防御	最小魔法攻击	最大魔法攻击	最小魔法防御	最大魔法防御	最小生命值	最大生命值	最小物理暴击	最大物理暴击	最小魔法暴击	最大魔法暴击	最小物理抗暴击	最大物理抗暴击	最小魔法抗暴击	最大魔法抗暴击	最小格挡率	最大格挡率	最小闪避率	最大闪避率	最小魔法回复率	最大魔法回复率	最小格挡值	最大格挡值	最小命中率	最大命中率	最小血球回复率	最大血球回复率
id	icon	dropicon	name	classname	describe	level	occup	quality	itemType	equipPart	location	fusion	consumeType	consumeValue	cd	coinType	buyPrice	sellPrice	overLap	canStrengthen	punchtype	canPunch	affectType1	affectValue1	affectType2	affectValue2	items	taskID	equipRes	Source	minAtk	maxAtk	minDef	maxDef	minMagic	maxMagic	minMagicDef	maxMagicDef	minHP	maxHP	minAtkCrit	maxAtkCrit	minMagicCrit	maxMagicCrit	minAtkResistance	maxAtkResistance	minMagicResistance	maxMagicResistance	minBlockRate	maxBlockRate	minDodgeRate	maxDodgeRate	minMPReplyRate	maxMPReplyRate	minBlockData	maxBlockData	minHits	maxHits	minHPReply	maxHPReply
1	item_gold_02.png		金币	资源	金币，所有人都需要它。虽然它不是万能的，但没有它却万万不能。	0	0	4	11	0			0	0	0	0	0	0	0	0			0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	item_diamond_02.png		钻石	资源	一种稀有的宝石，一些人愿意出大价钱来换取它。	0	0	4	11	0			0	0	0	0	0	0	0	0			0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	item_physical_02.png		体力	资源	做任何事情都要消耗体力。	0	0	0	11	0			0	0	0	0	0	0	0	0			0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	exp.png		经验	资源	经验决定等级，因此它总是越多越好。	0	0	0	11	0			0	0	0	0	0	0	0	0			0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	item_number_00.png		荣耀点	资源	这是给在天梯中获得优胜的强者的奖励。	0	0	0	11	0			0	0	0	0	0	0	0	0			0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	exp.png		VIP点数	资源		0	0	0	11	0			0	0	0	0	0	0	0	0			0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000001	item_package_01.png		紫色碎片礼包	礼包	打开后随机获得1枚紫色品质的卡牌碎片。	1	0	4	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20001:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000002	item_package_01.png		橙色碎片礼包	礼包	打开后随机获得1枚橙色品质的卡牌碎片。	1	0	5	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20002:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000003	item_package_01.png		绿色图纸礼包	礼包	打开后随机获得一张绿色武器锻造图纸。	1	0	1	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20003:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20000004	item_package_01.png		蓝色图纸礼包	礼包	打开后随机获得一张蓝色武器锻造图纸。	1	0	2	2	0			0	0	0	0	0	1000	999	0			0	0	0	0	20004:1:0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
