场景ID	场景类型	对应副本ID	开放需求	场景名称	场景介绍	场景名称图片	场景小标题	消耗体力	副本显示物品列表	小怪掉落列表	小怪掉落数量最大限制	小怪概率	boss掉落列表	boss掉落数量限制	boss掉落概率	隐藏boss掉落列表	隐藏boss掉落数量限制	隐藏boss掉落概率	金币掉落数量	金币图标	单个图标数量	翻牌奖励1列表	翻牌奖励2列表	经验奖励	场景地图资源	地图图标	怪物半身像	复活方式	复活坐标X	复活坐标Y	复活朝向	复活倒计时	最低进入等级	最高进入等级	宝石孔位	洗练属性	是否携带小伙伴进入	公共副本	每日限制进入次数	通关次数限制	开启时间	关闭时间	背景音乐	特殊限制	角色尾巴类型	主角阴影类型	怪物阴影类型	场景天气特效	神秘商店出现几率	预防作弊	怪物数量	关卡脚本	大关卡	隐藏关卡进入条件	怪物动画1	缩放1	怪物动画2	缩放2	怪物动画3	缩放3	速度修正比	是否创建炫纹
id	type	ectypeid	tollgateid	name	describe	namepic	subtitle	physicalNeed	itemshow	monster_drop_list	monster_drop_count	monster_probability	boss_drop_list1	boss_drop_count1	boss_probability1	boss_drop_list2	boss_drop_count2	boss_probability2	gold_drop	gold_icon	gold_number	items1	items2	exp	sceneRes	iconRes	bossIcon	reviveType	reviveX	reviveY	reviveDir	reviveTime	minLevel	maxLevel	DropGemMax	DropWashMax	allowTeam	commonCopy	enterLimit	count	openTime	closeTime	music		view_type	leadshadow_type	monstershadow_type	weather	mystery_shop	cheat	quantity	script	bossscene	Concealtollgateid	ani1	scale1	ani2	scale2	ani3	scale3	speed_coefficient	isCreatDazzle
1	1	0	0	新手村	玩家出生点																				zhucheng	0	0	0	240	120	0	0	1	100	0	0	1						main_city.mp3	0	0	0	0					city_1			 						1.2	
2	1	0	0	新手村	玩家出生点																				zhucheng	0	0	0	240	120	0	0	1	100	0	0	1						main_city.mp3	0	0	0	0					city_2			 						1.2	
1001	2	1	0	关卡1	一群暴躁的哥布林把守着格林之森入口，想顺利进入森林必须先消灭它们。 	font_1.png	第1关	5	30000007;72000001;	71000001:50:1;72000001:30:1;30000001:10:1;30000002:10:1;	4:10000;	100							500	drop_money.png	2	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	400	1_1_senlin	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0		100101	4	copy_1001					monster_001_idle_naked	0.81			1	
1002	2	1	1001	关卡2	踏入亚诺森林后，惊动了不少哥布林，它们不怀好意地涌来。勇往直前吧！区区哥布林只是冲击天空之城的过客而已！	font_1.png	第2关	5	30000007;71000001;	71000001:10:1;30000003:10:1;30000004:10:1;10000004:1:1;	4:10000;	100							1000	drop_money.png	2	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	500	1_2_senlin	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0		100201	27	copy_1002			monster_001_idle_naked	0.9	monster_007_idle	0.9	monster_018_idle	0.9	1	
1003	2	1	1002	关卡3	哥布林精英小队出动，据说它们可不是好惹的！	font_1.png	第3关	5	72000001;41002001;	72000001:5:1;30000005:10:1;30000006:10:1;10000004:2:1;	4:10000;	100							4000	drop_money.png	2	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	350	1_3_senlin	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0		100202	22	copy_1003			monster_001_idle_naked	0.9	monster_010_idle	0.9	monster_018_idle	0.9	1	
1004	4	1	1003	关卡4	这黄金哥布林据说是哥布林中的上等品种，能穿一身黄金甲却行动如此飘逸，果真不是等闲之辈。	font_1.png	第4关	5	30000007;72000001;	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;	1:10000;	20	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				112	drop_money.png	2	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	75	1_4_senlin	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0		100301	18	copy_1004	monster_GBL		monster_010_idle	0.9	monster_007_idle	0.9	monster_001_idle_yellow	0.9	1	
1005	2	1	1004	关卡5	哥布林远程精英小队出动，这次他们似乎要动真格的了！	font_1.png	第5关	5	30000007;71000001;	71000001:5:1;30000003:10:1;10000004:1:1;	3:10000;	100							116	drop_money.png	2	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	75	1_5_senlin	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0		100302	24	copy_1005			monster_001_idle_naked	0.9	monster_007_idle	0.9	monster_010_idle	0.9	1	
1006	2	1	1005	关卡6	烈焰哥布林和寒冰哥布林出没！难道这是传说中的冰火两重天战术？	font_1.png	第6关	5	71000001;41002001;	71000001:5:1;41002001:1:1;10000004:1:1;	3:10000;	100							120	drop_money.png	2	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	250	1_6_senlin	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0		100401	13	copy_1006			monster_018_idle	0.9	monster_001_idle_blue	0.9	monster_001_idle_red	0.9	1	
1007	2	1	1006	关卡7	黄金哥布林果然有手段，在一群假冒的之中寻找到那个真正的黄金哥布林吧！	font_1.png	第7关	5	30000007;72000001;	72000001:5:1;30000004:10:1;10000004:2:1;	3:10000;	100							124	drop_money.png	2	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	71000001:1:5000;71000001:1:5000;71000001:1:5000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;30000001:1:400;30000002:1:400;30000003:1:400;30000004:1:400;30000005:1:400;30000006:1:400;70000005:1:50;	1805	1_7_senlin	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0		100402	19	copy_1007			monster_010_idle	0.9		0.9	monster_001_idle_yellow	0.9	1	
1008	4	1	1007	关卡8	亚诺森林的另一大族群便是神出鬼没的猫妖一族了，想不到除了哥布林，连猫妖也被惊动。	font_1.png	第8关	5	30000007;72000001;41002001;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;41002001:1:800;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				128	drop_money.png	2	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	75	1_8_senlin	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0		100501	7	copy_1008	monster_MN		monster_001_idle_blue	0.9	monster_012_idle	0.9	monster_001_idle_red	0.9	1	
1009	2	1	1008	关卡9	看来猫妖一族也不欢迎外来者，他们竟然和哥布林组成了反冒险家联盟！	font_1.png	第9关	5	71000001;41005001;	71000001:5:1;41005001:1:1;10000004:1:1;	3:10000;	100							132	drop_money.png	2	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	1170	1_9_senlin	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	100502	24	copy_1009			monster_007_idle	0.9	monster_012_idle	0.9	monster_018_idle	0.9	1	
1010	2	1	1009	关卡10	猫妖一族这次独立对冒险家展开了攻击，当心他们的利爪！	font_1.png	第10关	5	30000007;71000001;	71000001:5:1;30000005:10:1;10000004:1:1;	3:10000;	100							136	drop_money.png	2	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	430	1_10_senlin	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	100601	16	copy_1010			monster_012_idle	0.9	monster_012_idle	0.9	monster_012_idle	0.9	1	
1011	2	1	1010	关卡11	这是小鹿？原本森林友善的种族为何跟猫妖一族联手？	font_1.png	第11关	5	30000007;72000001;	72000001:5:1;30000006:10:1;10000004:2:1;	3:10000;	100							140	drop_money.png	2	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	430	1_11_huanghun	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	100602	18	copy_1011			monster_011_idle	0.9		0.9	monster_012_idle	0.9	1	
1012	4	1	1011	关卡12	当心月下之狼！它们是森林中真正令人生畏的角色！	font_1.png	第12关	5	30000007;72000001;41005001;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;41005001:1:800;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				144	drop_money.png	2	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	75	1_12_huanghun	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	100701	14	copy_1012	monster_BSLR		monster_011_idle	0.9	monster_004_idle	0.9	monster_012_idle	0.9	1	
1013	2	1	1012	关卡13	亚诺森林的反冒险家联盟由各个族群组成，他们一起合作对抗冒险家还真是少见！	font_1.png	第13关	5	71000001;41005001;	71000001:5:1;41005001:1:1;10000004:1:1;	3:10000;	100							148	drop_money.png	2	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	430	1_13_huanghun	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	100702	31	copy_1013			monster_011_idle	0.9	monster_001_idle_non	0.9	monster_007_idle	0.9	1	
1014	2	1	1013	关卡14	疯狂的哥布林们对冒险家们展开了最后的突袭！	font_1.png	第14关	5	30000007;71000001;	71000001:5:1;30000001:10:1;10000004:1:1;	3:10000;	100							152	drop_money.png	2	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	430	1_14_huanghun	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	100801	14	copy_1014			monster_018_idle	0.9	monster_001_idle_non	0.9	monster_011_idle	0.9	1	
1015	2	1	1014	关卡15	黄金哥布林要报一箭之仇！小心他的偷袭！	font_1.png	第15关	5	72000001;41002001;	72000001:5:1;41002001:1:1;10000004:2:1;	3:10000;	100							156	drop_money.png	2	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	430	1_15_mudi	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	100802	11	copy_1015			monster_011_idle	0.9	monster_004_idle	0.9	monster_001_idle_yellow	0.9	1	
1016	4	1	1015	关卡16	森林深处似乎有一名冒险家迷路了……咦？不是迷路吗？	font_1.png	第16关	5	30000007;72000001;41002001;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;	1:10000;	20	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;41002001:1:800;	1:1100;2:3000;3:2300;4:2000;5:1000;6:400;7:200;	100				160	drop_money.png	2	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	75	1_16_mudi	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	100901	15	copy_1016	card_bLM		monster_012_idle	0.9	card_001_idle	0.9	monster_004_idle	0.9	1	
1017	2	1	1016	关卡17	亚诺森林就快要突破，冒险家离天空之城更进一步了！	font_1.png	第17关	5	30000007;71000001;	71000001:5:1;30000002:10:1;10000004:1:1;	3:10000;	100							164	drop_money.png	2	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	430	1_17_mudi	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	100902	24	copy_1017			monster_011_idle	0.9	monster_004_idle	0.9	monster_018_idle	0.9	1	
1018	2	1	1017	关卡18	狂暴的炸弹哥布林挡住了冒险家的去路，面对火药的洗礼吧！	font_1.png	第18关	5	71000001;41005001;	71000001:5:1;41005001:1:1;10000004:1:1;	3:10000;	100							168	drop_money.png	2	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	71000001:1:4000;71000001:1:4000;71000001:1:4000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;72000001:1:1000;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;30000001:1:250;30000002:1:250;30000003:1:250;30000004:1:250;30000005:1:250;30000006:1:250;70000005:1:100;	430	1_18_mudi	0	0	0	240	120	0	0	1	100	0	0	1	0	0	0	0	0	normal_monster.mp3	0	0	0	0	0	5	101001	14	copy_1018			monster_011_idle	0.9	monster_012_idle	0.9	monster_010_idle	0.9	1	
