ID	卡牌品质	突破次数	所需卡牌类型	数量	增加属性	说明文字
ID	quality	breakthrough	type	number	level	desc
int	int	int	int	int	int	string
31	3	1	2	1	8	需要消耗同品质（未突破）卡牌一张
32	3	2	1	1	8	需要消耗同品质+1卡牌一张
33	3	3	3	2	8	需要消耗同品质+2卡牌两张
34	3	4	0	3	16	需要消耗同品质（未突破）满级卡牌三张
35	3	5	5	4	30	需要消耗同品质+4卡牌四张
41	4	1	2	1	15	需要消耗同品质（未突破）卡牌一张
42	4	2	1	1	15	需要消耗同品质+1卡牌一张
43	4	3	3	2	15	需要消耗同品质+2卡牌两张
44	4	4	0	3	15	需要消耗同品质（未突破）满级卡牌三张
45	4	5	5	4	20	需要消耗同品质+4卡牌四张
51	5	1	2	1	15	需要消耗同品质（未突破）卡牌一张
52	5	2	1	1	15	需要消耗同品质+1卡牌一张
53	5	3	3	2	15	需要消耗同品质+2卡牌两张
54	5	4	0	3	15	需要消耗同品质（未突破）满级卡牌三张
55	5	5	5	4	20	需要消耗同品质+4卡牌四张
