编号	名次	道具奖励	货币奖励	奖励内容
ID	Rank	ItemRewards	CurrencyRewards	awardDetail
int	int	string	int	string
100	1	0:71000001:30;0:72000001:30;0:73000001:30;0:74000001:20;0:75000001:15;	0	5sp技能书*30;10sp技能书*30;15sp技能书*30;20sp技能书*20;25sp技能书*15
200	3	0:71000001:27;0:72000001:27;0:73000001:27;0:74000001:27;0:75000001:13;	0	5sp技能书*27;10sp技能书*27;15sp技能书*27;20sp技能书*27;25sp技能书*13
300	5	0:71000001:24;0:72000001:24;0:73000001:24;0:74000001:24;0:75000001:12;	0	5sp技能书*24;10sp技能书*24;15sp技能书*24;20sp技能书*24;25sp技能书*12
400	10	0:71000001:21;0:72000001:21;0:73000001:21;0:74000001:21;0:75000001:10;	0	5sp技能书*21;10sp技能书*21;15sp技能书*21;20sp技能书*21;25sp技能书*10
500	20	0:71000001:18;0:72000001:18;0:73000001:18;0:74000001:18;0:75000001:9;	0	5sp技能书*18;10sp技能书*18;15sp技能书*18;20sp技能书*18;25sp技能书*9
600	30	0:71000001:15;0:72000001:15;0:73000001:15;0:74000001:15;0:75000001:7;	0	5sp技能书*15;10sp技能书*15;15sp技能书*15;20sp技能书*15;25sp技能书*7
700	50	0:71000001:12;0:72000001:12;0:73000001:12;0:74000001:12;0:75000001:6;	0	5sp技能书*12;10sp技能书*12;15sp技能书*12;20sp技能书*12;25sp技能书*6
800	100	0:71000001:10;0:72000001:10;0:73000001:10;0:74000001:10;	0	5sp技能书*10;10sp技能书*10;15sp技能书*10;20sp技能书*10
900	200	0:72000001:7;0:73000001:7;0:74000001:7;	0	10sp技能书*7;15sp技能书*7;20sp技能书*7
1000	500	0:72000001:5;0:73000001:5;	0	10sp技能书*5;15sp技能书*5
1100	1000	0:72000001:4;0:73000001:4;	0	10sp技能书*4;15sp技能书*4
1200	99999	0:72000001:3;0:73000001:3;	0	10sp技能书*3;15sp技能书*3
