俱乐部id	俱乐部名称	俱乐部按钮图标	俱乐部动画标志	俱乐部等级	玩家等级段	单人赛出场卡牌	多人赛队长1号位	多人赛2号位	多人赛3号位	4积分宝箱	组数1	8积分宝箱	组数2	12积分宝箱	组数3	宝石孔位	洗练属性	俱乐部权重	俱乐部出现位置	俱乐部星级	包含关卡id	个人赛1星时间	个人赛2星时间	个人赛3星时间	团队赛1星时间	团队赛2星时间	团队赛3星时间	产出卡牌
id	name	button_icon	cartoon_icon	club_level	user_level	single_card	frist_card	second_card	third_card	lucky_draw1	item_count1	lucky_draw2	item_count2	lucky_draw3	item_count3	GemMax	WashMax	club_probability	seat	club_hardness	customspass	personal_1star	personal_2star	personal_3star	team_1star	team_2star	team_3star	card_bag
int	string	string	string	int	string	string	string	string	string	string	string	string	string	string	string	int	int	int	string	int	int	int	int	int	int	int	int	string
301001	天河	iconClubLY.png	iconClubXX.png	10	1:14;	31002002:6000;21202002:300;21303002:300;12002002:300;21302002:300;21102002:300;22103002:300;12102002:300;51005002:950;31008002:950;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1600;	51005102:10000;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1600;	30011010;30012000;30015010;30015010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2004	6000000	60000	30000	6000000	60000	30000	31099;21099;
301002	天药	iconClubWC.png	iconClubXX.png	10	1:14;	21202002:200;21303002:200;12002002:200;21302002:200;21102002:200;22103002:200;12102002:200;51006002:5000;32104002:3600;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1600;	51006102:10000;	32104002:10000;	30011010;30012000;30015010;30015010;30216010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;30226010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;30236010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2003	6000000	60000	30000	6000000	60000	30000	51006;31099;21099;
301003	荣星	iconClubXX.png	iconClubXX.png	10	1:14;	43102002:1400;44003002:1400;24004002:1400;11007002:1400;12003002:1400;22004002:1000;42006002:1000;41103002:500;32005002:500;	22004002:10000;	44003002:10000;	43102002:10000;	30011010;30012000;30015010;30015010;30316010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;30326010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;30336010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2019	6000000	60000	30000	6000000	60000	30000	44003;43102;42006;31099;21099;
301004	醉花	team_06.png	iconClubXX.png	10	1:14;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	30011010;30012000;30015010;30015010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2005	6000000	60000	30000	6000000	60000	30000	31099;21099;
301005	兵王	iconClubBT.png	iconClubXX.png	10	1:14;	53002002:6000;52205002:1000;32202002:3000;	53002102:10000;	52205002:400;32202002:500;21202002:1300;21303002:1300;12002002:1300;21302002:1300;21102002:1300;22103002:1300;12102002:1300;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1600;	30011010;30012000;30015010;30015010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2001	6000000	60000	30000	6000000	60000	30000	31099;21099;
301006	凛冽	team_04.png	iconClubXX.png	10	1:14;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	43202002:10000;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	30011010;30012000;30015010;30015010;30616010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;30626010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;30636010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2009	6000000	60000	30000	6000000	60000	30000	43202;31099;21099;
301007	往生	iconClubLH.png	iconClubXX.png	10	1:14;	21202002:500;21303002:500;12002002:500;21302002:500;21102002:500;22103002:500;12102002:500;54002002:6500;	54002102:10000;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	21202002:1600;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1400;	30011010;30012000;30015010;30015010;	1:6850;2:2000;3:700;4:450;	30021010;30022000;30025010;30025010;	1:2000;2:4000;3:3500;4:500;	30031010;30032000;30035010;30035010;	1:650;2:2500;3:5500;4:1350;	0	0	105	1:2:3:4:5;	3	2002	6000000	60000	30000	6000000	60000	30000	31099;21099;
201001	斩魄	team_08.png	iconClubXX.png	10	1:14;	21202002:1300;21303002:1300;12002002:1300;21302002:1300;21102002:1300;22103002:1300;12102002:1300;41103002:900;	41103102:10000;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1600;	21202002:1400;21303002:1400;12002002:1400;21302002:1400;21102002:1400;22103002:1400;12102002:1600;	20011010;20012000;20015010;20015010;20116010;	1:7870;2:1500;3:400;4:230;	20021010;20022000;20025010;20025010;20126010;	1:4680;2:3500;3:1500;4:320;	20031010;20032000;20035010;20035010;20136010;	1:2600;2:4500;3:2000;4:900;	0	0	500	1:2:3:4:5;	2	2010	6000000	60000	30000	6000000	60000	30000	41103;21099;11099;
