道具组id	道具类型	道具id	道具名称	道具数量	道具权重
club_item_id	type	item_id	name	count	weighing
int	int	int	string	int	int
10011010	1	71000001	+5sp技能书	20	21
10011010	1	72000001	+10sp技能书	15	18
10021010	1	71000001	+5sp技能书	20	18
10021010	1	72000001	+10sp技能书	15	18
10031010	1	71000001	+5sp技能书	20	15
10031010	1	72000001	+10sp技能书	15	18
20011010	1	71000001	+5sp技能书	20	15
20011010	1	72000001	+10sp技能书	15	15
20021010	1	71000001	+5sp技能书	20	12
20021010	1	72000001	+10sp技能书	15	15
20031010	1	71000001	+5sp技能书	20	12
20031010	1	72000001	+10sp技能书	15	12
30011010	1	71000001	+5sp技能书	20	9
30011010	1	72000001	+10sp技能书	15	12
30021010	1	71000001	+5sp技能书	20	9
30021010	1	72000001	+10sp技能书	15	9
30031010	1	71000001	+5sp技能书	20	6
30031010	1	72000001	+10sp技能书	15	9
10011020	1	71000001	+5sp技能书	20	21
10011020	1	72000001	+10sp技能书	15	18
10011020	1	73000001	+15sp技能书	15	12
10021020	1	71000001	+5sp技能书	20	18
10021020	1	72000001	+10sp技能书	15	18
10021020	1	73000001	+15sp技能书	15	9
10031020	1	71000001	+5sp技能书	20	15
10031020	1	72000001	+10sp技能书	15	18
10031020	1	73000001	+15sp技能书	15	9
20011020	1	71000001	+5sp技能书	20	15
20011020	1	72000001	+10sp技能书	15	15
20011020	1	73000001	+15sp技能书	15	9
20021020	1	71000001	+5sp技能书	20	12
20021020	1	72000001	+10sp技能书	15	15
20021020	1	73000001	+15sp技能书	15	9
20031020	1	71000001	+5sp技能书	20	12
20031020	1	72000001	+10sp技能书	15	12
20031020	1	73000001	+15sp技能书	15	9
30011020	1	71000001	+5sp技能书	20	9
30011020	1	72000001	+10sp技能书	15	12
30011020	1	73000001	+15sp技能书	15	9
30021020	1	71000001	+5sp技能书	20	9
30021020	1	72000001	+10sp技能书	15	9
30021020	1	73000001	+15sp技能书	15	9
30031020	1	71000001	+5sp技能书	20	6
30031020	1	72000001	+10sp技能书	15	9
30031020	1	73000001	+15sp技能书	15	12
10011030	1	71000001	+5sp技能书	20	21
10011030	1	72000001	+10sp技能书	15	18
10011030	1	73000001	+15sp技能书	15	12
10011030	1	74000001	+20sp技能书	10	6
10021030	1	71000001	+5sp技能书	20	18
10021030	1	72000001	+10sp技能书	15	18
10021030	1	73000001	+15sp技能书	15	9
10021030	1	74000001	+20sp技能书	10	9
10031030	1	71000001	+5sp技能书	20	15
10031030	1	72000001	+10sp技能书	15	18
10031030	1	73000001	+15sp技能书	15	9
10031030	1	74000001	+20sp技能书	10	9
20011030	1	71000001	+5sp技能书	20	15
20011030	1	72000001	+10sp技能书	15	15
20011030	1	73000001	+15sp技能书	15	9
20011030	1	74000001	+20sp技能书	10	9
20021030	1	71000001	+5sp技能书	20	12
20021030	1	72000001	+10sp技能书	15	15
20021030	1	73000001	+15sp技能书	15	9
20021030	1	74000001	+20sp技能书	10	9
20031030	1	71000001	+5sp技能书	20	12
20031030	1	72000001	+10sp技能书	15	12
20031030	1	73000001	+15sp技能书	15	9
20031030	1	74000001	+20sp技能书	10	9
30011030	1	71000001	+5sp技能书	20	9
30011030	1	72000001	+10sp技能书	15	12
30011030	1	73000001	+15sp技能书	15	9
30011030	1	74000001	+20sp技能书	10	12
30021030	1	71000001	+5sp技能书	20	9
30021030	1	72000001	+10sp技能书	15	9
30021030	1	73000001	+15sp技能书	15	9
30021030	1	74000001	+20sp技能书	10	15
30031030	1	71000001	+5sp技能书	20	6
30031030	1	72000001	+10sp技能书	15	9
30031030	1	73000001	+15sp技能书	15	12
30031030	1	74000001	+20sp技能书	10	15
10011050	1	71000001	+5sp技能书	20	21
10011050	1	72000001	+10sp技能书	15	18
10011050	1	73000001	+15sp技能书	15	12
10011050	1	74000001	+20sp技能书	10	6
10011050	1	75000001	+25sp技能书	4	3
10021050	1	71000001	+5sp技能书	20	18
10021050	1	72000001	+10sp技能书	15	18
10021050	1	73000001	+15sp技能书	15	9
10021050	1	74000001	+20sp技能书	10	9
10021050	1	75000001	+25sp技能书	4	6
10031050	1	71000001	+5sp技能书	20	15
10031050	1	72000001	+10sp技能书	15	18
10031050	1	73000001	+15sp技能书	15	9
10031050	1	74000001	+20sp技能书	10	9
10031050	1	75000001	+25sp技能书	4	9
20011050	1	71000001	+5sp技能书	20	15
20011050	1	72000001	+10sp技能书	15	15
20011050	1	73000001	+15sp技能书	15	9
20011050	1	74000001	+20sp技能书	10	9
20011050	1	75000001	+25sp技能书	4	12
20021050	1	71000001	+5sp技能书	20	12
20021050	1	72000001	+10sp技能书	15	15
20021050	1	73000001	+15sp技能书	15	9
20021050	1	74000001	+20sp技能书	10	9
20021050	1	75000001	+25sp技能书	4	15
20031050	1	71000001	+5sp技能书	20	12
20031050	1	72000001	+10sp技能书	15	12
20031050	1	73000001	+15sp技能书	15	9
20031050	1	74000001	+20sp技能书	10	9
20031050	1	75000001	+25sp技能书	4	18
30011050	1	71000001	+5sp技能书	20	9
30011050	1	72000001	+10sp技能书	15	12
30011050	1	73000001	+15sp技能书	15	9
30011050	1	74000001	+20sp技能书	10	12
30011050	1	75000001	+25sp技能书	4	18
30021050	1	71000001	+5sp技能书	20	9
30021050	1	72000001	+10sp技能书	15	9
30021050	1	73000001	+15sp技能书	15	9
30021050	1	74000001	+20sp技能书	10	15
30021050	1	75000001	+25sp技能书	4	18
30031050	1	71000001	+5sp技能书	20	6
30031050	1	72000001	+10sp技能书	15	9
30031050	1	73000001	+15sp技能书	15	12
30031050	1	74000001	+20sp技能书	10	15
30031050	1	75000001	+25sp技能书	4	18
10012000	1	30000001		2	50
10012000	1	30000002		2	50
10012000	1	30000003		2	50
10012000	1	30000004		2	50
10012000	1	30000005		2	50
10012000	1	30000006		2	50
10022000	1	30000001		5	50
10022000	1	30000002		5	50
10022000	1	30000003		5	50
10022000	1	30000004		5	50
10022000	1	30000005		5	50
10022000	1	30000006		5	50
10032000	1	30000001		8	50
10032000	1	30000002		8	50
10032000	1	30000003		8	50
10032000	1	30000004		8	50
10032000	1	30000005		8	50
10022000	1	30000006		8	50
20012000	1	30000001		3	50
20012000	1	30000002		3	50
20012000	1	30000003		3	50
20012000	1	30000004		3	50
20012000	1	30000005		3	50
20012000	1	30000006		3	50
20022000	1	30000001		6	50
20022000	1	30000002		6	50
20022000	1	30000003		6	50
20022000	1	30000004		6	50
20022000	1	30000005		6	50
20022000	1	30000006		6	50
20032000	1	30000001		9	50
