装备ID	强化价格	增幅值	强化等级上限	生命值	物理攻击	物理防御	魔法攻击	魔法防御	物理抗暴击	魔法抗暴击	物理暴击	魔法暴击	格挡率	格挡值	命中率	魔法回复率	血球回复率
EquipID	Price	amplification	MaxLevel	hp	atk	def	magic	magicDef	atkResistance	magicResistance	atkCrit	magicCrit	blockRate	blockData	hits	MPReplyRate	HPReply
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
41101001	100	100	20	0	16	0	0	0	0	0	0	0	0	0	0	0	0
42101001	500	300	40	0	27	0	0	0	0	0	0	0	0	0	0	0	0
43101001	1500	1000	60	0	83	0	0	0	0	0	21	0	0	0	0	0	0
44101001	5000	3000	80	0	166	0	0	0	0	0	43	0	0	0	0	0	0
45101001	10000	10000	90	0	333	0	0	0	0	0	87	0	0	0	87	0	0
46101001	20000	20000	100	71	527	0	0	0	0	0	138	0	0	0	138	0	0
41101002	100	100	20	0	21	0	0	0	0	0	0	0	0	0	0	0	0
42101002	500	300	40	0	29	0	0	0	0	0	0	0	0	0	0	0	0
43101002	1500	1000	60	0	55	0	0	0	0	0	11	0	0	0	0	0	0
44101002	5000	3000	80	0	94	0	0	0	0	0	18	0	0	0	0	0	0
45101002	10000	10000	90	0	172	0	0	0	0	0	33	0	0	0	33	0	0
41101003	100	100	20	0	20	0	0	0	0	0	0	0	0	0	0	0	0
42101003	500	300	40	0	27	0	0	0	0	0	0	0	0	0	0	0	0
43101003	1500	1000	60	0	49	0	0	0	0	0	9	0	0	0	0	0	0
44101003	5000	3000	80	0	83	0	0	0	0	0	16	0	0	0	0	0	0
45101003	10000	10000	90	0	149	0	0	0	0	0	29	0	0	0	29	0	0
46101003	20000	20000	100	35	227	0	0	0	0	0	44	0	0	0	44	0	0
41101004	100	100	20	0	24	0	0	0	0	0	0	0	0	0	0	0	0
42101004	500	300	40	0	32	0	0	0	0	0	0	0	0	0	0	0	0
43101004	1500	1000	60	0	58	0	0	0	0	0	11	0	0	0	0	0	0
44101004	5000	3000	80	0	98	0	0	0	0	0	19	0	0	0	0	0	0
45101004	10000	10000	90	0	177	0	0	0	0	0	35	0	0	0	35	0	0
46101004	20000	20000	100	42	270	0	0	0	0	0	53	0	0	0	53	0	0
41101005	100	100	20	0	31	0	0	0	0	0	0	0	0	0	0	0	0
42101005	500	300	40	0	40	0	0	0	0	0	0	0	0	0	0	0	0
43101005	1500	1000	60	0	71	0	0	0	0	0	14	0	0	0	0	0	0
44101005	5000	3000	80	0	117	0	0	0	0	0	22	0	0	0	0	0	0
45101005	10000	10000	90	0	208	0	0	0	0	0	40	0	0	0	40	0	0
46101005	20000	20000	100	49	316	0	0	0	0	0	61	0	0	0	61	0	0
41101006	100	100	20	0	30	0	0	0	0	0	0	0	0	0	0	0	0
42101006	500	300	40	0	38	0	0	0	0	0	0	0	0	0	0	0	0
43101006	1500	1000	60	0	68	0	0	0	0	0	13	0	0	0	0	0	0
44101006	5000	3000	80	0	113	0	0	0	0	0	22	0	0	0	0	0	0
45101006	10000	10000	90	0	202	0	0	0	0	0	39	0	0	0	39	0	0
46101006	20000	20000	100	47	306	0	0	0	0	0	59	0	0	0	59	0	0
41101007	200	100	20	0	16	0	0	0	0	0	0	0	0	0	0	0	0
42101007	700	300	40	0	22	0	0	0	0	0	0	0	0	0	0	0	0
43101007	2000	1000	60	0	42	0	0	0	0	0	8	0	0	0	0	0	0
44101007	8000	3000	80	0	72	0	0	0	0	0	14	0	0	0	0	0	0
45101007	15000	10000	90	0	132	0	0	0	0	0	26	0	0	0	26	0	0
41101008	100	100	20	0	21	0	0	0	0	0	0	0	0	0	0	0	0
42101008	500	300	40	0	29	0	0	0	0	0	0	0	0	0	0	0	0
43101008	1500	1000	60	0	55	0	0	0	0	0	11	0	0	0	0	0	0
44101008	5000	3000	80	0	94	0	0	0	0	0	18	0	0	0	0	0	0
45101008	10000	10000	90	0	172	0	0	0	0	0	33	0	0	0	33	0	0
46101008	20000	20000	100	41	263	0	0	0	0	0	51	0	0	0	51	0	0
41111002	150	100	20	0	18	0	0	0	0	0	0	0	0	0	0	0	0
42111002	600	300	40	0	25	0	0	0	0	0	0	0	0	0	0	0	0
43111002	1700	1000	60	0	49	0	0	0	0	0	10	0	0	0	0	0	0
44111002	6000	3000	80	0	83	0	0	0	0	0	18	0	0	0	0	0	0
45111002	12000	10000	90	0	153	0	0	0	0	0	32	0	0	0	32	0	0
41111003	100	100	20	0	25	0	0	0	0	0	0	0	0	0	0	0	0
42111003	500	300	40	0	34	0	0	0	0	0	0	0	0	0	0	0	0
43111003	1500	1000	60	0	62	0	0	0	0	0	13	0	0	0	0	0	0
44111003	5000	3000	80	0	105	0	0	0	0	0	22	0	0	0	0	0	0
45111003	10000	10000	90	0	190	0	0	0	0	0	40	0	0	0	40	0	0
46111003	20000	20000	100	49	289	0	0	0	0	0	60	0	0	0	60	0	0
41111004	100	100	20	0	26	0	0	0	0	0	0	0	0	0	0	0	0
42111004	500	300	40	0	35	0	0	0	0	0	0	0	0	0	0	0	0
43111004	1500	1000	60	0	64	0	0	0	0	0	13	0	0	0	0	0	0
44111004	5000	3000	80	0	108	0	0	0	0	0	23	0	0	0	0	0	0
45111004	10000	10000	90	0	196	0	0	0	0	0	41	0	0	0	41	0	0
46111004	20000	20000	100	50	298	0	0	0	0	0	62	0	0	0	62	0	0
41121002	150	100	20	0	16	0	9	0	0	0	0	0	0	0	0	0	0
42121002	600	300	40	0	22	0	13	0	0	0	0	0	0	0	0	0	0
43121002	1700	1000	60	0	42	0	24	0	0	0	8	8	0	0	0	0	0
44121002	6000	3000	80	0	71	0	41	0	0	0	13	13	0	0	0	0	0
45121002	12000	10000	90	0	131	0	76	0	0	0	24	24	0	0	24	0	0
41121003	100	100	20	0	19	0	11	0	0	0	0	0	0	0	0	0	0
42121003	500	300	40	0	26	0	15	0	0	0	0	0	0	0	0	0	0
43121003	1500	1000	60	0	47	0	27	0	0	0	9	9	0	0	0	0	0
44121003	5000	3000	80	0	78	0	45	0	0	0	14	14	0	0	0	0	0
45121003	10000	10000	90	0	142	0	82	0	0	0	26	26	0	0	26	0	0
46121003	20000	20000	100	33	216	0	125	0	0	0	39	39	0	0	39	0	0
41121004	100	100	20	0	23	0	13	0	0	0	0	0	0	0	0	0	0
42121004	500	300	40	0	30	0	17	0	0	0	0	0	0	0	0	0	0
43121004	1500	1000	60	0	55	0	32	0	0	0	10	10	0	0	0	0	0
44121004	5000	3000	80	0	93	0	54	0	0	0	17	17	0	0	0	0	0
45121004	10000	10000	90	0	168	0	98	0	0	0	31	31	0	0	31	0	0
46121004	20000	20000	100	40	256	0	148	0	0	0	47	47	0	0	47	0	0
41121005	100	100	20	0	25	0	14	0	0	0	0	0	0	0	0	0	0
42121005	500	300	40	0	33	0	19	0	0	0	0	0	0	0	0	0	0
43121005	1500	1000	60	0	61	0	35	0	0	0	11	11	0	0	0	0	0
44121005	5000	3000	80	0	103	0	59	0	0	0	18	18	0	0	0	0	0
45121005	10000	10000	90	0	186	0	108	0	0	0	33	33	0	0	33	0	0
46121005	20000	20000	100	44	283	0	164	0	0	0	51	51	0	0	51	0	0
41121006	100	100	20	0	29	0	17	0	0	0	0	0	0	0	0	0	0
42121006	500	300	40	0	37	0	22	0	0	0	0	0	0	0	0	0	0
43121006	1500	1000	60	0	66	0	38	0	0	0	12	12	0	0	0	0	0
44121006	5000	3000	80	0	109	0	63	0	0	0	20	20	0	0	0	0	0
45121006	10000	10000	90	0	195	0	113	0	0	0	35	35	0	0	35	0	0
46121006	20000	20000	100	45	295	0	171	0	0	0	53	53	0	0	53	0	0
41131002	150	100	20	0	7	0	13	0	0	0	0	0	0	0	0	0	0
42131002	600	300	40	0	9	0	18	0	0	0	0	0	0	0	0	0	0
43131002	1700	1000	60	0	18	0	35	0	0	0	8	8	0	0	0	0	0
44131002	6000	3000	80	0	30	0	60	0	0	0	13	13	0	0	0	0	0
45131002	12000	10000	90	0	55	0	110	0	0	0	24	24	0	0	24	0	0
41131003	150	100	20	0	7	0	13	0	0	0	0	0	0	0	0	0	0
42131003	600	300	40	0	9	0	18	0	0	0	0	0	0	0	0	0	0
43131003	1700	1000	60	0	18	0	35	0	0	0	8	8	0	0	0	0	0
44131003	6000	3000	80	0	30	0	60	0	0	0	13	13	0	0	0	0	0
45131003	12000	10000	90	0	55	0	110	0	0	0	24	24	0	0	24	0	0
41131004	100	100	20	0	8	0	15	0	0	0	0	0	0	0	0	0	0
42131004	500	300	40	0	10	0	21	0	0	0	0	0	0	0	0	0	0
43131004	1500	1000	60	0	20	0	40	0	0	0	9	9	0	0	0	0	0
44131004	5000	3000	80	0	34	0	68	0	0	0	15	15	0	0	0	0	0
45131004	10000	10000	90	0	63	0	125	0	0	0	28	28	0	0	28	0	0
41131005	100	100	20	0	8	0	16	0	0	0	0	0	0	0	0	0	0
42131005	500	300	40	0	11	0	22	0	0	0	0	0	0	0	0	0	0
43131005	1500	1000	60	0	20	0	39	0	0	0	9	9	0	0	0	0	0
44131005	5000	3000	80	0	33	0	66	0	0	0	14	14	0	0	0	0	0
45131005	10000	10000	90	0	60	0	120	0	0	0	26	26	0	0	26	0	0
46131005	20000	20000	100	33	91	0	182	0	0	0	39	39	0	0	39	0	0
41131006	100	100	20	0	8	0	16	0	0	0	0	0	0	0	0	0	0
42131006	500	300	40	0	11	0	22	0	0	0	0	0	0	0	0	0	0
43131006	1500	1000	60	0	20	0	39	0	0	0	9	9	0	0	0	0	0
44131006	5000	3000	80	0	33	0	66	0	0	0	14	14	0	0	0	0	0
45131006	10000	10000	90	0	60	0	120	0	0	0	26	26	0	0	26	0	0
46131006	20000	20000	100	33	91	0	182	0	0	0	39	39	0	0	39	0	0
41131007	100	100	20	0	12	0	24	0	0	0	0	0	0	0	0	0	0
42131007	500	300	40	0	16	0	31	0	0	0	0	0	0	0	0	0	0
43131007	1500	1000	60	0	28	0	55	0	0	0	12	12	0	0	0	0	0
44131007	5000	3000	80	0	46	0	92	0	0	0	20	20	0	0	0	0	0
45131007	10000	10000	90	0	82	0	164	0	0	0	35	35	0	0	35	0	0
46131007	20000	20000	100	45	124	0	249	0	0	0	53	53	0	0	53	0	0
41201001	100	100	20	0	0	0	16	0	0	0	0	0	0	0	0	0	0
42201001	500	300	40	0	0	0	27	0	0	0	0	0	0	0	0	0	0
43201001	1500	1000	60	0	0	0	83	0	0	0	0	21	0	0	0	0	0
44201001	5000	3000	80	0	0	0	166	0	0	0	0	43	0	0	0	0	0
45201001	10000	10000	90	0	0	0	333	0	0	0	0	87	0	0	87	0	0
46201001	20000	20000	100	64	0	0	527	0	0	0	0	138	0	0	138	0	0
41201002	200	100	20	0	0	0	16	0	0	0	0	0	0	0	0	0	0
42201002	700	300	40	0	0	0	22	0	0	0	0	0	0	0	0	0	0
43201002	2000	1000	60	0	0	0	42	0	0	0	0	6	0	0	0	0	0
44201002	8000	3000	80	0	0	0	72	0	0	0	0	10	0	0	0	0	0
45201002	15000	10000	90	0	0	0	132	0	0	0	0	18	0	0	18	0	0
41201003	200	100	20	0	0	0	16	0	0	0	0	0	0	0	0	0	0
42201003	700	300	40	0	0	0	22	0	0	0	0	0	0	0	0	0	0
43201003	2000	1000	60	0	0	0	42	0	0	0	0	6	0	0	0	0	0
44201003	8000	3000	80	0	0	0	72	0	0	0	0	10	0	0	0	0	0
45201003	15000	10000	90	0	0	0	132	0	0	0	0	18	0	0	18	0	0
41201004	150	100	20	0	0	0	17	0	0	0	0	0	0	0	0	0	0
42201004	600	300	40	0	0	0	23	0	0	0	0	0	0	0	0	0	0
43201004	1700	1000	60	0	0	0	44	0	0	0	0	9	0	0	0	0	0
44201004	6000	3000	80	0	0	0	75	0	0	0	0	15	0	0	0	0	0
45201004	12000	10000	90	0	0	0	138	0	0	0	0	27	0	0	27	0	0
41201005	100	100	20	0	0	0	21	0	0	0	0	0	0	0	0	0	0
42201005	500	300	40	0	0	0	29	0	0	0	0	0	0	0	0	0	0
43201005	1500	1000	60	0	0	0	55	0	0	0	0	11	0	0	0	0	0
44201005	5000	3000	80	0	0	0	94	0	0	0	0	18	0	0	0	0	0
45201005	10000	10000	90	0	0	0	172	0	0	0	0	33	0	0	33	0	0
41201006	100	100	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0
42201006	500	300	40	0	0	0	27	0	0	0	0	0	0	0	0	0	0
43201006	1500	1000	60	0	0	0	49	0	0	0	0	9	0	0	0	0	0
44201006	5000	3000	80	0	0	0	83	0	0	0	0	16	0	0	0	0	0
45201006	10000	10000	90	0	0	0	149	0	0	0	0	29	0	0	29	0	0
46201006	20000	20000	100	32	0	0	227	0	0	0	0	44	0	0	44	0	0
41201007	100	100	20	0	0	0	24	0	0	0	0	0	0	0	0	0	0
42201007	500	300	40	0	0	0	32	0	0	0	0	0	0	0	0	0	0
43201007	1500	1000	60	0	0	0	58	0	0	0	0	11	0	0	0	0	0
44201007	5000	3000	80	0	0	0	98	0	0	0	0	19	0	0	0	0	0
45201007	10000	10000	90	0	0	0	177	0	0	0	0	35	0	0	35	0	0
46201007	20000	20000	100	38	0	0	270	0	0	0	0	53	0	0	53	0	0
41201008	100	100	20	0	0	0	31	0	0	0	0	0	0	0	0	0	0
42201008	500	300	40	0	0	0	40	0	0	0	0	0	0	0	0	0	0
43201008	1500	1000	60	0	0	0	71	0	0	0	0	14	0	0	0	0	0
44201008	5000	3000	80	0	0	0	117	0	0	0	0	22	0	0	0	0	0
45201008	10000	10000	90	0	0	0	208	0	0	0	0	40	0	0	40	0	0
46201008	20000	20000	100	44	0	0	316	0	0	0	0	61	0	0	61	0	0
41211002	200	100	20	0	16	0	0	0	0	0	0	0	0	0	0	0	0
42211002	700	300	40	0	22	0	0	0	0	0	0	0	0	0	0	0	0
43211002	2000	1000	60	0	42	0	0	0	0	0	10	0	0	0	0	0	0
44211002	8000	3000	80	0	72	0	0	0	0	0	17	0	0	0	0	0	0
45211002	15000	10000	90	0	132	0	0	0	0	0	31	0	0	0	26	0	0
41211003	150	100	20	0	17	0	0	0	0	0	0	0	0	0	0	0	0
42211003	600	300	40	0	23	0	0	0	0	0	0	0	0	0	0	0	0
43211003	1700	1000	60	0	44	0	0	0	0	0	10	0	0	0	0	0	0
44211003	6000	3000	80	0	75	0	0	0	0	0	18	0	0	0	0	0	0
45211003	12000	10000	90	0	138	0	0	0	0	0	32	0	0	0	27	0	0
41211004	100	100	20	0	19	0	0	0	0	0	0	0	0	0	0	0	0
42211004	500	300	40	0	26	0	0	0	0	0	0	0	0	0	0	0	0
43211004	1500	1000	60	0	50	0	0	0	0	0	12	0	0	0	0	0	0
44211004	5000	3000	80	0	85	0	0	0	0	0	20	0	0	0	0	0	0
45211004	10000	10000	90	0	156	0	0	0	0	0	37	0	0	0	31	0	0
41211005	100	100	20	0	25	0	0	0	0	0	0	0	0	0	0	0	0
42211005	500	300	40	0	34	0	0	0	0	0	0	0	0	0	0	0	0
43211005	1500	1000	60	0	62	0	0	0	0	0	14	0	0	0	0	0	0
44211005	5000	3000	80	0	105	0	0	0	0	0	24	0	0	0	0	0	0
45211005	10000	10000	90	0	190	0	0	0	0	0	43	0	0	0	36	0	0
46211005	20000	20000	100	40	289	0	0	0	0	0	66	0	0	0	55	0	0
41211006	100	100	20	0	25	0	0	0	0	0	0	0	0	0	0	0	0
42211006	500	300	40	0	34	0	0	0	0	0	0	0	0	0	0	0	0
43211006	1500	1000	60	0	62	0	0	0	0	0	14	0	0	0	0	0	0
44211006	5000	3000	80	0	105	0	0	0	0	0	24	0	0	0	0	0	0
45211006	10000	10000	90	0	190	0	0	0	0	0	43	0	0	0	36	0	0
46211006	20000	20000	100	40	289	0	0	0	0	0	66	0	0	0	55	0	0
41211007	100	100	20	0	20	0	0	0	0	0	0	0	0	0	0	0	0
42211007	500	300	40	0	27	0	0	0	0	0	0	0	0	0	0	0	0
43211007	1500	1000	60	0	49	0	0	0	0	0	11	0	0	0	0	0	0
44211007	5000	3000	80	0	83	0	0	0	0	0	19	0	0	0	0	0	0
