表ID	类别	怪物强度	层数	怪物群	掉落数量	奖励内容	地图BUFF	地图特效	场景资源	怪物数量
ID	Tpye	Level	Number	Monster	DropNumber	Reward	BUFF	Trap	Map	Quantity
int	int	string	int	int	int	int	int	int	int	int
1	1	极易	0	401101	0	0	0	0	0	1
2	1	极易	11	402101	0	0	0	0	0	1
3	1	极易	21	403101	0	0	0	0	0	1
4	1	极易	31	404101	0	0	0	0	0	1
5	1	极易	41	405101	0	0	0	0	0	1
6	1	极易	51	406101	0	0	0	0	0	1
7	1	极易	61	407101	0	0	0	0	0	1
8	1	极易	71	408101	0	0	0	0	0	1
9	1	极易	81	409101	0	0	0	0	0	1
10	1	极易	91	410101	0	0	0	0	0	1
11	1	极易	100		3:2500;4:5500;5:2000	11099:1:2333;11099:1:2333;11099:1:2333;21099:1:1500;21099:1:1500	0	0	0	0
12	2	简单	0	401201	0	0	0	0	0	1
13	2	简单	11	402201	0	0	0	0	0	1
14	2	简单	21	403201	0	0	0	0	0	1
15	2	简单	31	404201	0	0	0	0	0	1
16	2	简单	41	405201	0	0	0	0	0	1
17	2	简单	51	406201	0	0	0	0	0	1
18	2	简单	61	407201	0	0	0	0	0	1
19	2	简单	71	408201	0	0	0	0	0	1
20	2	简单	81	409201	0	0	0	0	0	1
21	2	简单	91	410201	0	0	0	0	0	1
22	2	简单	100		3:2500;4:5500;5:2000	11099:1:2000;21099:1:2000;21099:1:2000;21099:1:2000;21099:1:2000	0	0	0	0
23	3	一般	0	401301	0	0	0	0	0	1
24	3	一般	11	402301	0	0	0	0	0	1
25	3	一般	21	403301	0	0	0	0	0	1
26	3	一般	31	404301	0	0	0	0	0	1
27	3	一般	41	405301	0	0	0	0	0	1
28	3	一般	51	406301	0	0	0	0	0	1
29	3	一般	61	407301	0	0	0	0	0	1
30	3	一般	71	408301	0	0	0	0	0	1
31	3	一般	81	409301	0	0	0	0	0	1
32	3	一般	91	410301	0	0	0	0	0	1
33	3	一般	100		3:2500;4:5500;5:2000	21099:1:2667;21099:1:2667;31099:1:1000;31099:1:1000;31099:1:1000	0	0	0	0
34	4	困难	0	401401	0	0	0	0	0	1
35	4	困难	11	402401	0	0	0	0	0	1
36	4	困难	21	403401	0	0	0	0	0	1
37	4	困难	31	404401	0	0	0	0	0	1
38	4	困难	41	405401	0	0	0	0	0	1
39	4	困难	51	406401	0	0	0	0	0	1
40	4	困难	61	407401	0	0	0	0	0	1
41	4	困难	71	408401	0	0	0	0	0	1
42	4	困难	81	409401	0	0	0	0	0	1
43	4	困难	91	410401	0	0	0	0	0	1
44	4	困难	100		3:2500;4:5500;5:2000	21099:1:3000;31099:1:1750;31099:1:1750;31099:1:1750;31099:1:1750	0	0	0	0
45	5	噩梦	0	401501	0	0	0	0	0	1
46	5	噩梦	11	402501	0	0	0	0	0	1
47	5	噩梦	21	403501	0	0	0	0	0	1
48	5	噩梦	31	404501	0	0	0	0	0	1
49	5	噩梦	41	405501	0	0	0	0	0	1
50	5	噩梦	51	406501	0	0	0	0	0	1
51	5	噩梦	61	407501	0	0	0	0	0	1
52	5	噩梦	71	408501	0	0	0	0	0	1
53	5	噩梦	81	409501	0	0	0	0	0	1
54	5	噩梦	91	410501	0	0	0	0	0	1
55	5	噩梦	100		3:2500;4:5500;5:2000	31099:1:2125;31099:1:2125;31099:1:2125;31099:1:2125;41099:1:1500	0	0	0	0
56	6	地狱	0	401601	0	0	0	0	0	1
57	6	地狱	11	402601	0	0	0	0	0	1
58	6	地狱	21	403601	0	0	0	0	0	1
59	6	地狱	31	404601	0	0	0	0	0	1
60	6	地狱	41	405601	0	0	0	0	0	1
61	6	地狱	51	406601	0	0	0	0	0	1
62	6	地狱	61	407601	0	0	0	0	0	1
63	6	地狱	71	408601	0	0	0	0	0	1
64	6	地狱	81	409601	0	0	0	0	0	1
65	6	地狱	91	410601	0	0	0	0	0	1
66	6	地狱	100		3:2500;4:5500;5:2000	31099:1:2750;31099:1:2750;41099:1:1500;41099:1:1500;41099:1:1500	0	0	0	0
