图纸ID	所需职业	所需角色	所需装备ID	产出装备ID	消耗材料	削减等级	锻造价格
ID	needOccupation	needRole	needEquip	outputEquip	itemNeed	levelMinus	Price
int	int	int	int	int	string	int	int
51101000	10	1	0	41101001	51101000:1;60000001:9;60000002:9;60000003:7;	0	10000
52101000	10	1	41101001	42101001	52101000:1;61000001:12;61000002:11;60000001:12;60000002:12;60000003:10;	10	50000
53101000	10	1	42101001	43101001	53101000:1;62000001:15;61000001:15;61000002:15;61000003:15;60000001:14;	10	150000
54101000	10	1	43101001	44101001	54101000:1;62000001:17;62000002:17;61000001:17;61000002:17;61000003:17;	10	500000
55101000	10	1	44101001	45101001	55101000:1;64000001:20;62000001:20;62000002:20;62000003:20;61000001:18;	10	1000000
56101000	10	1	45101001	46101001	56101000:1;64000001:22;64000002:24;62000003:20;62000004:20;62000005:23;	10	3000000
51101000	10	31002	0	41101002	51101000:1;60000001:9;60000002:9;60000003:7;	0	10000
52101000	10	31002	41101002	42101002	52101000:1;61000001:12;61000002:11;60000001:12;60000002:12;60000003:10;	10	50000
53101000	10	31002	42101002	43101002	53101000:1;62000001:15;61000001:15;61000002:15;61000003:15;60000001:14;	10	150000
54101000	10	31002	43101002	44101002	54101000:1;62000001:17;62000002:17;61000001:17;61000002:17;61000003:17;	10	500000
55101000	10	31002	44101002	45101002	55101000:1;64000001:20;62000001:20;62000002:20;62000003:20;61000001:18;	10	1000000
56101000	10	31002	45101002	0
51101000	10	41003	0	41101003	51101000:1;60000001:9;60000002:9;60000003:7;	0	10000
52101000	10	41003	41101003	42101003	52101000:1;61000001:12;61000002:11;60000001:12;60000002:12;60000003:10;	10	50000
53101000	10	41003	42101003	43101003	53101000:1;62000001:15;61000001:15;61000002:15;61000003:15;60000001:14;	10	150000
54101000	10	41003	43101003	44101003	54101000:1;62000001:17;62000002:17;61000001:17;61000002:17;61000003:17;	10	500000
55101000	10	41003	44101003	45101003	55101000:1;64000001:20;62000001:20;62000002:20;62000003:20;61000001:18;	10	1000000
56101000	10	41003	45101003	46101003	56101000:1;64000001:22;64000002:24;62000003:20;62000004:20;62000005:23;	10	3000000
51101000	10	41004	0	41101004	51101000:1;60000001:9;60000002:9;60000003:7;	0	10000
52101000	10	41004	41101004	42101004	52101000:1;61000001:12;61000002:11;60000001:12;60000002:12;60000003:10;	10	50000
53101000	10	41004	42101004	43101004	53101000:1;62000001:15;61000001:15;61000002:15;61000003:15;60000001:14;	10	150000
54101000	10	41004	43101004	44101004	54101000:1;62000001:17;62000002:17;61000001:17;61000002:17;61000003:17;	10	500000
55101000	10	41004	44101004	45101004	55101000:1;64000001:20;62000001:20;62000002:20;62000003:20;61000001:18;	10	1000000
56101000	10	41004	45101004	46101004	56101000:1;64000001:22;64000002:24;62000003:20;62000004:20;62000005:23;	10	3000000
51101000	10	51005	0	41101005	51101000:1;60000001:9;60000002:9;60000003:7;	0	10000
52101000	10	51005	41101005	42101005	52101000:1;61000001:12;61000002:11;60000001:12;60000002:12;60000003:10;	10	50000
53101000	10	51005	42101005	43101005	53101000:1;62000001:15;61000001:15;61000002:15;61000003:15;60000001:14;	10	150000
54101000	10	51005	43101005	44101005	54101000:1;62000001:17;62000002:17;61000001:17;61000002:17;61000003:17;	10	500000
55101000	10	51005	44101005	45101005	55101000:1;64000001:20;62000001:20;62000002:20;62000003:20;61000001:18;	10	1000000
56101000	10	51005	45101005	46101005	56101000:1;64000001:22;64000002:24;62000003:20;62000004:20;62000005:23;	10	3000000
51101000	10	51006	0	41101006	51101000:1;60000001:9;60000002:9;60000003:7;	0	10000
52101000	10	51006	41101006	42101006	52101000:1;61000001:12;61000002:11;60000001:12;60000002:12;60000003:10;	10	50000
53101000	10	51006	42101006	43101006	53101000:1;62000001:15;61000001:15;61000002:15;61000003:15;60000001:14;	10	150000
54101000	10	51006	43101006	44101006	54101000:1;62000001:17;62000002:17;61000001:17;61000002:17;61000003:17;	10	500000
55101000	10	51006	44101006	45101006	55101000:1;64000001:20;62000001:20;62000002:20;62000003:20;61000001:18;	10	1000000
56101000	10	51006	45101006	46101006	56101000:1;64000001:22;64000002:24;62000003:20;62000004:20;62000005:23;	10	3000000
51101000	10	11007	0	41101007	51101000:1;60000001:9;60000002:9;60000003:7;	0	10000
52101000	10	11007	41101007	42101007	52101000:1;61000001:12;61000002:11;60000001:12;60000002:12;60000003:10;	10	50000
53101000	10	11007	42101007	43101007	53101000:1;62000001:15;61000001:15;61000002:15;61000003:15;60000001:14;	10	150000
54101000	10	11007	43101007	44101007	54101000:1;62000001:17;62000002:17;61000001:17;61000002:17;61000003:17;	10	500000
55101000	10	11007	44101007	45101007	55101000:1;64000001:20;62000001:20;62000002:20;62000003:20;61000001:18;	10	1000000
56101000	10	11007	45101007	0
51101000	10	31008	0	41101008	51101000:1;60000001:9;60000002:9;60000003:7;	0	10000
52101000	10	31008	41101008	42101008	52101000:1;61000001:12;61000002:11;60000001:12;60000002:12;60000003:10;	10	50000
53101000	10	31008	42101008	43101008	53101000:1;62000001:15;61000001:15;61000002:15;61000003:15;60000001:14;	10	150000
54101000	10	31008	43101008	44101008	54101000:1;62000001:17;62000002:17;61000001:17;61000002:17;61000003:17;	10	500000
55101000	10	31008	44101008	45101008	55101000:1;64000001:20;62000001:20;62000002:20;62000003:20;61000001:18;	10	1000000
56101000	10	31008	45101008	46101008	56101000:1;64000001:22;64000002:24;62000003:20;62000004:20;62000005:23;	10	3000000
51111000	11	21102	0	41111002	51111000:1;60000002:9;60000003:9;60000004:7;	0	10000
52111000	11	21102	41111002	42111002	52111000:1;61000002:12;61000003:11;60000002:10;60000003:12;60000004:10;	10	50000
53111000	11	21102	42111002	43111002	53111000:1;62000002:15;61000002:15;61000003:15;61000004:15;60000002:14;	10	150000
54111000	11	21102	43111002	44111002	54111000:1;62000002:17;62000003:17;61000002:17;61000003:17;61000004:17;	10	500000
55101000	11	21102	44111002	45111002	55111000:1;64000002:20;62000002:18;62000003:18;62000004:18;61000002:18;	10	1000000
56111000	11	21102	45111002	0
51111000	11	41103	0	41111003	51111000:1;60000002:9;60000003:9;60000004:7;	0	10000
52111000	11	41103	41111003	42111003	52111000:1;61000002:12;61000003:11;60000002:10;60000003:12;60000004:10;	10	50000
53111000	11	41103	42111003	43111003	53111000:1;62000002:15;61000002:15;61000003:15;61000004:15;60000002:14;	10	150000
54111000	11	41103	43111003	44111003	54111000:1;62000002:17;62000003:17;61000002:17;61000003:17;61000004:17;	10	500000
55111000	11	41103	44111003	45111003	55111000:1;64000002:20;62000002:18;62000003:18;62000004:18;61000002:18;	10	1000000
56111000	11	41103	45111003	46111003	56111000:1;64000002:22;64000003:24;62000004:20;62000005:20;62000006:23;	10	3000000
