道具组id	道具类型	道具id	道具名称	道具数量	道具权重
fusion_treasure	type	item_id	name	count	weighing
int	int	int	string	int	int
401001	4	1	1000金币	1000	3000
401002	4	1	1000金币	1000	3000
401003	4	1	1000金币	1000	3000
401004	4	1	1000金币	1000	3000
401005	4	1	1000金币	1000	3000
401006	4	1	2000金币	2000	2500
401007	4	1	2000金币	2000	2500
401008	4	1	2000金币	2000	2500
401009	4	1	2000金币	2000	2500
401010	4	1	2000金币	2000	2500
401011	4	1	3500金币	3500	2100
401012	4	1	3500金币	3500	2100
401013	4	1	3500金币	3500	2100
401014	4	1	3500金币	3500	2100
401015	4	1	3500金币	3500	2100
401016	4	1	5000金币	5000	1800
401017	4	1	5000金币	5000	1800
401018	4	1	5000金币	5000	1800
401019	4	1	5000金币	5000	1800
401020	4	1	5000金币	5000	1800
401021	4	1	6000金币	6000	1600
401022	4	1	6000金币	6000	1600
401023	4	1	6000金币	6000	1600
401024	4	1	6000金币	6000	1600
401025	4	1	6000金币	6000	1600
401026	4	1	7000金币	7000	1100
401027	4	1	7000金币	7000	1100
401028	4	1	7000金币	7000	1100
401029	4	1	7000金币	7000	1100
401030	4	1	7000金币	7000	1100
401031	4	1	8000金币	8000	1100
401032	4	1	8000金币	8000	1100
401033	4	1	8000金币	8000	1100
401034	4	1	8000金币	8000	1100
401035	4	1	8000金币	8000	1100
401036	4	1	9000金币	9000	1100
401037	4	1	9000金币	9000	1100
401038	4	1	9000金币	9000	1100
401039	4	1	9000金币	9000	1100
401040	4	1	9000金币	9000	1100
401041	4	1	10000金币	10000	1100
401042	4	1	10000金币	10000	1100
401043	4	1	10000金币	10000	1100
401044	4	1	10000金币	10000	1100
401045	4	1	10000金币	10000	1100
401046	4	1	11000金币	11000	1100
401047	4	1	11000金币	11000	1100
401048	4	1	11000金币	11000	1100
401049	4	1	11000金币	11000	1100
401050	4	1	11000金币	11000	1100
401051	4	1	12000金币	12000	1100
401052	4	1	12000金币	12000	1100
401053	4	1	12000金币	12000	1100
401054	4	1	12000金币	12000	1100
401055	4	1	12000金币	12000	1100
401056	4	1	13000金币	13000	1100
401057	4	1	13000金币	13000	1100
401058	4	1	13000金币	13000	1100
401059	4	1	13000金币	13000	1100
401060	4	1	13000金币	13000	1100
401061	4	1	14000金币	14000	1100
401062	4	1	14000金币	14000	1100
401063	4	1	14000金币	14000	1100
401064	4	1	14000金币	14000	1100
401065	4	1	14000金币	14000	1100
401066	4	1	15000金币	15000	1100
401067	4	1	15000金币	15000	1100
401068	4	1	15000金币	15000	1100
401069	4	1	15000金币	15000	1100
401070	4	1	15000金币	15000	1100
401071	4	1	16000金币	16000	1100
401072	4	1	16000金币	16000	1100
401073	4	1	16000金币	16000	1100
401074	4	1	16000金币	16000	1100
401075	4	1	16000金币	16000	1100
401076	4	1	17000金币	17000	1100
401077	4	1	17000金币	17000	1100
401078	4	1	17000金币	17000	1100
401079	4	1	17000金币	17000	1100
401080	4	1	17000金币	17000	1100
401081	4	1	18000金币	18000	1100
401082	4	1	18000金币	18000	1100
401083	4	1	18000金币	18000	1100
401084	4	1	18000金币	18000	1100
401085	4	1	18000金币	18000	1100
