id	变量名	描述	参数
id	name	describe	value
int	string	string	int
1	roleHurtTime	(毫秒)被击时间	200
2	bossHurtTime	(毫秒)被击时间	200
3	monsterHurtTime	(毫秒)被击时间	300
4	upWudiTime	(毫秒)主角倒地后无敌时间	1500
5	maxAwayNum	最大连续击飞次数	50
6	maxHurtNum	最大连续击伤次数	50
7	PhysicalMax	最大体力值	100
8	Physical	初始体力值	100
9	PhysicalTime	回复一点体力所需时间（秒）	300
10	arenaRankStartLevel	排行榜开启等级；33相逢意气	18
11	dayTaskLevel	日常任务开启等级	15
12	DayTaskNumber	每日任务接受数量	10
13	talentStartLevel	心法开启等级；35战鼓惊天	20
14	boneStartLevel	魂骨开启等级；66援应前军	30
15	titleStartLevel	称号开启等级；	30
16	roleScaleInCity	主城玩家模型比例	1000
17	roleScaleInFuben	副本玩家模型比例	1000
18	roleScaleInWorldBoss	世界Boss玩家模型比例	1000
19	mpMaxValue	蓝条能量满值	200
20	autoAddMp	蓝条每秒自动回复	3
21	atkAddMp	蓝条供给回复	1
22	beHurtAddMp	蓝条被击回复	1
23	roleRunSpeed	角色慢跑速度	350
24	comboNum1	连击数1	50
25	comboNum2	连击数2	100
26	biaoQingSize	表情大小	30
27	biaoQingNum	表情数量	20
28	ckSkill1Distance	刺客技能1距离	430
29	hitBackHeightInAway	击飞后击退高度(>=10)	30
30	hitHeightInAway	击飞后普攻高度(>=10)	20
31	a	主城最大显示人数	60
32	b	主城最小显示人数	30
33	c	主城模型持续时间（分钟）	30
34	GreenEquipment	绿色装备合成蓝色装备成功率（万分比，以下都是）	2000
35	BlueEquipment	蓝色装备合成黄色装备成功率	1500
36	YellowEquipment	黄色装备合成紫色装备成功率	1000
37	PurpleEquipment	紫色装备合成橙色装备成功率	500
38	OrangeEquipment	橙色装备合成银色装备成功率	100
39	PlayerBackpack	玩家背包上限	200
40	CardBackpack	卡牌背包默认上限	50
41	CardBackpackMax	卡牌背包购买最大上限	999
42	CardBackpackPrice	购买卡牌背包价格	100
43	MaxChallenge	天梯最大挑战次数	10
44	ChallengeTime	每点挑战次数的恢复时间	7200
45	WinIntegral	挑战胜利获得积分	3
46	WinHonor	挑战胜利获得荣誉点	5
47	LoseIntegral	挑战失败获得积分	0
48	LoseHonor	挑战失败获得荣誉点	2
49	LadderPVP	天梯碰到人的最低分数	30
50	HpBarMaxDisplayValue	HP条最大可显示值	1000
51	LevelgroupStart1	日常任务第一档开启等级	15
52	LevelgroupEnd1	日常任务第一档结束等级	19
53	LevelgroupStart2	日常任务第二档开启等级	20
54	LevelgroupEnd2	日常任务第二档结束等级	29
55	LevelgroupStart3	日常任务第三档开启等级	30
56	LevelgroupEnd3	日常任务第三档结束等级	44
57	LevelgroupStart4	日常任务第四档开启等级	45
58	LevelgroupEnd4	日常任务第四档结束等级	59
59	LevelgroupStart5	日常任务第五档开启等级	60
60	LevelgroupEnd5	日常任务第五档结束等级	100
61	Appraisal3	达成三星评价所需血量（万分比）	8500
62	Appraisal2	达成二星评价所需血量（万分比）	7000
63	Physicalbuylimit	体力购买次数上限	15
64	FreeCard	免费抽卡倒计时（小时）	24
65	EndlessTower	无尽塔购买价格（钻石）	600
66	ExpTower	经验塔购买价格（钻石）	300
67	MoneyTower	金钱塔购买价格（钻石）	300
68	club_number	俱乐部挑战赛最大挑战次数	10
69	washlock1	锁定洗练属性第1次消耗	50
