唯一标识	魔力珠ID	效能提升等级	消费魔力残骸量
ID	MagicID	LV	Cost
int	int	int	int
10	86001001	1	5
20	86001001	2	10
30	86001001	3	15
40	86001001	4	20
50	86001001	5	25
60	86001001	6	30
70	86001001	7	35
80	86001001	8	40
90	86001001	9	45
100	86001001	10	50
110	86001002	1	15
120	86001002	2	20
130	86001002	3	25
140	86001002	4	30
150	86001002	5	35
160	86001002	6	40
170	86001002	7	45
180	86001002	8	50
190	86001002	9	55
200	86001002	10	60
210	86001003	1	25
220	86001003	2	30
230	86001003	3	35
240	86001003	4	40
250	86001003	5	45
260	86001003	6	50
270	86001003	7	55
280	86001003	8	60
290	86001003	9	65
300	86001003	10	70
310	86001004	1	5
320	86001004	2	10
330	86001004	3	15
340	86001004	4	20
350	86001004	5	25
360	86001004	6	30
370	86001004	7	35
380	86001004	8	40
390	86001004	9	45
400	86001004	10	50
410	86001005	1	15
420	86001005	2	20
430	86001005	3	25
440	86001005	4	30
450	86001005	5	35
460	86001005	6	40
470	86001005	7	45
480	86001005	8	50
490	86001005	9	55
500	86001005	10	60
510	86001006	1	25
520	86001006	2	30
530	86001006	3	35
540	86001006	4	40
550	86001006	5	45
560	86001006	6	50
570	86001006	7	55
580	86001006	8	60
590	86001006	9	65
600	86001006	10	70
610	86001007	1	5
620	86001007	2	10
630	86001007	3	15
640	86001007	4	20
650	86001007	5	25
660	86001007	6	30
670	86001007	7	35
680	86001007	8	40
690	86001007	9	45
700	86001007	10	50
710	86001008	1	15
720	86001008	2	20
730	86001008	3	25
740	86001008	4	30
750	86001008	5	35
760	86001008	6	40
770	86001008	7	45
780	86001008	8	50
790	86001008	9	55
800	86001008	10	60
810	86001009	1	25
820	86001009	2	30
830	86001009	3	35
840	86001009	4	40
850	86001009	5	45
860	86001009	6	50
870	86001009	7	55
880	86001009	8	60
890	86001009	9	65
900	86001009	10	70
910	86001010	1	30
920	86001010	2	35
930	86001010	3	40
940	86001010	4	45
950	86001010	5	50
960	86001010	6	55
970	86001010	7	60
980	86001010	8	65
990	86001010	9	70
1000	86001010	10	80
1010	86001011	1	30
1020	86001011	2	35
1030	86001011	3	40
1040	86001011	4	45
1050	86001011	5	50
1060	86001011	6	55
1070	86001011	7	60
1080	86001011	8	65
1090	86001011	9	70
1100	86001011	10	80
1111	87000000	1	10
1112	87000000	2	100
1113	87000000	3	200
1114	87000000	4	1000
1115	87000000	5	2000
1116	87000000	6	3000
1117	87000000	7	5000
1118	87000000	8	10000
1119	87000000	9	20000
1120	87200001	1	10
1121	87200001	2	100
1122	87200001	3	200
1123	87200001	4	1000
1124	87200001	5	2000
1125	87200001	6	3000
1126	87200001	7	5000
1127	87200001	8	10000
1128	87200001	9	20000
1129	87400002	1	10
1130	87400002	2	100
1131	87400002	3	200
1132	87400002	4	1000
1133	87400002	5	2000
1134	87400002	6	3000
1135	87400002	7	5000
1136	87400002	8	10000
1137	87400002	9	20000
1138	87000003	1	10
1139	87000003	2	100
1140	87000003	3	200
1141	87000003	4	1000
1142	87000003	5	2000
1143	87000003	6	3000
1144	87000003	7	5000
1145	87000003	8	10000
1146	87000003	9	20000
1147	87200004	1	10
1148	87200004	2	100
1149	87200004	3	200
1150	87200004	4	1000
1151	87200004	5	2000
1152	87200004	6	3000
1153	87200004	7	5000
1154	87200004	8	10000
1155	87200004	9	20000
1156	87400005	1	10
1157	87400005	2	100
1158	87400005	3	200
1159	87400005	4	1000
1160	87400005	5	2000
1161	87400005	6	3000
1162	87400005	7	5000
1163	87400005	8	10000
1164	87400005	9	20000
1165	87000006	1	10
1166	87000006	2	100
1167	87000006	3	200
1168	87000006	4	1000
1169	87000006	5	2000
1170	87000006	6	3000
1171	87000006	7	5000
1172	87000006	8	10000
1173	87000006	9	20000
1174	87200007	1	10
1175	87200007	2	100
1176	87200007	3	200
1177	87200007	4	1000
1178	87200007	5	2000
1179	87200007	6	3000
1180	87200007	7	5000
1181	87200007	8	10000
1182	87200007	9	20000
1183	87400008	1	10
1184	87400008	2	100
1185	87400008	3	200
1186	87400008	4	1000
1187	87400008	5	2000
1188	87400008	6	3000
1189	87400008	7	5000
1190	87400008	8	10000
1191	87400008	9	20000
1192	87000009	1	10
1193	87000009	2	100
1194	87000009	3	200
1195	87000009	4	1000
1196	87000009	5	2000
1197	87000009	6	3000
1198	87000009	7	5000
1199	87000009	8	10000
1200	87000009	9	20000
1201	87200010	1	10
1202	87200010	2	100
1203	87200010	3	200
1204	87200010	4	1000
1205	87200010	5	2000
1206	87200010	6	3000
1207	87200010	7	5000
1208	87200010	8	10000
1209	87200010	9	20000
1210	87400011	1	10
1211	87400011	2	100
1212	87400011	3	200
1213	87400011	4	1000
1214	87400011	5	2000
1215	87400011	6	3000
1216	87400011	7	5000
1217	87400011	8	10000
1218	87400011	9	20000
1219	87000012	1	10
1220	87000012	2	100
1221	87000012	3	200
1222	87000012	4	1000
1223	87000012	5	2000
1224	87000012	6	3000
1225	87000012	7	5000
1226	87000012	8	10000
1227	87000012	9	20000
1228	87200013	1	10
1229	87200013	2	100
1230	87200013	3	200
1231	87200013	4	1000
1232	87200013	5	2000
1233	87200013	6	3000
1234	87200013	7	5000
1235	87200013	8	10000
1236	87200013	9	20000
1237	87400014	1	10
1238	87400014	2	100
1239	87400014	3	200
1240	87400014	4	1000
1241	87400014	5	2000
1242	87400014	6	3000
1243	87400014	7	5000
1244	87400014	8	10000
1245	87400014	9	20000
1246	87000015	1	10
1247	87000015	2	100
1248	87000015	3	200
1249	87000015	4	1000
1250	87000015	5	2000
1251	87000015	6	3000
1252	87000015	7	5000
1253	87000015	8	10000
1254	87000015	9	20000
1255	87200016	1	10
1256	87200016	2	100
1257	87200016	3	200
1258	87200016	4	1000
1259	87200016	5	2000
1260	87200016	6	3000
1261	87200016	7	5000
1262	87200016	8	10000
1263	87200016	9	20000
1264	87400017	1	10
1265	87400017	2	100
1266	87400017	3	200
1267	87400017	4	1000
1268	87400017	5	2000
1269	87400017	6	3000
1270	87400017	7	5000
1271	87400017	8	10000
1272	87400017	9	20000
1273	87000018	1	10
1274	87000018	2	100
1275	87000018	3	200
1276	87000018	4	1000
1277	87000018	5	2000
1278	87000018	6	3000
1279	87000018	7	5000
1280	87000018	8	10000
1281	87000018	9	20000
1282	87200019	1	10
1283	87200019	2	100
1284	87200019	3	200
1285	87200019	4	1000
1286	87200019	5	2000
1287	87200019	6	3000
1288	87200019	7	5000
1289	87200019	8	10000
1290	87200019	9	20000
1291	87400020	1	10
1292	87400020	2	100
1293	87400020	3	200
1294	87400020	4	1000
1295	87400020	5	2000
1296	87400020	6	3000
1297	87400020	7	5000
1298	87400020	8	10000
1299	87400020	9	20000
1300	87000021	1	10
1301	87000021	2	100
1302	87000021	3	200
1303	87000021	4	1000
1304	87000021	5	2000
1305	87000021	6	3000
1306	87000021	7	5000
1307	87000021	8	10000
1308	87000021	9	20000
1309	87200022	1	10
1310	87200022	2	100
1311	87200022	3	200
1312	87200022	4	1000
1313	87200022	5	2000
1314	87200022	6	3000
1315	87200022	7	5000
1316	87200022	8	10000
