商城ID	出售分类1（1元宝、2绑定元宝、3折扣）	出售分类1名称	出售分类2（1热卖、2宝石、3魂骨、4消耗、5礼包）	出售分类2名称	物品ID	数量	交易货币类型(0金币;1元宝;2绑定元宝;3物品兑换)	交易限制类型(0不限制;1个人数量限制;2集体数量限制)	价格
id	type	typeName	subtype	subtypeName	itemid	num	coinType	limitType	price
int	int	string	int	string	int	int	int	int	int
1	1	元宝	1	热卖	30000	5	1	0	48
2	1	元宝	1	热卖	12001	1	1	0	48
3	1	元宝	1	热卖	12003	1	1	0	88
4	1	元宝	1	热卖	15029	1	1	0	45
5	1	元宝	1	热卖	15035	1	1	0	88
6	2	绑定元宝	1	热卖	30000	5	2	0	48
7	1	元宝	2	锻造	15029	1	1	0	45
8	1	元宝	2	锻造	15035	1	1	0	88
9	1	元宝	3	传承	12001	1	1	0	48
10	1	元宝	3	传承	12003	1	1	0	88
11	1	元宝	3	传承	12005	1	1	0	128
12	1	元宝	3	传承	12007	1	1	0	168
13	1	元宝	4	称号	25001	1	1	0	50
14	1	元宝	4	称号	25002	1	1	0	50
15	1	元宝	4	称号	25003	1	1	0	50
16	1	元宝	4	称号	25004	1	1	0	50
17	1	元宝	4	称号	25005	1	1	0	50
18	1	元宝	4	称号	25006	1	1	0	50
19	1	元宝	4	称号	25007	1	1	0	50
20	1	元宝	4	称号	25008	1	1	0	50
21	1	元宝	4	称号	25009	1	1	0	50
22	1	元宝	4	称号	25010	1	1	0	50
23	1	元宝	4	称号	25011	1	1	0	50
24	1	元宝	4	称号	25012	1	1	0	50
25	1	元宝	4	称号	25013	1	1	0	50
26	1	元宝	4	称号	25014	1	1	0	50
27	1	元宝	4	称号	25015	1	1	0	50
