怪物ID	对象类型	名称	怪物头像资源	二级名称	外观	血条	闲聊对话	地位	是否稀有	等级	类型	生命值	物理攻击	物理防御	魔法攻击	魔法防御	物理暴击	魔法暴击	物理暴击抵抗	魔法暴击抵抗	命中率	闪避率	格挡率	格挡值	职业	经验值	随身BUFF1	随身BUFF2	随身BUFF3	随身BUFF4	随身BUFF5	速度	AI	追踪频率	AI激活距离	出生动作	普通攻击	技能1	技能2	技能3	技能4	技能5	技能6	技能7	技能8	技能9	技能10	技能11	技能12	技能13	技能14	普通攻击权重	技能1权重	技能2权重	技能3权重	技能4权重	技能5权重	技能6权重	技能7权重	技能8权重	技能9权重	起身技能概率	反击技能概率	围绕最小距离	围绕最大距离	获得声望	金币掉落数量限制	道具掉落数量限制	阵营	刷新广播	击杀广播	不被击退	不被击飞	不被打断	攻击强制开始时间	模型大小比例	属性自适应
id	type	name	head	subname	appear	blood	chat	obj_status	rare	level	race	hp	phyAtk	phyDef	magAtk	magDef	phycritical	magcritical	phyresistance	magresistance	hit	away	parry	parryvalue	profession	empirical	buff1	buff2	buff3	buff4	buff5	speed	aiscript	traceFreq	activeDist	born	normal_skill	skill1	skill2	skill3	skill4	skill5	skill6	skill7	skill8	skill9	skill10	skill11	skill12	skill13	skill14	normal_fun	fun1	fun2	fun3	fun4	fun5	fun6	fun7	fun8	fun9	standSkillRate	beatbackRate	minAtkRange	maxAtkRange	reputation	gold_count	item_count	camp	refreshID	killID	noBeHurtBackRate	noBeAwayRate	noBeHitRate	forceAtkTime	scale	attrAdapt
int	int	string	string	int	int	int	int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	int	int	int	int	int	int	int	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	int	int	int	string	string	int	int	int	int	float	int
10001	2	冯宪君		0	10001		0	0		1		500	1	56	1	56	0	0	5	5	10	0	0	8000	0	0	0	0	0	0	0	300	300101	0	800	monster_001_non_born_0	0	0														100	100	100								250	250					0	0			0	0	0	0	1	0
10002	2	关榕飞		0	10002		0	0		1		500	1	56	1	56	0	0	5	5	10	0	0	8000	0	0	0	0	0	0	0	0	300201	0	800	monster_001_non_born_0	0															100	100	100								250	250					0	0			0	0	0	0	1	0
10003	2	神秘商人		0	10003		0	0		1		500	1	56	1	56	0	0	5	5	10	0	0	8000	0	0	0	0	0	0	0	0	300301	0	800	monster_001_non_born_0	0	0														100	100	100								250	250					0	0			0	0	0	0	1	0
10004	2	苏沐秋		0	10004		0	0		1		500	1	56	0	56	0	0	5	5	10	0	0	8000	0	0	0	0	0	0	0	0	300401	0	800	monster_001_non_born_0	0	0														100	100	100								250	250					0	0			0	0	0	0	1	0
10005	2	陶轩		0	10005		0	0		1		500	1	56	0	56	0	0	5	5	10	0	0	8000	0	0	0	0	0	0	0	0	300501	0	800	monster_001_non_born_0	0	0														100	100	100								100	110					0	0			0	0	0	0	1	0
10006	2	肖时钦		0	10006		0	0		1		500	1	56	0	56	0	0	5	5	10	0	0	8000	0	0	0	0	0	0	0	0	300601	0	800	monster_001_non_born_0	0	0														100	100	100								100	110					0	0			0	0	0	0	1	0
10007	2	叶修		0	10007		0	0		1		500	1	56	0	56	0	0	5	5	10	0	0	8000	0	0	0	0	0	0	0	0	300701	0	800	monster_001_non_born_0	0	0														100	100	100								100	110					0	0			0	0	0	0	1	0
100101	3	哥布林	monster_GBL.png	0	100105	1	0	2		1	0	320	2	3	0	3	2	0	1	1	10	0	0	8000	0	0	0	0	0	0	0	150	100101	2000	100	monster_001_naked_born_0	21001016															100	0	0								0	0	110	200		100	1	1			0	0	0	2000	0.9	0
100102	3	哥布林	monster_GBL.png	0	100105	1	0	2		1	0	320	2	3	0	3	2	0	1	1	10	0	0	8000	0	0	0	0	0	0	0	150	2003	2000	1024	monster_001_naked_born_0	21001016															100	0	0								0	0	100	300		100	1	1			0	0	0	2000	0.9	0
100103	3	哥布林	monster_GBL.png	0	100105	1	0	2		1	0	320	2	3	0	3	2	0	1	1	10	0	0	8000	0	0	0	0	0	0	0	150	2003	1000	1024	monster_001_naked_born_0	21001016															100	0	0								0	0	110	250		100	1	1			0	0	0	2000	0.9	0
100201	3	哥布林	monster_GBL.png	0	100105	1	0	2		2	0	450	5	5	0	5	3	0	1	1	30	0	0	8000	0	0	0	0	0	0	0	150	2003	2000	1024	monster_001_naked_born_0	21001016															100	0	0								0	0	110	200		100	1	1			0	0	0	2000	0.9	0
100202	3	投掷哥布林	monster_GBL.png	0	101601	1	0	2		2	0	450	5	5	0	5	3	0	1	1	30	0	0	8000	0	0	0	0	0	0	0	150	2004	2000	1024	monster_007_born_0	21007001															100	0	0								0	0	100	600		100	1	1			0	0	0	2000	0.9	0
100203	3	哥布林精英	monster_GBLJY.png	0	102801	1	0	1		2	0	675	6	6	0	6	2	0	1	1	30	0	0	8000	0	0	0	0	0	0	0	160	2001	400	1024	monster_018_born	21018001	21018002									21018005					100	300	0								0	100	80	300		100	1	1			0	0	0	2000	1.1	0
100301	3	哥布林	monster_GBL.png	0	100105	1	0	2		3	0	570	7	7	0	7	5	0	2	2	45	0	0	8000	0	0	0	0	0	0	0	150	2001	2000	1024	monster_001_naked_born_0	21001016															100	0	0								0	0	110	200		100	1	1			0	0	0	2000	0.9	0
100302	3	哥布林精英	monster_GBLJY.png	0	102801	1	0	2		3	0	570	6	8	0	8	3	0	2	2	45	0	0	8000	0	0	0	0	0	0	0	150	2001	400	1024	monster_018_born	21018001															100	0	0								0	0	110	200		100	1	1			0	0	0	2000	0.9	0
100303	3	炸弹哥布林	monster_ZDGBL.png	0	102001	1	0	1		3	0	770	0	7	10	7	0	3	2	2	45	0	0	8000	0	0	0	0	0	0	0	200	2002	400	1024	monster_010_born_0	21010001	21010008									21010004	21010007				100	0	0								0	100	800	900		100	1	1			0	0	0	2000	0.9	0
100401	3	投掷哥布林	monster_TZGBL.png	0	101601	1	0	2		4	0	720	0	8	9	8	0	4	4	4	60	0	0	8000	0	0	0	0	0	0	0	135	2004	870	1500	monster_007_born_0	21007001															200	200	100								0	0	175	450		100	1	1			0	0	0	2000	1	0
100402	3	炸弹哥布林	monster_ZDGBL.png	0	102001	1	0	2		4	0	720	0	8	10	8	0	4	4	4	60	0	0	8000	0	0	0	0	0	0	0	200	2002	400	1024	monster_010_born_0	21010001															100	0	0								0	0	800	900		100	1	1			0	0	0	2000	0.9	0
100403	3	黄金铠甲哥布林	monster_GBL.png	0	100103	4	0	0		4	0	10800	59	25	0	28	6	0	4	4	60	0	0	8000	0	0	0	0	0	0	0	700	2002	400	1024	monster_001_yellow_born_0	21001005															100	0	0								0	150	600	900		100	1	1			0	0	0	2000	1	0
100501	3	哥布林	monster_GBL.png	0	100105	1	0	2		5	0	910	22	11	0	11	12	0	9	9	114	0	0	8000	0	0	0	0	0	0	0	150	2003	2000	1024	monster_001_naked_born_0	21001016															100	0	0								0	0	110	200		100	1	1			0	0	0	2000	0.9	0
100502	3	投掷哥布林	monster_TZGBL.png	0	101601	1	0	2		5	0	819	0	11	20	11	0	8	9	9	114	0	0	8000	0	0	0	0	0	0	0	115	2004	800	1024	monster_007_born_0	21007001															100	100	0								0	0	180	750		100	1	1			0	0	0	2000	1	0
100503	3	炸弹哥布林	monster_ZDGBL.png	0	102001	1	0	1		5	0	1229	0	10	30	10	0	7	9	9	114	0	0	8000	0	0	0	0	0	0	0	150	2002	400	1024	monster_010_born_0	21010001	21010008									21010007					100	0	0								0	0	800	900		100	1	1			0	0	0	2000	0.9	0
100601	3	哥布林精英	monster_GBLJY.png	0	102801	1	0	2		6	0	1800	22	11	0	12	10	0	50	50	129	0	0	8000	0	0	0	0	0	0	0	150	2001	400	1024	monster_018_born	21018001															100	0	0								0	0	110	200		100	1	1			0	0	0	2000	0.9	0
100602	3	火焰哥布林	monster_GBL.png	0	100102	1	0	1		6	0	2100	32	12	0	12	15	0	50	50	129	0	0	8000	0	0	0	0	0	0	0	170	2001	400	1024	monster_001_red_born_1	21001003	21001014									21001101	21001102				100	300	0								0	100	80	300		100	1	1			0	0	0	2000	1	0
100603	3	冰霜哥布林	monster_GBL.png	0	100104	2	0	1		6	0	2100	32	12	0	12	15	0	50	50	129	0	0	8000	0	0	0	0	0	0	0	140	2001	1000	1024	monster_001_blue_born_2	21001007	21001017									21001103	21001104				400	0	0								0	100	600	900		100	1	1			0	0	0	2000	1	0
100701	3	炸弹哥布林	monster_ZDGBL.png	0	102001	1	0	2		7	0	1890	0	11	28	11	0	10	91	91	144	0	0	8000	0	0	0	0	0	0	0	150	2002	400	1024	monster_010_born_0	21010001															100	0	0								0	0	800	900		100	1	1			0	0	0	2000	0.9	0
100702	3	黄金哥布林	monster_GBL.png	0	100103	1	0	1		7	0	2850	35	14	0	14	17	0	91	91	144	0	0	8000	0	0	0	0	0	0	0	700	2002	400	1024	monster_001_yellow_born_0	21001005															100	0	0								0	0	600	900		100	1	1			0	0	0	2000	1	0
100703	3	黄金哥布林	monster_GBL.png	0	100103	1	0	2		7	0	2100	26	12	0	12	17	0	91	91	144	0	0	8000	0	0	0	0	0	0	0	700	2003	400	1024	monster_001_yellow_born_0	21001005															100	0	0								0	0	600	900		100	1	1			0	0	0	2000	1	0
100801	3	火焰哥布林	monster_GBL.png	0	100102	1	0	1		8	0	3600	39	14	0	15	20	0	132	132	159	0	0	8000	0	0	0	0	0	0	0	170	2001	400	1024	monster_001_red_born_1	21001003	21001014									21001101	21001102				100	300	0								0	100	80	300		100	1	1			0	0	0	2000	1	0
100802	3	冰霜哥布林	monster_GBL.png	0	100104	2	0	1		8	0	3600	39	14	0	15	20	0	132	132	159	0	0	8000	0	0	0	0	0	0	0	140	2001	1000	1024	monster_001_blue_born_2	21001007	21001017									21001103	21001104				400	0	0								0	100	600	900		100	1	1			0	0	0	2000	1	0
100803	3	猫妖	monster_MN.png	0	100301	6	0	0		8	0	66000	176	99	0	103	13	0	132	132	159	0	0	8000	0	0	0	0	0	0	0	220	100301	1100	2048	monster_012_born_0	21012001	21012002									21012005					100	100	0								0	0	250	450		100	1	1			0	0	0	2000	1	0
100901	3	投掷哥布林	monster_TZGBL.png	0	101601	1	0	2		9	0	2430	0	15	30	15	0	15	172	172	174	0	0	8000	0	0	0	0	0	0	0	135	101702	870	1500	monster_007_born_0	21007001	21007003														200	200	100								0	0	175	450		100	1	1			0	0	0	2000	1	0
100902	3	哥布林精英	monster_GBLJY.png	0	102801	1	0	1		9	0	4335	38	18	0	18	15	0	172	172	174	0	0	8000	0	0	0	0	0	0	0	160	2001	400	1024	monster_018_born	21018001	21018002	21018003													100	300	0								0	100	80	300		100	1	1			0	0	0	2000	1.1	0
100903	3	猫妖	monster_MN.png	0	100301	2	0	2		9	0	2700	31	17	0	15	15	0	172	172	174	0	0	8000	0	0	0	0	0	0	0	220	100301	1100	2048	monster_012_born_0	21012001	21012002														100	100	0								0	0	250	450		100	1	1			0	0	0	2000	1	0
101001	3	猫妖	monster_MN.png	0	100301	2	0	2		10	0	3200	46	18	0	16	20	0	284	284	215	0	0	8000	0	0	0	0	0	0	0	220	100301	1100	2048	monster_012_born_0	21012001															100	100	0								0	0	250	450		100	1	1			0	0	0	2000	1	0
101002	3	利爪猫妖	monster_MN.png	0	100301	1	0	1		10	0	5100	63	19	0	18	20	0	284	284	215	0	0	8000	0	0	0	0	0	0	0	220	2002	1100	2048	monster_012_born_0	21012001	21012008									21012005	21012005	21012006			100	100	0								0	100	250	450		100	1	1			0	0	0	2000	0.9	0
101101	3	猫妖	monster_MN.png	0	100301	2	0	2		10	0	3500	56	25	0	24	22	0	284	284	215	0	0	8000	0	0	0	0	0	0	0	220	100301	1100	2048	monster_012_born_0	21012001										21012005					100	100	0								0	0	250	450		100	1	1			0	0	0	2000	1	0
101102	3	利爪猫妖	monster_MN.png	0	100301	1	0	2		10	0	3500	56	25	0	24	22	0	284	284	215	0	0	8000	0	0	0	0	0	0	0	220	2002	1100	2048	monster_012_born_0	21012001	21012008														100	100	0								0	50	250	450		100	1	1			0	0	0	2000	1	0
101103	3	龙女	monster_LN.png	0	100401	1	0	1		10	0	5100	0	26	71	27	0	22	284	284	215	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011002														100	100	0								0	100	700	950		100	1	1			0	0	0	2000	1	0
101201	3	猫妖	monster_MN.png	0	100301	2	0	2		10	0	4000	65	31	0	29	23	0	284	284	215	0	0	8000	0	0	0	0	0	0	0	220	100301	1100	2048	monster_012_born_0	21012001										21012005					100	100	0								0	0	250	450		100	1	1			0	0	0	2000	1	0
101202	3	龙女	monster_LN.png	0	100401	1	0	1		10	0	5100	0	35	83	36	0	23	284	284	215	0	0	8000	0	0	0	0	0	0	0	110	2001	1200	1024	monster_011_born_0	21011001	21011002	21011007													100	100	0								0	0	700	950		100	1	1			0	0	0	2000	1	0
