唯一ID	类型	物品ID	数量	产出时间	概率	货币影响	保底权重	全十保底	性格材料标准	性格材料标准区间	递减值	产出地点编号	产出地点提示	产出名言
ID	type	item_id	num	time	probability	influence	Proportion1	Proportion2	material	section	descending	Tips1	Tips2	dictum
int	int	int	int	int	float	int	float	float	string	string	float	int	string	string
1	3	41203	10	60	0.17	0			30000001:6;30000002:7;30000003:7;30000004:3;30000005:8;30000006:5;	30000001:8:4;30000002:9:5;30000003:9:5;30000004:5:1;30000005:10:6;30000006:7:3;	0.0078	11	悬空城堡	我不会输！战斗还没有结束！
2	3	42006	10	30	0.17	0			30000001:1;30000002:8;30000003:2;30000004:6;30000005:5;30000006:7;	30000001:3:1;30000002:10:6;30000003:4:1;30000004:8:4;30000005:7:1;30000006:9:5;	0.0078	11	悬空城堡	有幸遇到你，最了不起的你。
3	3	42203	10	75	0.17	0			30000001:5;30000002:7;30000003:4;30000004:4;30000005:5;30000006:4;	30000001:6:4;30000002:8:6;30000003:5:3;30000004:5:3;30000005:6:4;30000006:5:3;	0.0078	9	光之领域	有点遗憾，我已经尽力了。
4	2	21202	1	60	0.079	0	557.2	428.6	30000001:6;30000002:7;30000003:3;30000004:2;30000005:5;30000006:1;	30000001:8:4;30000002:9:5;30000003:5:1;30000004:4:1;30000005:7:3;30000006:3:1;	0	5	游魂墓地	看准机会就出手。
5	2	21302	1	75	0.079	0	557.2	428.6	30000001:8;30000002:3;30000003:10;30000004:7;30000005:2;30000006:1;	30000001:10:6;30000002:5:1;30000003:10:8;30000004:9:5;30000005:4:1;30000006:3:1;	0	5	游魂墓地	老子非把你打成包子不成。
6	2	21303	1	75	0.079	0	557.1	428.6	30000001:9;30000002:2;30000003:3;30000004:8;30000005:2;30000006:4;	30000001:10:7;30000002:4:1;30000003:5:1;30000004:10:6;30000005:4:1;30000006:6:2;	0	7	冷寂之窟	怕了吧。
7	2	22004	1	30	0.079	0	557.1	428.6	30000001:8;30000002:3;30000003:7;30000004:8;30000005:2;30000006:2;	30000001:10:6;30000002:5:1;30000003:9:5;30000004:10:6;30000005:4:1;30000006:4:1;	0	7	冷寂之窟	就是看你不顺眼。
8	2	22103	1	45	0.079	0	557.1	428.5	30000001:8;30000002:1;30000003:3;30000004:6;30000005:2;30000006:1;	30000001:10:6;30000002:3:1;30000003:5:1;30000004:8:4;30000005:4:1;30000006:3:1;	0	7	冷寂之窟	让你知道我的厉害！
9	2	21102	1	30	0.07	0	557.2	428.6	30000001:6;30000002:6;30000003:3;30000004:8;30000005:2;30000006:3;	30000001:8:4;30000002:8:4;30000003:5:1;30000004:10:6;30000005:4:1;30000006:5:1;	0	4	落日原野	轮到我了。
10	2	24004	1	45	0.07	0	557.1	428.5	30000001:9;30000002:2;30000003:1;30000004:8;30000005:1;30000006:5;	30000001:10:7;30000002:4:1;30000003:3:1;30000004:10:6;30000005:3:1;30000006:7:3;	0	5	游魂墓地	听说你蛮厉害的嘛？来，切磋一下。
11	3	41103	10	30	0.098	0			30000001:9;30000002:6;30000003:3;30000004:9;30000005:4;30000006:4;	30000001:10:7;30000002:8:4;30000003:5:1;30000004:10:7;30000005:6:2;30000006:6:2;	0.0046	2	无法地带	你的纪录到此为止了。
12	3	43202	10	60	0.098	0			30000001:7;30000002:5;30000003:3;30000004:6;30000005:3;30000006:7;	30000001:9:5;30000002:7:1;30000003:5:1;30000004:8:4;30000005:5:1;30000006:9:1;	0.0046	11	悬空城堡	准备好了，一起上！
13	2	31304	1	75	0.066	0	80	300	30000001:8;30000002:3;30000003:7;30000004:8;30000005:3;30000006:1;	30000001:10:6;30000002:5:1;30000003:9:5;30000004:10:6;30000005:5:1;30000006:3:1;	0.0021	1	远古遗迹	我很自信。
14	2	32104	1	45	0.066	0	80	300	30000001:7;30000002:6;30000003:2;30000004:5;30000005:2;30000006:3;	30000001:9:5;30000002:8:4;30000003:4:1;30000004:7:3;30000005:4:1;30000006:5:1;	0.0021	9	光之领域	好讨厌啊。
15	2	32202	1	75	0.066	0	80	300	30000001:8;30000002:4;30000003:3;30000004:8;30000005:3;30000006:4;	30000001:10:6;30000002:6:2;30000003:5:1;30000004:10:6;30000005:5:1;30000006:6:2;	0.0021	3	火龙之巢	还不打算放弃吗？
16	2	11099	1	45	0.066	0			30000001:3;30000002:3;30000003:3;30000004:3;30000005:3;30000006:3;	30000001:10:1;30000002:10:1;30000003:10:1;30000004:10:1;30000005:10:1;30000006:10:1;	0.0043	1	远古遗迹	吃掉我，能获得不少经验。
17	3	43102	10	45	0.083	0			30000001:9;30000002:2;30000003:2;30000004:8;30000005:1;30000006:10;	30000001:10:7;30000002:4:1;30000003:4:1;30000004:10:6;30000005:3:1;30000006:10:8;	0.0039	5	游魂墓地	吃我一板砖。
18	3	44003	10	45	0.083	0			30000001:10;30000002:8;30000003:1;30000004:10;30000005:1;30000006:5;	30000001:10:8;30000002:10:6;30000003:3:1;30000004:10:8;30000005:3:1;30000006:7:3;	0.0039	7	冷寂之窟	这种拼尽全力的感觉，也是不错的。
19	2	32005	1	30	0.058	0	80	300	30000001:4;30000002:9;30000003:4;30000004:4;30000005:9;30000006:7;	30000001:6:2;30000002:10:7;30000003:6:2;30000004:6:2;30000005:10:7;30000006:9:5;	0.0019	1	远古遗迹	稳住，不要急着进攻。
20	2	12002	1	30	0.049	0	1425	999.7475	30000001:7;30000002:3;30000003:2;30000004:6;30000005:1;30000006:1;	30000001:9:5;30000002:5:1;30000003:4:1;30000004:8:4;30000005:3:1;30000006:3:1;	0	10	痛苦之村	我们公会不会放过你们的！
21	2	12003	1	30	0.049	0	1425	999.7475	30000001:4;30000002:6;30000003:2;30000004:2;30000005:5;30000006:7;	30000001:6:2;30000002:8:4;30000003:4:1;30000004:4:1;30000005:7:3;30000006:9:5;	0	8	圣湖之畔	大神好厉害！
22	2	12102	1	45	0.049	0	1425	999.7475	30000001:6;30000002:1;30000003:5;30000004:2;30000005:5;30000006:2;	30000001:8:4;30000002:3:1;30000003:7:3;30000004:4:1;30000005:7:3;30000006:4:1;	0	5	游魂墓地	有人偷袭。
23	3	51006	10	45	0.036	0			30000001:9;30000002:8;30000003:2;30000004:8;30000005:2;30000006:6;	30000001:10:7;30000002:10:6;30000003:4:1;30000004:10:6;30000005:4:1;30000006:8:4;	0.0024	11	悬空城堡	唯快不破！
24	3	54102	10	30	0.036	0			30000001:5;30000002:5;30000003:2;30000004:6;30000005:8;30000006:6;	30000001:10:3;30000002:7:3;30000003:4:1;30000004:8:4;30000005:10:1;30000006:8:4;	0.0024	11	悬空城堡	敌人真是太狡猾了。
