步骤	节点id	提示语句	遮罩大小	是否有遮罩	动画资源	图片资源	NPC名字	目标ID	前置功能	屏蔽规则
id	backId	wordId	maskRadius	bShowMask	animation	picFilename	npcName	tagId	functionId	shield
int	int	int	string	string	string	string	string	int	int	string
101	101	100101						0	0
102	101	100102				UI_guide_yd_tg.png;240:93		5000	0	摇杆
103	101	100103				yd_csd.png;240:93		5000	0	摇杆
201	201	100201						2001	0	关卡1
202	201	100202						103	0	挑战
301	201	100301			zhandou_zhidingdian;500:250	jiantouzhishi2.png;240:93		0	0	触发小怪
302	201	100302						0	0	普通攻击
303	201	100303			zhandou_zhidingdian;1400:250	jiantouzhishi2.png;240:93		0	0	触发小怪
304	201	100304						1	0	任意攻击
305	401	100305						2	1001	占位
306	401	100306						2002	0	回城
401	401	100401				junmoxiao.png	叶修	1001	102	dialog
402	401	100402						1001	102	技能开启
501	401	100501						106	0	主角
502	401	100502						503	0	技能
503	401	100503						125	0	主角第一个技能，升级
504	601	100504						102	0	第一个天赋
505	601	100505						125	0	升级
506	601	100506						125	0	升级
507	601	100507						125	0	升级
508	601	100508						125	0	升级
509	601	100509						125	0	升级
510	601	100510						100	0	关闭
511	601	100511						101	0	关闭
512	601	100512						99	0	关闭
601	701	100601				junmoxiao.png	叶修		0	dialog
701	701	100701						2002	0	关卡2
702	701	100702						103	0	挑战
703	704	100703						3	1002	占位
704	704	100704						2003	0	选择关卡
705	704	100705						2003	0	关卡3
706	704	100706						103	0	挑战
707	801	100707						4	1003	占位
708	801	100708						2002	0	回城
801	801	100801				junmoxiao.png	叶修	1002	100	dialog
802	801	100802						1002	100	武器强化开启
901	801	100901						503		强化面板
902	801	100902						440	0	强化
903	1001	100903						440	0	强化
904	1001	100904						440	0	强化
905	1001	100905						101	0	关闭
1001	1101	101001				junmoxiao.png	叶修	1	0	dialog
1101	1101	101101						3004	0	关卡4
1102	1101	101102						103	0	挑战
1103	1301	101103						4	1004	占位
1104	1301	101104						2003	0	选择关卡
1301	1301	101301						2005	0	关卡5
1302	1301	101302						103	0	挑战
1303	1401	101303						5	1005	占位
1304	1401	101304						2002	0	回城
1401	1401	101401				junmoxiao.png	叶修	600	111	dialog
1402	1401	101402						600	111	任务开启
1501	1401	101501						10001001	0	领取
1601	1601	101601				junmoxiao.png	叶修	700	112	dialog
1602	1601	101602						700	112	招募开启
1701	1601	101701						510	0	点击探员
1702	1601	101702						2001	0	增加性格材料
1703	1601	101703						2001	0	增加性格材料
1704	1601	101704						2001	0	增加性格材料
1705	1601	101705						301	0	打赏
1706	1601	101706						102	0	派出探员
1707	1601	101707						0	0	点击探员
1708	1601	101708						100	0	加速
1709	1601	101709						0	0	点击探员
1710	1801	101710						0	0	关闭奖励面板
1711	1801	101711						90	0	关闭招募界面
1801	1801	101801				junmoxiao.png	叶修	1003	103	dialog
1802	1801	101802						1003	103	阵容开启
1901	1801	101901						142	0	阵容面板
1902	2001	101902						10	0	拖拽
1903	2001	101903						146	0	拖拽
1904	2001	101904						100	0	关闭
2001	2001	102001						2006	0	关卡6
2002	2001	102002						103	0	挑战
2003	2101	102003						7	1006	占位
2004	2101	102004						2002	0	回城
1201	1301	101201						101	0	一键换装
1202	1301	101202				junmoxiao.png	叶修	1	0	dialog
2101	2101	102101						2007	0	关卡7
2102	2101	102102						103	0	挑战
2103	2201	102103						8	1007	占位
2104	2201	102104						2002	0	回城
2201	2201	102201				junmoxiao.png	叶修	1001	104	dialog
2202	2201	102202						1001	104	训练开启
2301	2201	102301						107	0	人物面板
2302	2201	102302						0	0	滑动
2303	2201	102303						505	0	训练面板
2304	2201	102304						104	0	添加
2305	2201	102305						2001	0	陪练卡
2306	2201	102306						103	0	确定
2307	2201	102307						109	0	训练
2308	2401	102308						101	0	关闭
2309	2401	102309						99	0	关闭
2401	2401	102401				junmoxiao.png	叶修		0	dialog
2501	2501	102501						3008	0	关卡8
2502	2501	102502						103	0	挑战
2503	2601	102503						9	1008	占位
2504	2601	102504						2003	0	选择关卡
2601	2601	102601						2009	0	关卡9
2602	2601	102602						103	0	挑战
2603	2701	102603						10	1009	占位
2604	2701	102604						2002	0	回城
2701	2701	102701				junmoxiao.png	叶修	3002	106	dialog
2702	2701	102702						3002	106	俱乐部开启
2801	2701	102801						105	0	俱乐部面板
2802	2801	102802						105	0	挑战
2803	2820	102803						3002	0	开始战斗
2804	2820	102804						105	0	团队赛
2805	2820	102805						10	0	开始战斗
2806	2820	102806						101	0	奖励
2807	2820	102807						102	0	碎片兑换
2808	2820	102808						101	0	关闭
2809	2820	102809						101	0	关闭
2820	2820	102820				junmoxiao.png	叶修	2002	118	dialog
2821	2820	102821						2002	118	好友开启
2830	2820	102830						2	0	推荐好友
2831	2820	102831						106	0	添加
2832	2901	102832						1000	0	关闭
2901	2905	102901				junmoxiao.png	叶修	1	0	dialog
2902	2905	102902						600	111	任务面板
2903	2905	102903								休止，等待“任务”界面关闭
2904	2905	102904				junmoxiao.png	叶修	1	0	dialog
2905	2905	102905								休止
3001	3001	103001				junmoxiao.png	叶修	3003	108	天梯开启
3002	3001	103002						3003	108	天梯面板
3101	3001	103101						130	0	寻找对手
3102	3001	103102						105	0	开始战斗
3103	3302	103103						10	0	关闭
3201	3001	103201				junmoxiao.png	叶修	1	0	天梯面板
3301	3302	103301						150	0	关闭
3302	3302	103302								休止
3401	3401	103401				junmoxiao.png	叶修	2001	105	卡牌突破开启
3402	3401	103402						90000001		获取指定任务状态
3501	3401	103501						600	90000001	任务面板
3502	3401	103502						90000001		领取
3503	3402	103503						102		关闭
3601	3401	103601						1001		角色面板
3602	3401	103602						31304		指定卡牌
3603	3401	103603								滚动操作
3604	3401	103604						506		突破
3605	3401	103605						103		空槽位
3606	3401	103606						32104		陪练卡
3607	3401	103607						111		确认
3608	3401	103608						110		突破
3609	3609	103609								休止
