道具组id	道具类型	道具id	道具名称	道具数量	道具权重	需求货币类型	需求货币数量
mystery_item_id	type	item_id	name	count	weighing	money	money_count
int	int	int	string	int	int	int	int
60030	1	72000004	初级开孔器	1	10	1	20
60030	1	73000004	中级开孔器	1	10	1	50
60030	1	74000004	高级开孔器	1	10	1	150
60030	1	75000004	顶级开孔器	1	10	1	400
60030	1	72000003	初级武器孔	1	10	0	15000
60035	1	72000004	初级开孔器	1	10	1	20
60035	1	73000004	中级开孔器	1	10	1	50
60035	1	74000004	高级开孔器	1	10	1	150
60035	1	75000004	顶级开孔器	1	10	1	400
60035	1	72000003	初级武器孔	1	10	0	15000
60035	1	73000003	中级武器孔	1	10	0	150000
60045	1	72000004	初级开孔器	1	10	1	20
60045	1	73000004	中级开孔器	1	10	1	50
60045	1	74000004	高级开孔器	1	10	1	150
60045	1	75000004	顶级开孔器	1	10	1	400
60045	1	72000003	初级武器孔	1	10	0	15000
60045	1	73000003	中级武器孔	1	10	0	150000
60045	1	74000003	高级武器孔	1	10	0	1500000
60060	1	72000004	初级开孔器	1	10	1	20
60060	1	73000004	中级开孔器	1	10	1	50
60060	1	74000004	高级开孔器	1	10	1	150
60060	1	75000004	顶级开孔器	1	10	1	400
60060	1	72000003	初级武器孔	1	10	0	15000
60060	1	73000003	中级武器孔	1	10	0	150000
60060	1	74000003	高级武器孔	1	10	0	1500000
60060	1	75000003	顶级武器孔	1	10	0	9000000
50001	1	81001001	雷碎片1	1	10	1	1
50001	1	81002001	雷碎片2	1	10	1	1
50001	1	81003001	雷碎片3	1	10	1	1
50001	1	81004001	雷碎片4	1	10	1	1
50001	1	82001001	火碎片1	1	10	1	1
50001	1	82002001	火碎片2	1	10	1	1
50001	1	82003001	火碎片3	1	10	1	1
50001	1	83001001	冰碎片1	1	10	1	1
50001	1	83002001	冰碎片2	1	10	1	1
50001	1	83003001	冰碎片3	1	10	1	1
50001	1	83004001	冰碎片4	1	10	1	1
50001	1	83005001	冰碎片5	1	10	1	1
50001	1	84001001	光碎片1	1	10	1	1
50001	1	84002001	光碎片2	1	10	1	1
50001	1	84003001	光碎片3	1	10	1	1
50001	1	84004001	光碎片4	1	10	1	1
50001	1	84005001	光碎片5	1	10	1	1
50001	1	84006001	光碎片6	1	10	1	1
50001	1	85001001	暗碎片1	1	10	1	1
50001	1	85002001	暗碎片2	1	10	1	1
50001	1	85003001	暗碎片3	1	10	1	1
50001	1	85004001	暗碎片4	1	10	1	1
50001	1	81001001	雷碎片1	2	10	1	2
