技能唯一ID	技能类型	动画资源名	图标	技能名称	释放距离X	释放纵深	职业所属	等级	开启等级	前置技能	前置技能等级	所需金币	材料1	材料1数量	材料2	材料2数量	品质	冷却	物理伤害比例	魔法伤害比例	物理固定伤害	魔法固定伤害	物理暴击值	魔法暴击值	命中值	技能消耗能量	技能说明	天赋预览	伤害类型	其他属性计算
skill_id	skill_idx	anim_res	icon	name	rangeX	rangeY	occup	level	levellimit	pre_skill_id	pre_skill_lv	gold	item	item_num	item2	item2_num	quality	cd	phy_percent	mag_percent	phy_fix_dmg	mag_fix_dmg	phycritical	magcritical	hit	mp	describe	talent_preview	atk_type	other_type
int	int	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	int	int
10101000	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。		0	0
10101001	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	1	1	0	0	0	71000001	2	72000001	1	1	15000	10013	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]100.1%[txt:size=18 color=white]物理伤害；		0	0
10101002	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	2	2	0	0	0	71000001	3	72000001	2	1	15000	10025	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]100.2%[txt:size=18 color=white]物理伤害；		0	0
10101003	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	3	10	0	0	0	71000001	4	72000001	2	1	15000	10038	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]100.3%[txt:size=18 color=white]物理伤害；		0	0
10101004	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	4	15	0	0	0	71000001	5	72000001	3	1	15000	10050	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]100.5%[txt:size=18 color=white]物理伤害；		0	0
10101005	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	5	20	0	0	0	71000001	6	72000001	4	1	15000	10063	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]100.6%[txt:size=18 color=white]物理伤害；		0	0
10101006	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	6	22	0	0	0	71000001	7	72000001	4	1	15000	10075	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]100.7%[txt:size=18 color=white]物理伤害；		0	0
10101007	1	role_js_skill1	item_skill_1720.png	银光落刃	380	55	10	7	24	0	0	0	71000001	8	72000001	5	1	15000	10088	0	0	0	0	0	0	30	[txt:size=18 color=white]操纵角色快速移动，使用剑进行连续刺击攻击敌人，技能等级越高，造成伤害段数越多。[r]造成[txt:size=18 color=green]100.8%[txt:size=18 color=white]物理伤害；		0	0
