表ID	装备ID	装备等级	装备部位	最小物理攻击	最大物理攻击	最小物理防御	最大物理防御	最小魔法攻击	最大魔法攻击	最小魔法防御	最大魔法防御	最小生命值	最大生命值	最小物理暴击	最大物理暴击	最小魔法暴击	最大魔法暴击	最小物理抗暴击	最大物理抗暴击	最小魔法抗暴击	最大魔法抗暴击	最小格挡率	最大格挡率	最小闪避率	最大闪避率	最小魔法回复率	最大魔法回复率	最小格挡值	最大格挡值	最小命中率	最大命中率	最小血球回复率	最大血球回复率	特殊属性
ID	equipID	Level	equipPart	minAtk	maxAtk	minDef	maxDef	minMagic	maxMagic	minMagicDef	maxMagicDef	minHP	maxHP	minAtkCrit	maxAtkCrit	minMagicCrit	maxMagicCrit	minAtkResistance	maxAtkResistance	minMagicResistance	maxMagicResistance	minBlockRate	maxBlockRate	minDodgeRate	maxDodgeRate	minMPReplyRate	maxMPReplyRate	minBlockData	maxBlockData	minHits	maxHits	minHPReply	maxHPReply	Special
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	0	1	2	0	0	2	20	0	0	0	0	0	0	0	0	2	20	1	13	1	13	0	0	0	0	0	0	0	0	1	13	0	0	0
2	0	1	3	0	0	1	13	0	0	0	0	0	0	2	20	1	13	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	1	4	0	0	0	0	3	26	1	13	39	394	0	0	0	0	0	0	0	0	2	20	0	0	0	0	0	0	0	0	0	0	0
4	0	1	5	3	26	0	0	0	0	2	20	0	0	1	13	0	0	0	0	2	20	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	1	6	4	39	0	0	4	39	0	0	26	263	0	0	0	0	0	0	0	0	1	13	0	0	0	0	0	0	2	20	0	0	0
6	0	5	2	0	0	20	197	0	0	0	0	0	0	0	0	20	197	13	131	13	131	0	0	0	0	0	0	0	0	13	131	0	0	0
7	0	5	3	0	0	13	131	0	0	0	0	0	0	20	197	13	131	20	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	5	4	0	0	0	0	26	263	13	131	394	3938	0	0	0	0	0	0	0	0	20	197	0	0	0	0	0	0	0	0	0	0	0
9	0	5	5	26	263	0	0	0	0	20	197	0	0	13	131	0	0	0	0	20	197	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	5	6	39	394	0	0	39	394	0	0	263	2625	0	0	0	0	0	0	0	0	13	131	0	0	0	0	0	0	20	197	0	0	0
11	0	10	2	0	0	37	374	0	0	0	0	0	0	0	0	37	374	25	249	25	249	0	0	0	0	0	0	0	0	25	249	0	0	0
12	0	10	3	0	0	25	249	0	0	0	0	0	0	37	374	25	249	37	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	0	10	4	0	0	0	0	50	499	25	249	748	7481	0	0	0	0	0	0	0	0	37	374	0	0	0	0	0	0	0	0	0	0	0
14	0	10	5	50	499	0	0	0	0	37	374	0	0	25	249	0	0	0	0	37	374	0	0	0	0	0	0	0	0	0	0	0	0	0
15	0	10	6	75	748	0	0	75	748	0	0	499	4988	0	0	0	0	0	0	0	0	25	249	0	0	0	0	0	0	37	374	0	0	0
16	0	15	2	0	0	55	551	0	0	0	0	0	0	0	0	55	551	37	368	37	368	0	0	0	0	0	0	0	0	37	368	0	0	0
17	0	15	3	0	0	37	368	0	0	0	0	0	0	55	551	37	368	55	551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	15	4	0	0	0	0	74	735	37	368	1103	11025	0	0	0	0	0	0	0	0	55	551	0	0	0	0	0	0	0	0	0	0	0
19	0	15	5	74	735	0	0	0	0	55	551	0	0	37	368	0	0	0	0	55	551	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	15	6	110	1103	0	0	110	1103	0	0	735	7350	0	0	0	0	0	0	0	0	37	368	0	0	0	0	0	0	55	551	0	0	0
21	0	20	2	0	0	73	729	0	0	0	0	0	0	0	0	73	729	49	486	49	486	0	0	0	0	0	0	0	0	49	486	0	0	0
22	0	20	3	0	0	49	486	0	0	0	0	0	0	73	729	49	486	73	729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	0	20	4	0	0	0	0	97	971	49	486	1457	14569	0	0	0	0	0	0	0	0	73	729	0	0	0	0	0	0	0	0	0	0	0
24	0	20	5	97	971	0	0	0	0	73	729	0	0	49	486	0	0	0	0	73	729	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	20	6	146	1457	0	0	146	1457	0	0	971	9713	0	0	0	0	0	0	0	0	49	486	0	0	0	0	0	0	73	729	0	0	0
26	0	25	2	0	0	93	925	0	0	0	0	0	0	0	0	93	925	62	617	62	617	0	0	0	0	0	0	0	0	62	617	0	0	0
27	0	25	3	0	0	62	617	0	0	0	0	0	0	93	925	62	617	93	925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	25	4	0	0	0	0	123	1234	62	617	1851	18506	0	0	0	0	0	0	0	0	93	925	0	0	0	0	0	0	0	0	0	0	0
29	0	25	5	123	1234	0	0	0	0	93	925	0	0	62	617	0	0	0	0	93	925	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	25	6	185	1851	0	0	185	1851	0	0	1234	12338	0	0	0	0	0	0	0	0	62	617	0	0	0	0	0	0	93	925	0	0	0
31	0	30	2	0	0	112	1122	0	0	0	0	0	0	0	0	112	1122	75	748	75	748	0	0	0	0	0	0	0	0	75	748	0	0	0
32	0	30	3	0	0	75	748	0	0	0	0	0	0	112	1122	75	748	112	1122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	0	30	4	0	0	0	0	150	1496	75	748	2244	22444	0	0	0	0	0	0	0	0	112	1122	0	0	0	0	0	0	0	0	0	0	0
34	0	30	5	150	1496	0	0	0	0	112	1122	0	0	75	748	0	0	0	0	112	1122	0	0	0	0	0	0	0	0	0	0	0	0	0
35	0	30	6	224	2244	0	0	224	2244	0	0	1496	14963	0	0	0	0	0	0	0	0	75	748	0	0	0	0	0	0	112	1122	0	0	0
36	0	35	2	0	0	134	1339	0	0	0	0	0	0	0	0	134	1339	89	893	89	893	0	0	0	0	0	0	0	0	89	893	0	0	0
37	0	35	3	0	0	89	893	0	0	0	0	0	0	134	1339	89	893	134	1339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0	35	4	0	0	0	0	179	1785	89	893	2678	26775	0	0	0	0	0	0	0	0	134	1339	0	0	0	0	0	0	0	0	0	0	0
39	0	35	5	179	1785	0	0	0	0	134	1339	0	0	89	893	0	0	0	0	134	1339	0	0	0	0	0	0	0	0	0	0	0	0	0
40	0	35	6	268	2678	0	0	268	2678	0	0	1785	17850	0	0	0	0	0	0	0	0	89	893	0	0	0	0	0	0	134	1339	0	0	0
41	0	40	2	0	0	156	1556	0	0	0	0	0	0	0	0	156	1556	104	1037	104	1037	0	0	0	0	0	0	0	0	104	1037	0	0	0
42	0	40	3	0	0	104	1037	0	0	0	0	0	0	156	1556	104	1037	156	1556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0	40	4	0	0	0	0	207	2074	104	1037	3111	31106	0	0	0	0	0	0	0	0	156	1556	0	0	0	0	0	0	0	0	0	0	0
44	0	40	5	207	2074	0	0	0	0	156	1556	0	0	104	1037	0	0	0	0	156	1556	0	0	0	0	0	0	0	0	0	0	0	0	0
45	0	40	6	311	3111	0	0	311	3111	0	0	2074	20738	0	0	0	0	0	0	0	0	104	1037	0	0	0	0	0	0	156	1556	0	0	0
46	0	45	2	0	0	177	1772	0	0	0	0	0	0	0	0	177	1772	118	1181	118	1181	0	0	0	0	0	0	0	0	118	1181	0	0	0
47	0	45	3	0	0	118	1181	0	0	0	0	0	0	177	1772	118	1181	177	1772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	0	45	4	0	0	0	0	236	2363	118	1181	3544	35438	0	0	0	0	0	0	0	0	177	1772	0	0	0	0	0	0	0	0	0	0	0
49	0	45	5	236	2363	0	0	0	0	177	1772	0	0	118	1181	0	0	0	0	177	1772	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	45	6	354	3544	0	0	354	3544	0	0	2363	23625	0	0	0	0	0	0	0	0	118	1181	0	0	0	0	0	0	177	1772	0	0	0
51	0	50	2	0	0	199	1989	0	0	0	0	0	0	0	0	199	1989	133	1326	133	1326	0	0	0	0	0	0	0	0	133	1326	0	0	0
52	0	50	3	0	0	133	1326	0	0	0	0	0	0	199	1989	133	1326	199	1989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	0	50	4	0	0	0	0	265	2651	133	1326	3977	39769	0	0	0	0	0	0	0	0	199	1989	0	0	0	0	0	0	0	0	0	0	0
54	0	50	5	265	2651	0	0	0	0	199	1989	0	0	133	1326	0	0	0	0	199	1989	0	0	0	0	0	0	0	0	0	0	0	0	0
55	0	50	6	398	3977	0	0	398	3977	0	0	2651	26513	0	0	0	0	0	0	0	0	133	1326	0	0	0	0	0	0	199	1989	0	0	0
56	0	55	2	0	0	221	2205	0	0	0	0	0	0	0	0	221	2205	147	1470	147	1470	0	0	0	0	0	0	0	0	147	1470	0	0	0
57	0	55	3	0	0	147	1470	0	0	0	0	0	0	221	2205	147	1470	221	2205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
58	0	55	4	0	0	0	0	294	2940	147	1470	4410	44100	0	0	0	0	0	0	0	0	221	2205	0	0	0	0	0	0	0	0	0	0	0
59	0	55	5	294	2940	0	0	0	0	221	2205	0	0	147	1470	0	0	0	0	221	2205	0	0	0	0	0	0	0	0	0	0	0	0	0
60	0	55	6	441	4410	0	0	441	4410	0	0	2940	29400	0	0	0	0	0	0	0	0	147	1470	0	0	0	0	0	0	221	2205	0	0	0
61	0	60	2	0	0	242	2422	0	0	0	0	0	0	0	0	242	2422	161	1614	161	1614	0	0	0	0	0	0	0	0	161	1614	0	0	0
62	0	60	3	0	0	161	1614	0	0	0	0	0	0	242	2422	161	1614	242	2422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	0	60	4	0	0	0	0	323	3229	161	1614	4843	48431	0	0	0	0	0	0	0	0	242	2422	0	0	0	0	0	0	0	0	0	0	0
64	0	60	5	323	3229	0	0	0	0	242	2422	0	0	161	1614	0	0	0	0	242	2422	0	0	0	0	0	0	0	0	0	0	0	0	0
65	0	60	6	484	4843	0	0	484	4843	0	0	3229	32288	0	0	0	0	0	0	0	0	161	1614	0	0	0	0	0	0	242	2422	0	0	0
66	0	65	2	0	0	264	2638	0	0	0	0	0	0	0	0	264	2638	176	1759	176	1759	0	0	0	0	0	0	0	0	176	1759	0	0	0
67	0	65	3	0	0	176	1759	0	0	0	0	0	0	264	2638	176	1759	264	2638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	0	65	4	0	0	0	0	352	3518	176	1759	5276	52763	0	0	0	0	0	0	0	0	264	2638	0	0	0	0	0	0	0	0	0	0	0
69	0	65	5	352	3518	0	0	0	0	264	2638	0	0	176	1759	0	0	0	0	264	2638	0	0	0	0	0	0	0	0	0	0	0	0	0
70	0	65	6	528	5276	0	0	528	5276	0	0	3518	35175	0	0	0	0	0	0	0	0	176	1759	0	0	0	0	0	0	264	2638	0	0	0
71	0	70	2	0	0	286	2855	0	0	0	0	0	0	0	0	286	2855	190	1903	190	1903	0	0	0	0	0	0	0	0	190	1903	0	0	0
72	0	70	3	0	0	190	1903	0	0	0	0	0	0	286	2855	190	1903	286	2855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
73	0	70	4	0	0	0	0	381	3806	190	1903	5709	57094	0	0	0	0	0	0	0	0	286	2855	0	0	0	0	0	0	0	0	0	0	0
74	0	70	5	381	3806	0	0	0	0	286	2855	0	0	190	1903	0	0	0	0	286	2855	0	0	0	0	0	0	0	0	0	0	0	0	0
75	0	70	6	571	5709	0	0	571	5709	0	0	3806	38063	0	0	0	0	0	0	0	0	190	1903	0	0	0	0	0	0	286	2855	0	0	0
76	0	75	2	0	0	307	3072	0	0	0	0	0	0	0	0	307	3072	205	2048	205	2048	0	0	0	0	0	0	0	0	205	2048	0	0	0
77	0	75	3	0	0	205	2048	0	0	0	0	0	0	307	3072	205	2048	307	3072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	0	75	4	0	0	0	0	410	4095	205	2048	6143	61425	0	0	0	0	0	0	0	0	307	3072	0	0	0	0	0	0	0	0	0	0	0
79	0	75	5	410	4095	0	0	0	0	307	3072	0	0	205	2048	0	0	0	0	307	3072	0	0	0	0	0	0	0	0	0	0	0	0	0
80	0	75	6	614	6143	0	0	614	6143	0	0	4095	40950	0	0	0	0	0	0	0	0	205	2048	0	0	0	0	0	0	307	3072	0	0	0
81	0	80	2	0	0	329	3288	0	0	0	0	0	0	0	0	329	3288	219	2192	219	2192	0	0	0	0	0	0	0	0	219	2192	0	0	0
82	0	80	3	0	0	219	2192	0	0	0	0	0	0	329	3288	219	2192	329	3288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	0	80	4	0	0	0	0	438	4384	219	2192	6576	65756	0	0	0	0	0	0	0	0	329	3288	0	0	0	0	0	0	0	0	0	0	0
84	0	80	5	438	4384	0	0	0	0	329	3288	0	0	219	2192	0	0	0	0	329	3288	0	0	0	0	0	0	0	0	0	0	0	0	0
85	0	80	6	658	6576	0	0	658	6576	0	0	4384	43838	0	0	0	0	0	0	0	0	219	2192	0	0	0	0	0	0	329	3288	0	0	0
86	0	85	2	0	0	351	3505	0	0	0	0	0	0	0	0	351	3505	234	2336	234	2336	0	0	0	0	0	0	0	0	234	2336	0	0	0
87	0	85	3	0	0	234	2336	0	0	0	0	0	0	351	3505	234	2336	351	3505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	0	85	4	0	0	0	0	467	4673	234	2336	7009	70088	0	0	0	0	0	0	0	0	351	3505	0	0	0	0	0	0	0	0	0	0	0
89	0	85	5	467	4673	0	0	0	0	351	3505	0	0	234	2336	0	0	0	0	351	3505	0	0	0	0	0	0	0	0	0	0	0	0	0
90	0	85	6	701	7009	0	0	701	7009	0	0	4673	46725	0	0	0	0	0	0	0	0	234	2336	0	0	0	0	0	0	351	3505	0	0	0
91	0	90	2	0	0	372	3721	0	0	0	0	0	0	0	0	372	3721	248	2481	248	2481	0	0	0	0	0	0	0	0	248	2481	0	0	0
92	0	90	3	0	0	248	2481	0	0	0	0	0	0	372	3721	248	2481	372	3721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	0	90	4	0	0	0	0	496	4961	248	2481	7442	74419	0	0	0	0	0	0	0	0	372	3721	0	0	0	0	0	0	0	0	0	0	0
94	0	90	5	496	4961	0	0	0	0	372	3721	0	0	248	2481	0	0	0	0	372	3721	0	0	0	0	0	0	0	0	0	0	0	0	0
95	0	90	6	744	7442	0	0	744	7442	0	0	4961	49613	0	0	0	0	0	0	0	0	248	2481	0	0	0	0	0	0	372	3721	0	0	0
96	0	95	2	0	0	394	3938	0	0	0	0	0	0	0	0	394	3938	263	2625	263	2625	0	0	0	0	0	0	0	0	263	2625	0	0	0
97	0	95	3	0	0	263	2625	0	0	0	0	0	0	394	3938	263	2625	394	3938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
