名称	说明	移动时间	时间	距离	速度X	速度Y	引力X	重力	跟随	屏幕震动	抖动	停顿帧	打击特效颜色	受击特效偏移	受击特效角度	受击特效缩放	受击特效随机	方向参照(坐标)	受击者方向(面对面)	特殊击退	倒地震屏	控制(抓取技)	受击者纵深吸附到攻击者(0关，1置后，-1置前)	
string	string	int	int	int	int	int	int	int	int	int	int	int	string	int	int	int	int	int	int	int	int	int	int	
name	info	moveTime	time	distance	speedX	speedY	gravityX	gravityY	follow	SceneShake	shake	pauseFrame	shaderColor	effectOffset	effectAngle	effectScale	effectRandom	positionDirection	faceToFace	specialHitBack	Down_SceneShake	controlHit	HurtOffsetY	
BeHitBack	击退	0	0.2	0	0	-1000	0	800	0	0	1	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack2	击退	0.25	0.5	25	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_far_150	击退	0.25	0.5	150	-200	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_far_100	击退	0.25	0.5	100	-180	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_far_50	击退	0.25	0.5	50	-150	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_near_10	击退	0.25	0.5	10	-20	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_near_20	击退	0.25	0.5	20	-80	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_near_30	击退	0.25	0.5	30	-100	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_near_40	击退	0.25	0.5	40	-150	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_near_5	击退	0.25	0.5	40	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_SpeedDown_far	击退	0.25	0.5	25	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_SpeedDown_near	击退	0.25	0.5	25	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_follow	击退	0	0.5	25	0	-1000	0	800	0	0	1	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_la	抽拉	0.25	0.5	-100	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_control	抓取	0.25	0.5	-100	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	1	0	
BeHitBack_follow_1	跟随击退1	0	0.5	20	0	-1000	0	800	0	0	1	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_follow_2	跟随击退2	0	0.5	30	0	-1000	0	800	0	0	1	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_follow_3	跟随击退3	0	0.5	40	0	-1000	0	800	0	0	1	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_la_1	抽拉1	0.25	0.5	-20	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_la_2	抽拉2	0.25	0.5	-40	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_la_3	抽拉3	0.25	0.5	-60	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_la_4	抽拉4	0.25	0.5	-80	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_la_5	抽拉5	0.25	0.5	-100	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_1	原地鬼畜1	0	0.2	0	0	-1000	0	920	0	0	1	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_2	原地鬼畜2	0	0.4	0	0	-1000	0	800	0	0	1	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_3	原地鬼畜3	0	0.6	0	0	-1000	0	800	0	0	1	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_4	原地鬼畜4	0	0.8	0	0	-1000	0	800	0	0	1	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_5	原地鬼畜5	0	1	0	0	-1000	0	800	0	0	1	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_shunyi_10	瞬移	0	0.5	10	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_shunyi_20	瞬移	0	0.5	20	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_shunyi_30	瞬移	0	0.5	30	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_shunyi_40	瞬移	0	0.5	40	0	-1000	0	800	0	0	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_shunyi_10_zhen	瞬移震动	0	0.5	10	0	-1000	0	800	0	1	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
BeHitBack_shunyi_20_zhen	瞬移震动	0	0.5	20	0	-1000	0	800	0	1	0	0	hurt	0	0	1	1	0	1	1	0	0	0	
